PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
02-Aug-24,C&FS (P),Childrens Sensory Therapy Ltd,TRADE SUPPLIER,5445-Adoption Support,"£4,900.00"
02-Aug-24,C&FS (P),Childrens Sensory Therapy Ltd,TRADE SUPPLIER,5445-Adoption Support,"£4,900.00"
06-Aug-24,Balance Sheet Cost Centres (P),36 Group Ltd,TRADE SUPPLIER,9641-Debtors Control,"£2,970.00"
06-Aug-24,Environment & Transport (P),Leicester Forest East Parish Council,TRADE SUPPLIER,4908-Grants,"£4,500.00"
13-Aug-24,Environment & Transport (P),Stoke on Trent & North Staffordshire Theatre Trust,TRADE SUPPLIER,"4501-Exhibitions, Displays, Events & Performances","£3,000.00"
13-Aug-24,Environment & Transport (P),Stoke on Trent & North Staffordshire Theatre Trust,TRADE SUPPLIER,"4501-Exhibitions, Displays, Events & Performances","£3,000.00"
15-Aug-24,Public Health (P),Compass Services (UK) Ltd T/A Leicester City Football Club Ltd,NON TRADE,4902-Hospitality,"£4,000.00"
16-Aug-24,Adults & Communities (P),CARE 24 7 (BODNANT HOUSE)&&SSARO3231,S/S HOMES,5502-Residential,"£6,600.95"
16-Aug-24,Adults & Communities (P),IDEAL CAREHOMES NUMBER 1 LTD T/A COPPICE LODGE&&SSARO3303,S/S HOMES,5502-Residential,"£1,987.79"
16-Aug-24,Adults & Communities (P),LYNDHURST LODGE LTD&&SSAROE40340,S/S HOMES,5502-Residential,"£2,835.00"
16-Aug-24,Adults & Communities (P),LYNDHURST LODGE LTD&&SSAROE40340,S/S HOMES,5502-Residential,"£9,576.00"
16-Aug-24,Adults & Communities (P),PRIME LIFE LTD T/AS THE FIELDINGS&&SSARO3381,S/S HOMES,5502-Residential,"£3,875.00"
16-Aug-24,Adults & Communities (P),REDACTED PERSONAL DATA,TRADE SUPPLIER,4508-Medical Fees & Treatment,£762.00
16-Aug-24,C&FS (P),Daystar Care Services Ltd,TRADE SUPPLIER,5429-Community/Domiciliary,£672.00
19-Aug-24,Corporate Resources (CR) (P),Melton Borough Council,OTHER LOCAL AUTHORITIES,2321-Rent & Room Hire,"£11,178.30"
20-Aug-24,C&FS (P),Ferntree Support Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,694.33"
23-Aug-24,C&FS (P),Treasure Nest Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£23,571.30"
30-Aug-24,C&FS (P),Randstad Solutions Ltd,TRADE SUPPLIER,1201-Agency Costs,£748.00
01-Aug-24,Environment & Transport (P),A K TAXI SERVICES LTD,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,385.80"
01-Aug-24,Environment & Transport (P),A K TAXI SERVICES LTD,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,259.25"
