PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
07-Feb-25,C&FS (P),Kesteven and Grantham Girls School,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£26,450.00"
07-Feb-25,Capital - In Year Spend (P),Leicestershire & Rutland Ornithological Society,TRADE SUPPLIER,943C-VPE - Equipment (Furniture/ IT) Exp,"£3,856.51"
07-Feb-25,Capital - In Year Spend (P),Leicestershire & Rutland Ornithological Society,TRADE SUPPLIER,943C-VPE - Equipment (Furniture/ IT) Exp,"£1,777.52"
07-Feb-25,Corporate Resources (CR) (P),W Crowder & Sons Ltd,TRADE SUPPLIER,4911-Assistance / Contribution to Schemes,"£7,047.87"
12-Feb-25,C&FS (P),Dixie Grammar School,NON TRADE,5323-External SEN Providers Independent Sch,"£81,700.00"
14-Feb-25,Chief Executives (P),St Ives Chambers,TRADE SUPPLIER,4507-Consultants & Specialists,£900.00
21-Feb-25,C&FS (P),REDACTED PERSONAL DATA,TRADE SUPPLIER,5624-Transfer Payments Sector 17 Other,"£3,762.00"
21-Feb-25,Chief Executives (P),No 5 Chambers Ltd,TRADE SUPPLIER,4507-Consultants & Specialists,"£1,250.00"
21-Feb-25,C&FS (P),Redwood Childcare Ltd,NON TRADE,5411-Private Contractors - General,"£1,602.45"
24-Feb-25,C&FS (P),Goldhill Play Association Ltd T/A Goldhill Adventure Playground,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£4,000.00"
03-Feb-25,Environment & Transport (P),A1 Leicester Taxi Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£863.00
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£783.00
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£560.00
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£784.00
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,120.00"
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£840.00
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£784.00
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£648.00
03-Feb-25,Environment & Transport (P),A1 Taxi Booking Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£540.00
03-Feb-25,C&FS (P),Achieving Together Ltd,NON TRADE,5451-LCT/LAC (Not Fostered),"£6,177.68"
03-Feb-25,Corporate Resources (CR) (P),Advanced Water Technologies Ltd,TRADE SUPPLIER,2108-Legionella,"£1,635.00"
03-Feb-25,Corporate Resources (CR) (P),Advanced Water Technologies Ltd,TRADE SUPPLIER,2108-Legionella,"£1,365.00"
03-Feb-25,Corporate Resources (CR) (P),AF Blakemore & Son Ltd T/A Blakemore Food Service Ltd,TRADE SUPPLIER,4504-Provisions Purchases,"£45,575.17"
03-Feb-25,Corporate Resources (CR) (P),AF Blakemore & Son Ltd T/A Blakemore Food Service Ltd,TRADE SUPPLIER,4504-Provisions Purchases,"£2,414.71"
03-Feb-25,Environment & Transport (P),AR Parrish Plant Hire,SUBCONTRACTOR,3301-Vehicle & Plant Hire,"£1,293.00"
03-Feb-25,Environment & Transport (P),AR Parrish Plant Hire,SUBCONTRACTOR,3301-Vehicle & Plant Hire,"£4,562.25"
03-Feb-25,Environment & Transport (P),AR Parrish Plant Hire,SUBCONTRACTOR,3301-Vehicle & Plant Hire,"£1,198.00"
03-Feb-25,Environment & Transport (P),AR Parrish Plant Hire,SUBCONTRACTOR,3301-Vehicle & Plant Hire,"£1,698.00"
03-Feb-25,Environment & Transport (P),Ausden Clark Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£4,800.00"
03-Feb-25,Environment & Transport (P),Bennie Equipment Ltd,TRADE SUPPLIER,5411-Private Contractors - General,£710.97
03-Feb-25,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5628-Transfer Payments Leaving Care Grants,£516.95
03-Feb-25,C&FS (P),Bleep 360 Care Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£12,960.00"
03-Feb-25,C&FS (P),Bleep 360 Care Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£19,152.00"
03-Feb-25,Adults & Communities (P),Care2Assess Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£8,085.00"
03-Feb-25,C&FS (P),Central England Academy Trust,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£5,111.00"
