DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY
Children's Services Directorate,02-Nov-2023,"3,842.48",The Harrodian School Ltd,Invoice,Nursery Budget Share
Children's Services Directorate,02-Nov-2023,"2,069.03",New Spring Nursery School,Invoice,Nursery Budget Share
Environment & Community Services Directorate,02-Nov-2023,"1,508.80",10pm Studio Ltd.,Invoice,Consultants Fees
Resources Directorate,03-Nov-2023,"2,708.01",METROPOLITAN THAMES VALLEY,Invoice,Rent Allowances
Resources Directorate,03-Nov-2023,"1,432.56",NETWORK HOMES,Invoice,Rent Allowances
Resources Directorate,03-Nov-2023,"5,004.38",SPEAR HOUSING ASSOCIATION LIMI,Invoice,Rent Allowances
Resources Directorate,07-Nov-2023,"52,070.57",RICHMOND HOUSING PARTNERSHIP,Invoice,Rent Allowances
Resources Directorate,07-Nov-2023,"1,128.34",PA HOUSING,Invoice,Rent Allowances
Resources Directorate,07-Nov-2023,"3,209.21",METROPOLITAN THAMES VALLEY,Invoice,Rent Allowances
Housing & Regeneration Directorate,07-Nov-2023,605.00,SDPM,Invoice,Private Sector Hsg Initiative
Housing & Regeneration Directorate,09-Nov-2023,"5,269.23",Nike Anderson,Invoice,Homeless Red Act Initiatives
Adult Social Services Directorate,09-Nov-2023,"1,520.00",DR ASHLEY M. CROFT ASSOCIATES,Invoice,Legal Fees SLLP
Adult Social Services Directorate,10-Nov-2023,"12,477.76",St Mary's House,Invoice,External Residential Care
Adult Social Services Directorate,10-Nov-2023,"4,455.44",Sunbury Nursing Homes Ltd,Invoice,External Nursing Care
Adult Social Services Directorate,10-Nov-2023,"37,213.24",Shenehom Housing Assoc Ltd,Invoice,External Residential Care
Adult Social Services Directorate,10-Nov-2023,"20,072.82",Royal Variety Charity,Invoice,External Residential Care
Adult Social Services Directorate,10-Nov-2023,"4,016.32",Corbenic Camphill Community,Invoice,External Residential Care
Adult Social Services Directorate,10-Nov-2023,"8,355.40",High Quality Lifestyles,Invoice,External Residential Care
Adult Social Services Directorate,10-Nov-2023,"45,788.13",Barchester Healthcare Homes Lt,Invoice,External Nursing Care
