DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY,,,
Resources Directorate,15/09/2023," 1,038.48 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 903.68 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 532.60 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 715.38 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,181.96 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 609.86 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 609.86 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,158.00 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 785.04 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 553.84 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,219.72 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 609.86 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 713.42 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 540.82 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 651.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 609.86 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 551.54 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 539.10 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 948.00 ,RICHMOND CHARITIES ALMSHOUSES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 590.98 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 829.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,655.58 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 4,302.04 ",HML SHAW PROPERTY & ESTATE MAN,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 792.92 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 341,230.06 ",PA HOUSING,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 778.00 ,THE ROYAL BRITISH LEGION POPPY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 61,579.11 ",LONDON & QUADRANT HOUSING TRUS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 501.08 ,HOUSING 21(FOR HOWSON TERRACE),Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 22,374.30 ",THE GUINNESS PARTNERSHIP,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 13,461.26 ",PLACES FOR PEOPLE HOMES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 52,994.67 ",METROPOLITAN THAMES VALLEY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 10,769.20 ",ORIONE CARE,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,021.24 ",FESTALFINE LIMITED,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,075.40 ",WALLAKERS PROPERTY CONSULTANCE,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 12,578.22 ",CENTRAL & CECIL HOUSING TRUST,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 665.72 ,SUTTON (HASTOE) HOUSING ASSOCI,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 530.52 ,A2DOMINION SOUTH LIMITED,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 15,179.09 ",NETWORK HOMES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 517.32 ,RICHMOND HOUSING CO-OP,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 603.40 ,SHEPHERDS BUSH HOUSING ASSOCIA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 5,808.80 ",A2 DOMINION,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 709.24 ,HASTOE HOUSING ASSOCIATION,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 746.32 ,THE ST BARNABAS SOCIETY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 5,613.44 ",NOTTING HILL GENESIS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 24,494.48 ",LONDON AND QUADRANT,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 3,391.00 ",HASTOE HOUSING ASSOCIATION LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 5,037.28 ",MOUNTVIEW ESTATES PLC,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 662.60 ,THE ROYAL BRITISH LEGION POPPY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,261.44 ",INQUILAB HOUSING ASSOCIATION,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 3,757.80 ",A2 DOMINION GROUP,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,568.16 ",L&Q THRESHOLD HOMES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 23,238.09 ",SPEAR HOUSING ASSOCIATION LIMI,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,775.84 ",ABBEYFIELD RICHMOND SOCIETY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,445.92 ",ST CHRISTOPHER'S FELLOWSHIP,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 37,521.12 ",LOOK AHEAD CARE AND SUPPORT LT,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,728.64 ",HANOVER HOUSING ASSOCIATION,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 698.60 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 790.96 ,WOODLANDS ESTATE,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 7,613.16 ",METROPOLITAN HOUSING TRUST,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 10,067.60 ",RESIDE HOUSING ASSOCIATION LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,411.28 ",THE GUINNESS TRUST,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,180.00 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 3,647.28 ",HANOVER HOUSING ASSOCIATION,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,048.44 ",GRIP NOMCO'S 1 & 2 LTD AS NOMS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.48 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 876.92 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,836.00 ",C JENKIN & SON,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 4,740.00 ",RICHMOND CHARITIES ALMSHOUSES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 19,457.04 ",METROPOLITAN HOUSING TRUST,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 17,403.26 ",HESTIA HOUSING & SUPPORT,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 692.32 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 632.76 ,HIGH DORN CO LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 849.24 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,400.00 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 592.20 ,PLACES FOR PEOPLE HOMES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,061.52 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 784.60 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,015.40 ",FOXTONS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 860.16 ,JACKSON STOPS AND STAFF,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 923.08 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,200.00 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 656.28 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,015.40 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,185.88 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 4,817.52 ",QUINTUS HOUSING TRUST,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,181.96 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 876.92 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,153.84 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 912.88 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,661.52 ",HAMPTON PAROCHIAL CHARITY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,463.40 ",A2 DOMINION (PALGRAVE COURT),Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 692.32 ,PRIME SPACES LLD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,647.48 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 560.00 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 6,587.04 ",GOLDEN LANE HOUSING,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,153.84 ",SURREY COUNTY COUNCIL,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 687.68 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 4,917.48 ",R.U.T.C.H.T WITH AGENTS UNITED,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 628.00 ,FARNPOINT LTD & TIMRO INVESTME,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 560.84 ,LOCHMORE HOLDINGS LIMITED,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,084.60 ",CITYSHAKS RESIDENTIAL LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.48 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 923.08 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,292.32 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 849.24 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 600.00 ,MARINI PROPERTIES LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 679.60 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 989.12 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,476.92 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 761.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 854.04 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,015.40 ",CEDAR ESTATES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.48 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 747.68 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 20,736.24 ",LONDON CYRENIANS HOUSING LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,107.68 ",APOLLO COMMERCIALS LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,165.42 ",EASTFIELD ESTATES LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 585.92 ,THE GUINNESS PARTNERSHIP,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 853.84 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 919.72 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,200.00 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 6,224.12 ",NOTTING HILL GENESIS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.48 ,ETHICAL LETTINGS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 731.16 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 588.04 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,886.04 ",METROPOLITAN HOUSING TRUST,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,661.96 ",BERCLEYS MANAGEMENT UK LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,598.97 ",RICHMOND PSYCHOSOCIAL FOUNDATI,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,332.45 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 807.72 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,081.64 ",JAI ESTATE AGENTS LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 9,521.52 ",LIFEWAYS COMMUNITY CARE LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,292.32 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,219.72 ",NEWBOULDS & CO,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 11,187.24 ",CERTITUDE,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 7,664.56 ",UNITED RESPONSE,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 5,925.12 ",REGENT HOUSING LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 693.92 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,984.52 ",SDP MANAGEMENT & MARKETING,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,753.88 ",INCLUSION HOUSING CIC LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,776.67 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 643.40 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 807.68 ,LONDON RESI LIMITED (CLIENT AC,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 5,085.64 ",L&Q WITH MANAGING AGENTS UNITE,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 953.48 ,ORANGE ESTATES,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 752.00 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 923.08 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,938.48 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 16,422.56 ",RLHA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,219.72 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 3,150.08 ",FITZROY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 2,683.28 ",LONDON RESI LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 836.92 ,ELM GROUP,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 16,782.12 ",NACRO SUPPORTED HOUSING,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 862.00 ,BALMORE VIEWS LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,YOUR MOVE.CO.UK LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 851.52 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,GOLDEN PYRAMIDS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 5,585.80 ",COMMUNITY HOUSING AND THERAPY,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 637.40 ,P GOODLACE PROPERTY LETTINGS,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,200.00 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 645.96 ,GGK PROPERTIES LIMITED,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,219.72 ",HIVES LODGES LIMITED,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,618.40 ",UNITY HOUSING SUPPORT,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 738.48 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 566.76 ,JACKSON-STOP,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023, 966.56 ,STAY PROPERTY MANAGEMENT LTD,Invoice,Rent Allowances,,,
Resources Directorate,15/09/2023," 1,368.34 ",L&Q GROUP,Invoice,Rent Allowances,,,
Environment & Community Services Directorate,15/09/2023," 2,400.00 ",Matlock Communications Ltd,Invoice,Sales,,,
Adult Social Services Directorate,15/09/2023," 5,000.00 ",RUILS,Invoice,Other PH Contracts,,,
Capital Expenditure,18/09/2023," 1,699.20 ",FRONTIER PITTS LTD,Invoice,CAPEXP Other Building Reltd Wk,,,
Housing & Regeneration Directorate,18/09/2023," 12,583.04 ",Twickenham Property Ground Ltd,Invoice,Homeless Red Act Initiatives,,,
Environment & Community Services Directorate,18/09/2023," 1,600.00 ",Tom Nixon Oakwood Clydesdales,Invoice,Conservation Contract,,,
Adult Social Services Directorate,19/09/2023, 641.48 ,REDACTED PERSONAL DATA,Invoice,DP prepaid cards,,,
Adult Social Services Directorate,19/09/2023," 1,287.00 ",REDACTED PERSONAL DATA,Invoice,DP prepaid cards,,,
Adult Social Services Directorate,19/09/2023, 985.71 ,REDACTED PERSONAL DATA,Invoice,DP prepaid cards,,,
Adult Social Services Directorate,19/09/2023," 1,391.53 ",REDACTED PERSONAL DATA,Invoice,DP prepaid cards,,,
Adult Social Services Directorate,19/09/2023," 7,952.65 ",REDACTED PERSONAL DATA,Invoice,DP prepaid cards,,,
Adult Social Services Directorate,19/09/2023," 2,573.69 ",REDACTED PERSONAL DATA,Invoice,DP prepaid cards,,,
Resources Directorate,19/09/2023," 968,844.50 ",RICHMOND HOUSING PARTNERSHIP,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,128.38 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,116.48 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,332.66 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,350.00 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023, 855.45 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,518.98 ",RICHMOND HOUSING PARTNERSHIP,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023, 882.64 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,038.60 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023, 694.89 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,168.88 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023," 1,309.80 ",REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023, 588.37 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023, 784.72 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Resources Directorate,19/09/2023, 563.96 ,REDACTED PERSONAL DATA,Invoice,Rent Allowances,,,
Chief Executives Directorate,19/09/2023," 1,192.50 ",MAXFIELD KADLUBOWSKI GROUP LIM,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023," 1,020.00 ",ALSFORD TIMBER LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 757.50 ,TWICKENHAM PLATING LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 592.50 ,JAIN (EUROPE) LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 611.25 ,RED TREE (UK) LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 963.55 ,STONE ROWE BREWER LLP,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023," 3,075.00 ",BRITANNIA ROW PRODUCTIONS LIMI,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 536.25 ,GMA ARCHITECTURE LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023," 1,230.00 ",D & M TOOLS LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023," 1,147.50 ",AUTOSCRIPT LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 596.25 ,TWSPIRIT LTD,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 592.50 ,FREQUENTIS (UK) LIMITED,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023," 2,565.00 ",TREASURY WINE ESTATES EMEA LIM,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 758.32 ,JANUS INTERNATIONAL EUROPE LIM,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023, 607.50 ,LIFERAY UK,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023," 1,222.50 ",LEAP LEGAL SOFTWARE LTD,Invoice,Twickenham BID,,,
Chief Executives Directorate,19/09/2023," 1,192.50 ",FEDERATION AGAINST COPYRIGHT T,Invoice,Twickenham BID,,,
Environment & Community Services Directorate,26/09/2023, 500.00 ,REDACTED PERSONAL DATA,Invoice,Consultants Fees,,,
Housing & Regeneration Directorate,21/09/2023," 4,400.00 ",REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives,,,
Housing & Regeneration Directorate,21/09/2023," 6,891.19 ",1PR LIMITED,Invoice,Private Sector Hsg Initiative,,,
Housing & Regeneration Directorate,21/09/2023," 5,892.19 ",REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives,,,
Housing & Regeneration Directorate,22/09/2023," 1,133.34 ",REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023," 1,730.00 ",REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023, 950.00 ,REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023," 2,265.16 ",REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023," 1,300.00 ",REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023," 5,800.00 ",REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023," 1,200.00 ",REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023," 1,000.00 ",REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
Housing & Regeneration Directorate,22/09/2023, 850.00 ,REDACTED PERSONAL DATA,Invoice,PSL Payments To Landlords,,,
