date,supplier,directorate,purpose,amount
2023-06-20,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12605.63
2023-06-20,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,45408.36
2023-06-20,Bradford MDC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,70155.86
2023-06-20,Bradford College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,694315.19
2023-06-20,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,306518.02
2023-06-20,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,370761.6
2023-06-20,Calderdale MBC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,97795.87
2023-06-20,City of York Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,948.25
2023-06-20,Craven College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,49710.7
2023-06-20,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,49667
2023-06-20,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,643081.07
2023-06-20,Kirklees Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,25702.62
2023-06-20,Leeds City Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,200156.83
2023-06-20,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1420884.06
2023-06-20,Northern College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,68917.54
2023-06-20,Shipley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,153652.82
2023-06-20,Wakefield Metropolitan District Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,184599.81
2023-06-20,Wakefield College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,156016.78
2023-06-20,Workers Educational Association,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,95582.41
2023-06-20,York College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,7540.52
2023-06-20,Aim2Learn,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,375948.56
2023-06-20,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4663.05
2023-06-20,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1090.95
2023-06-20,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1110.03
2023-06-20,CECOS,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12048.93
2023-06-20,Craven College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1465.54
2023-06-20,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,9507.22
2023-06-20,Leeds College of Building,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,2273.29
2023-06-20,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,44944.89
2023-06-20,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,13500
2023-06-20,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4701.29
2023-06-20,Netcom Training Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,8916.81
2023-06-20,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,49755.9
2023-06-20,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,600
2023-06-20,Shipley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,10485.18
2023-06-20,Wakefield College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5472.41
2023-04-19,Aim2Learn,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,324085.31
2023-04-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1050
2023-04-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,3568.24
2023-04-19,Bradford College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,9517.16
2023-04-19,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,978.93
2023-04-19,CECOS,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6375.91
2023-04-19,Craven College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1088.14
2023-04-19,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,11016.61
2023-04-19,Leeds College of Building,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,3193.12
2023-04-19,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,53904.23
2023-04-19,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,35550
2023-04-19,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1810.61
2023-04-19,Netcom Training Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,19376.29
2023-04-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,29605.69
2023-04-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,750
2023-04-19,Shipley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,27123.9
2023-04-19,Shipley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1800
2023-04-19,Wakefield College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,9045.57
2023-04-19,Askham Bryan College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,67074.26
2023-04-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12620
2023-04-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,18389.23
2023-04-19,Bradford MDC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,102344.07
2023-04-19,Bradford College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1012873.99
2023-04-19,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,31815.99
2023-04-19,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,540870.75
2023-04-19,Calderdale MBC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,142665.6
2023-04-19,City of York Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1383.32
2023-04-19,Craven College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,72518.47
2023-04-19,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,938133.14
2023-04-19,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,49667
2023-04-19,Kirklees Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,37495.23
2023-04-19,Leeds City Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,291990.8
2023-04-19,Leeds College of Building,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,148562.19
2023-04-19,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,2072799.98
2023-04-19,Northern College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,100537.61
2023-04-19,Shipley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,224150.29
2023-04-19,Wakefield Metropolitan District Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,269296.06
2023-04-19,Wakefield College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,227598.85
2023-04-19,Workers Educational Association,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,139436.58
2023-04-19,York College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,11000.18
2023-04-19,Aim2Learn,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,24053.53
2023-04-19,Back2Work Complete Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,126636.7
2023-04-19,Back2Work Complete Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,92856.73
