date,supplier,directorate,purpose,amount
2023-05-15,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,8432.89
2023-05-15,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,1107
2023-05-15,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,854.05
2023-06-06,ECG Facilities Services,Transport Ops & Passenger Experience,Premises Costs,12911.35
2023-05-15,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,806.8
2023-05-24,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2313.04
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,577.67
2023-05-15,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,5532.12
2023-05-15,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2988.23
2023-05-25,The Arch Company,Transport Ops & Passenger Experience,Premises Costs,1456.56
2023-05-24,Harper Perry Ltd,"Policing, Environment & Place",Grants and Agency costs,1320
2023-06-13,ReciteMe Ltd,"Inclusivity, Economy, Skills & Culture",Supplies and Services,5670
2023-05-12,Softcat Plc,Finance & Commercial Services,ICT Related Costs,1500
2023-06-28,Vix Technology Ltd,Projects,Projects,4069.17
2023-06-07,Vix Technology Ltd,Projects,Projects,4069.16
2023-05-16,The Young Foundation,"Policing, Environment & Place",Indirect Employee Costs,1000
2023-05-16,Ezeecab LTD,Transport Ops & Passenger Experience,Tendered Services,10234.5
2023-05-16,McBains Limited,Projects,Projects,377602.23
2023-06-09,Redcentric Solutions Ltd,Finance & Commercial Services,ICT Related Costs,4106.7
2023-05-17,WSP (Leeds),"Policing, Environment & Place",Consultancy and Professional Services,10531
2023-05-16,Leeds Digital Magazines,"Strategy, Comms & Intelligence",Supplies and Services,6995
2023-05-15,GENECON LIMITED,"Policing, Environment & Place",Consultancy and Professional Services,2888
2023-05-16,GENECON LIMITED,"Policing, Environment & Place",Consultancy and Professional Services,7000
2023-05-15,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1460
2023-05-19,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1328.6
2023-05-15,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1482.24
2023-05-15,Reed Specialist Recruitment Limited,Corporate,Employee Costs,2881.93
2023-06-26,Suez recycling and recovery UK,Transport Ops & Passenger Experience,Premises Costs,918.03
2023-05-23,Analan Supplies LTD,Transport Ops & Passenger Experience,Premises Costs,703.83
2023-05-22,GENECON LIMITED,Projects,Projects,40100
2023-05-24,Softcat Plc,Finance & Commercial Services,ICT Related Costs,8880.960000000001
2023-05-16,Britannia Travel Minibus Hire,Transport Ops & Passenger Experience,Tendered Services,1400
2023-05-25,TLC Travel Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",20925.07
2023-05-16,Screenprint & Display Ltd,Transport Ops & Passenger Experience,Supplies and Services,1688.06
2023-05-24,West Yorkshire Police Authority,Projects,Projects,36214.97
2023-05-16,K Ellicott Research,"Policing, Environment & Place",Consultancy and Professional Services,1000
2023-05-16,Police Authority Treasurers Society,"Policing, Environment & Place",Grants and Agency costs,1650
2023-05-18,2U Get Smarter (US) LCC,"Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,8800
2023-06-08,Grant Thornton UK LLP,"Policing, Environment & Place",Consultancy and Professional Services,78470
2023-06-07,T&P Ltd,Transport Ops & Passenger Experience,Supplies and Services,951.67
2023-06-07,T&P Ltd,Transport Ops & Passenger Experience,Supplies and Services,850.83
2023-05-16,Chico Connect Taxi,Transport Ops & Passenger Experience,Tendered Services,4657.5
2023-05-25,Vix Technology Ltd,Projects,Projects,8157.9
2023-05-24,Arriva PLC,"Strategy, Comms & Intelligence",Supplies and Services,15000
2023-05-24,Jacobs UK Ltd,Projects,Projects,547241.93
2023-05-18,Tokos Solutions,"Policing, Environment & Place",Consultancy and Professional Services,5875
2023-05-24,People Plus Group Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,3106.64
2023-05-24,Jacobs UK Ltd,Projects,Projects,189937.33
2023-05-23,Npower Business,Transport Ops & Passenger Experience,Premises Costs,25429.9
2023-05-23,Npower Business,Transport Ops & Passenger Experience,Premises Costs,24094.67
2023-05-17,EON,Transport Ops & Passenger Experience,Premises Costs,711.82
2023-05-22,JPB Facilities Management,Transport Ops & Passenger Experience,Premises Costs,520
2023-06-22,JPB Facilities Management,Transport Ops & Passenger Experience,Premises Costs,7121.5
2023-05-22,AIB Merchant Services,Transport Ops & Passenger Experience,Financing Charges,3604.33
2023-06-14,Kirklees Council,Transport Ops & Passenger Experience,Premises Costs,52634.5
2023-05-24,"Under the Moon Ltd.,","Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,1500
2023-05-25,Business Stream,Transport Ops & Passenger Experience,Premises Costs,1006.4
2023-06-08,Jacobs UK Ltd,Projects,Projects,28875
2023-05-23,Ace Taxis Wakefield Ltd,Transport Ops & Passenger Experience,Tendered Services,180
2023-05-23,Ace Taxis Wakefield Ltd,Transport Ops & Passenger Experience,Tendered Services,22972.02
2023-06-06,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,14794.45
2023-05-22,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,7001.01
2023-06-06,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,12707.96
2023-05-24,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,5546.17
2023-05-22,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2029.89
2023-06-06,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,7442.15
2023-06-06,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,3807.12
2023-05-23,Npower Business,Transport Ops & Passenger Experience,Premises Costs,22539.52
2023-05-23,Npower Business,Transport Ops & Passenger Experience,Premises Costs,25436.64
2023-05-23,Restorative Solutions CIC,"Policing, Environment & Place",Grants and Agency costs,14116.66
2023-05-24,Commend UK Ltd,Projects,Projects,12913.36
2023-05-23,Npower Business,Transport Ops & Passenger Experience,Premises Costs,28466.66
2023-05-19,Npower Business,Transport Ops & Passenger Experience,Premises Costs,981.5
2023-05-30,CACI Limited,"Strategy, Comms & Intelligence",ICT Related Costs,11443
2023-05-19,Npower Business,Transport Ops & Passenger Experience,Premises Costs,586.17
2023-05-22,Colour Copy,"Strategy, Comms & Intelligence",Supplies and Services,534
2023-05-19,Npower Business,Transport Ops & Passenger Experience,Premises Costs,536.65
2023-05-19,Npower Business,Transport Ops & Passenger Experience,Premises Costs,2782.87
2023-05-23,Jacobs UK Ltd,Transport Policy & Delivery,Consultancy and Professional Services,7499
2023-05-25,Npower Business,Transport Ops & Passenger Experience,Premises Costs,627.37
2023-05-19,Npower Business,Transport Ops & Passenger Experience,Premises Costs,683.78
2023-05-26,Bus Shelters Ltd,Transport Ops & Passenger Experience,Income - Operational,5602.39
2023-06-20,Bus Shelters Ltd,Transport Ops & Passenger Experience,Premises Costs,692.55
2023-05-23,Jacobs UK Ltd,Projects,Projects,6038.58
2023-05-24,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1657.23
2023-05-24,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1095
2023-05-24,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1530.95
2023-06-06,WSP (Leeds),"Policing, Environment & Place",Consultancy and Professional Services,5073.75
2023-05-30,Leeds City Council,Projects,Projects,1339
2023-06-13,Euclid Ltd,Transport Ops & Passenger Experience,Supplies and Services,510
2023-06-26,Hunslet Light Commercials Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",655.2
2023-05-30,Action Cars & Taxis Ltd,Transport Ops & Passenger Experience,Tendered Services,11535.63
2023-06-06,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,553.84
2023-05-25,Pepperdog Design,Transport Ops & Passenger Experience,Supplies and Services,2190
2023-05-24,Squaring Up Training LTD,"Policing, Environment & Place",Grants and Agency costs,4695
2023-05-31,Amazing Apprenticeships Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5000
2023-06-21,The Yorkshire Food Group T/A Yorkshire Catering Company,"Inclusivity, Economy, Skills & Culture",Supplies and Services,1620
2023-05-25,Softcat Plc,Projects,Projects,20642.6
2023-05-30,Softcat Plc,Finance & Commercial Services,ICT Related Costs,1217
2023-06-20,Precise Media Monitoring Ltd t/a Onclusive,"Strategy, Comms & Intelligence",Supplies and Services,638.44
2023-06-13,Shekina Popper,"Inclusivity, Economy, Skills & Culture",Supplies and Services,1650
2023-06-29,Vix Technology Ltd,Projects,Projects,2441.5
2023-05-25,Jacobs UK Ltd,Transport Policy & Delivery,Consultancy and Professional Services,1486
2023-05-24,User Voice,"Policing, Environment & Place",Grants and Agency costs,39910
2023-05-26,"RTC North Ltd.,","Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,28025.19
2023-06-20,The LEP Network Ltd.,Corporate,Grants and Agency costs,3500
2023-06-27,Arco Ltd,Transport Ops & Passenger Experience,Premises Costs,1214.32
2023-05-30,Data City Innovations Limited,"Strategy, Comms & Intelligence",Consultancy and Professional Services,7000
2023-06-22,Reveal Media,Transport Ops & Passenger Experience,Supplies and Services,2976
2023-05-26,AECOM Ltd,Projects,Projects,14446.84
2023-06-27,JPB Facilities Management,Transport Ops & Passenger Experience,Premises Costs,595
2023-06-21,Rex Procter and Partners,Projects,Projects,5040
2023-05-26,Optimat Ltd,"Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,12227.5
2023-05-31,Pinsent Masons LLP,Corporate,Employee Costs,2600
2023-06-06,Turner & Townsend Project Management Ltd,Projects,Projects,5477.110000000001
2023-06-26,JPB Facilities Management,Transport Ops & Passenger Experience,Premises Costs,6769.880000000001
2023-06-20,Bus Shelters Ltd,Transport Ops & Passenger Experience,Premises Costs,7095.14
2023-06-06,Lloyds Bank - CARDNET,Transport Ops & Passenger Experience,Financing Charges,12309.28
2023-05-26,EON,Transport Ops & Passenger Experience,Premises Costs,870.3
2023-06-06,Radio Links Communications Ltd,Transport Ops & Passenger Experience,Supplies and Services,542
2023-06-12,Balfour Beatty Civil Engineering Ltd,Projects,Projects,11334.26
2023-05-30,Restorative Solutions CIC,"Policing, Environment & Place",Grants and Agency costs,23458.33
2023-05-30,Victim Support,"Policing, Environment & Place",Grants and Agency costs,37942.33
2023-05-30,Victim Support,"Policing, Environment & Place",Grants and Agency costs,110479.59
2023-06-07,Mott Macdonald,Projects,Projects,6000
2023-06-21,Leeds Digital Magazines,"Inclusivity, Economy, Skills & Culture",Supplies and Services,6995
2023-06-22,Rex Procter and Partners,Projects,Projects,5092
2023-06-20,Bus Shelters Ltd,Transport Ops & Passenger Experience,Premises Costs,5626.99
2023-06-20,Bus Shelters Ltd,Transport Ops & Passenger Experience,Premises Costs,6011.74
2023-06-20,Bus Shelters Ltd,Transport Ops & Passenger Experience,Income - Operational,2116.13
2023-06-15,Turner & Townsend Project Management Ltd,Projects,Projects,6239.76
2023-06-27,Built Environment Networking Ltd,"Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,1700.8
2023-05-30,Kirkby Cars,Transport Ops & Passenger Experience,Tendered Services,2315.5
2023-06-06,YorCard Ltd,Transport Ops & Passenger Experience,Supplies and Services,2755.45
2023-06-07,Promotional Merchandise,"Inclusivity, Economy, Skills & Culture",Supplies and Services,1422.1
2023-05-31,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1914.56
2023-05-31,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1134.34
2023-05-31,Reed Specialist Recruitment Limited,Corporate,Employee Costs,4112.51
2023-05-31,Reed Specialist Recruitment Limited,Corporate,Employee Costs,2334.72
2023-05-31,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1460
2023-06-26,Verifone UK Ltd t/a Verifone,Transport Ops & Passenger Experience,ICT Related Costs,5135
2023-06-06,Parkside Travel,Transport Ops & Passenger Experience,Tendered Services,3580
2023-06-06,Fenay Bridge Taxis,Transport Ops & Passenger Experience,Tendered Services,3300
2023-06-06,Headspace,Corporate,Indirect Employee Costs,7910.23
2023-06-06,Mahmood Bus Service,Transport Ops & Passenger Experience,Tendered Services,4848
2023-06-06,MHT Enterprises Ltd T/A Oz Travel,Transport Ops & Passenger Experience,Tendered Services,3570
2023-06-15,Turner & Townsend Project Management Ltd,Projects,Projects,168542.75
2023-06-06,Geeta's Private Hire,Transport Ops & Passenger Experience,Tendered Services,2625
2023-06-06,Liams Private Hire,Transport Ops & Passenger Experience,Tendered Services,5516
2023-06-06,Stevensons Travel Ltd,Transport Ops & Passenger Experience,Tendered Services,17913.24
2023-06-06,Kirkgate Minibuses,Transport Ops & Passenger Experience,Tendered Services,2926
2023-06-06,Travel AB,Transport Ops & Passenger Experience,Tendered Services,2397.5
2023-06-06,Wakefield Abbey Cars (Kashmir),Transport Ops & Passenger Experience,Tendered Services,8314
2023-06-06,5 Towns Airlink,Transport Ops & Passenger Experience,Tendered Services,5014.77
2023-06-14,Mott Macdonald,Projects,Projects,6682.94
2023-06-14,Mott Macdonald,Projects,Projects,4605.34
2023-06-06,Elite Coach & Minibus Hire Ltd,Transport Ops & Passenger Experience,Tendered Services,3298
2023-06-29,Arco Ltd,Transport Ops & Passenger Experience,Grants and Agency costs,719.21
2023-05-31,Thrive Economics Limited,"Strategy, Comms & Intelligence",Consultancy and Professional Services,23250
2023-06-06,MC Travel,Transport Ops & Passenger Experience,Tendered Services,2975
2023-06-06,Britannia Travel Minibus Hire,Transport Ops & Passenger Experience,Tendered Services,2670
2023-06-06,iTravel Direct,Transport Ops & Passenger Experience,Tendered Services,3740
2023-06-06,Access Cars,Transport Ops & Passenger Experience,Tendered Services,2068.2
2023-06-21,SNC-Lavalin Rail & Transit Limited,Projects,Projects,6074.610000000001
2023-06-28,Gatenby Sanderson,Corporate,Indirect Employee Costs,5453.5
2023-06-28,Gatenby Sanderson,Corporate,Indirect Employee Costs,2181.4
2023-06-28,Bradford MDC,Projects,Projects,107635.88
2023-06-20,Paragon ID UK,Transport Ops & Passenger Experience,Supplies and Services,3149.2
2023-06-12,LSI Ltd,"Strategy, Comms & Intelligence",Supplies and Services,1411
2023-06-06,PND Travel,Transport Ops & Passenger Experience,Tendered Services,3319
2023-06-06,CCS Media,Transport Ops & Passenger Experience,Supplies and Services,4881
2023-06-07,West & North Yorkshire Chamber,"Inclusivity, Economy, Skills & Culture",Supplies and Services,2000
2023-06-07,West & North Yorkshire Chamber,"Inclusivity, Economy, Skills & Culture",Supplies and Services,2000
2023-06-06,iTravels Ltd,Transport Ops & Passenger Experience,Tendered Services,6527
2023-06-06,C A Travel,Transport Ops & Passenger Experience,Tendered Services,1740
2023-06-06,Chico Connect Taxi,Transport Ops & Passenger Experience,Tendered Services,11135
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-06,Civica UK Limited,Finance & Commercial Services,ICT Related Costs,4582.5
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-06,Eminox Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",1255
2023-06-23,Fore Consulting Limited,Transport Policy & Delivery,Consultancy and Professional Services,3600
2023-06-08,R2P UK Systems Ltd,Transport Ops & Passenger Experience,ICT Related Costs,20242.93
2023-06-06,Pulsant,Finance & Commercial Services,ICT Related Costs,11583.54
2023-06-06,Aspinall Verdi Ltd,Projects,Projects,2304.83
2023-06-08,R2P UK Systems Ltd,Transport Ops & Passenger Experience,ICT Related Costs,2598.91
2023-06-08,R2P UK Systems Ltd,Transport Ops & Passenger Experience,ICT Related Costs,4668.23
2023-06-08,R2P UK Systems Ltd,Transport Ops & Passenger Experience,ICT Related Costs,6262.44
2023-06-06,Specialist Computer Centres (SCC) (Public Sales),Finance & Commercial Services,ICT Related Costs,2914.5
2023-06-08,Willmott Dixon Construction Ltd,Projects,Projects,476213.28
2023-06-06,Data Yorkshire Ltd,Transport Ops & Passenger Experience,Tendered Services,1148
2023-06-14,Suez recycling and recovery UK,Transport Ops & Passenger Experience,Premises Costs,893.98
2023-06-06,Softcat Plc,"Strategy, Comms & Intelligence",Supplies and Services,15512.46
2023-06-21,Arup and Partners (Leeds),Projects,Projects,20000
2023-06-29,Suez recycling and recovery UK,Transport Ops & Passenger Experience,Premises Costs,604.8
2023-06-12,Business Stream,Transport Ops & Passenger Experience,Premises Costs,1449.52
2023-06-26,Npower Business,Transport Ops & Passenger Experience,Premises Costs,22368.03
2023-06-26,Npower Business,Transport Ops & Passenger Experience,Premises Costs,23211.54
2023-06-06,Opayo,Transport Ops & Passenger Experience,Financing Charges,7481.4
2023-06-20,Bus Shelters Ltd,Transport Ops & Passenger Experience,Premises Costs,7980.38
2023-06-08,Mobius Networks Ltd,Transport Ops & Passenger Experience,ICT Related Costs,1985.2
2023-06-06,Virgin Media Business,Finance & Commercial Services,ICT Related Costs,2405.9
2023-06-15,Euclid Ltd,Transport Ops & Passenger Experience,Supplies and Services,1659.86
2023-06-15,Euclid Ltd,Transport Ops & Passenger Experience,Supplies and Services,14743.44
2023-06-14,Caters,Corporate,Indirect Employee Costs,3723.37
2023-06-06,Global Media Group Services Ltd,"Strategy, Comms & Intelligence",Supplies and Services,1659
2023-06-12,Global Media Group Services Ltd,"Strategy, Comms & Intelligence",Supplies and Services,3915.91
2023-06-06,Hopewiser Ltd,Finance & Commercial Services,ICT Related Costs,4555
2023-06-06,AAA Travel,Transport Ops & Passenger Experience,Tendered Services,10197
2023-06-06,Scott Travel,Transport Ops & Passenger Experience,Tendered Services,3330
2023-06-06,M Beedle T/A Sunnyside Travel,Transport Ops & Passenger Experience,Tendered Services,2512
2023-06-06,R & J Travel,Transport Ops & Passenger Experience,Tendered Services,2380
2023-06-06,iTravel Direct,Transport Ops & Passenger Experience,Tendered Services,5021
2023-06-06,Easy Travel,Transport Ops & Passenger Experience,Tendered Services,6290
2023-06-07,GT Printing (Leeds),Transport Ops & Passenger Experience,Supplies and Services,569
2023-06-09,Full Circle Management Solutions Limited,"Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,6314.29
2023-06-26,Broster Buchanan LTD,Finance & Commercial Services,Employee Costs,2000
2023-06-07,Dotmailer Limited,Finance & Commercial Services,ICT Related Costs,885
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2313.04
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,577.67
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,5532.12
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2988.23
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,854.05
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,5546.17
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,806.8
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,1797.89
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,1107
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,8432.89
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,553.84
2023-06-18,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,7442.15
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2029.89
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,3807.12
2023-06-07,Balfour Beatty Civil Engineering Ltd,Projects,Projects,496004.5
2023-06-07,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1729.28
2023-06-07,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1460
2023-06-07,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1935.14
2023-06-07,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1769.28
2023-06-07,Reed Specialist Recruitment Limited,Corporate,Employee Costs,2232.58
2023-06-07,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1043.75
2023-06-16,Square Apple Inc Limited,"Inclusivity, Economy, Skills & Culture",Supplies and Services,1200
2023-06-08,Jacobs UK Ltd,Projects,Projects,11442
2023-06-08,Jacobs UK Ltd,Projects,Projects,43075
2023-06-08,Jacobs UK Ltd,Projects,Projects,35904
2023-06-09,Motiv Productions Ltd,"Strategy, Comms & Intelligence",Supplies and Services,1200
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,6846.58
2023-06-12,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,7211.84
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2137.38
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,10817.76
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,10817.76
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,2093.76
2023-06-07,Npower Business,Transport Ops & Passenger Experience,Premises Costs,8417.36
2023-06-29,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,41082.33
2023-06-29,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,41082.33
2023-06-12,North Housing Consulting Limited,"Policing, Environment & Place",Consultancy and Professional Services,14400
2023-06-07,TPX impact Limited,"Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,4500
2023-06-12,Engaging Education,"Inclusivity, Economy, Skills & Culture",Supplies and Services,1375
2023-06-07,Npower Business,Transport Ops & Passenger Experience,Premises Costs,2865.82
2023-06-07,Npower Business,Transport Ops & Passenger Experience,Premises Costs,15845.47
2023-06-07,Npower Business,Transport Ops & Passenger Experience,Premises Costs,5477.37
2023-06-07,Npower Business,Transport Ops & Passenger Experience,Premises Costs,25042.5
2023-06-07,Npower Business,Transport Ops & Passenger Experience,Premises Costs,3805.56
2023-06-13,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Premises Costs,7211.84
2023-06-27,Carlisle Security Services Ltd,Transport Ops & Passenger Experience,Supplies and Services,2788.2
2023-06-13,TJ's Travel,Transport Ops & Passenger Experience,Tendered Services,3400
2023-06-13,TJ's Travel,Transport Ops & Passenger Experience,Tendered Services,3097.5
2023-06-13,TJ's Travel,Transport Ops & Passenger Experience,Tendered Services,3240
2023-06-13,TJ's Travel,Transport Ops & Passenger Experience,Tendered Services,2970
2023-06-13,MHT Enterprises Ltd T/A Oz Travel,Transport Ops & Passenger Experience,Tendered Services,1620
2023-06-13,Nearby cab Ltd,Transport Ops & Passenger Experience,Tendered Services,3036
2023-06-29,Civica UK Limited,Corporate,Supplies and Services,10500
2023-06-06,Virgin Media Business,Finance & Commercial Services,ICT Related Costs,550
2023-06-07,Business Stream,Transport Ops & Passenger Experience,Premises Costs,8137.68
2023-06-07,Npower Business,Transport Ops & Passenger Experience,Premises Costs,22559.16
2023-06-08,Pepperdog Design,Transport Ops & Passenger Experience,Supplies and Services,645
2023-06-13,B M Travel Ltd,Transport Ops & Passenger Experience,Tendered Services,8734.6
2023-06-13,Bargain Private Hire,Transport Ops & Passenger Experience,Tendered Services,30789.25
2023-06-13,Redwood Travel,Transport Ops & Passenger Experience,Tendered Services,43062.14
2023-06-13,Ace Taxis Wakefield Ltd,Transport Ops & Passenger Experience,Tendered Services,144
2023-06-13,Ace Taxis Wakefield Ltd,Transport Ops & Passenger Experience,Tendered Services,42130.22
2023-06-19,Lambert Smith Hampton,Projects,Projects,800
2023-06-14,Canon (UK) Limited,Finance & Commercial Services,Supplies and Services,2834.06
2023-06-16,Vix Technology Ltd,Transport Ops & Passenger Experience,ICT Related Costs,14062.87
2023-06-16,Vix Technology Ltd,Transport Ops & Passenger Experience,ICT Related Costs,6176.46
2023-06-13,AIB Merchant Services,Transport Ops & Passenger Experience,Financing Charges,4076.62
2023-06-28,Vix Technology Ltd,Transport Ops & Passenger Experience,ICT Related Costs,14195.97
2023-06-14,ECG Facilities Services,Transport Ops & Passenger Experience,Premises Costs,885.71
2023-06-30,SSG Advisory Limited,Projects,Projects,3890.5
2023-06-13,Imrano Productions,"Policing, Environment & Place",Supplies and Services,600
2023-06-16,Leeds Beckett University,"Inclusivity, Economy, Skills & Culture",Supplies and Services,568
2023-06-15,Alcium Software,"Inclusivity, Economy, Skills & Culture",Consultancy and Professional Services,1625
2023-06-26,Hunslet Light Commercials Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",655.2
2023-06-13,WSP (Leeds),"Policing, Environment & Place",Consultancy and Professional Services,10030.44
2023-06-13,WSP (Leeds),"Policing, Environment & Place",Consultancy and Professional Services,7610.63
2023-06-14,ECG Facilities Services,Transport Ops & Passenger Experience,Premises Costs,545.03
2023-06-14,ECG Facilities Services,Transport Ops & Passenger Experience,Premises Costs,4917.57
2023-06-14,ECG Facilities Services,Finance & Commercial Services,ICT Related Costs,4726.5
2023-06-30,ECG Facilities Services,Transport Ops & Passenger Experience,Premises Costs,3146.27
2023-06-13,Greenline Taxi's,Transport Ops & Passenger Experience,Tendered Services,19407.99
2023-06-20,Outwood Cars,Transport Ops & Passenger Experience,Tendered Services,19302.66
2023-06-13,NORTHERN TRAVEL SERVICES LTD,Transport Ops & Passenger Experience,Tendered Services,10793
2023-06-13,PP Travel,Transport Ops & Passenger Experience,Tendered Services,10633
2023-06-13,Zoyp,Transport Ops & Passenger Experience,Tendered Services,14321.5
2023-06-13,A Pryde/Dolan Green,Transport Ops & Passenger Experience,Tendered Services,11871
2023-06-13,Falcon Travel Wakefield Ltd,Transport Ops & Passenger Experience,Tendered Services,12886
2023-06-13,Michael Page International Recruitment Ltd,Finance & Commercial Services,Employee Costs,2687.16
2023-06-13,Civica UK Limited,Transport Ops & Passenger Experience,Premises Costs,850
2023-06-26,Npower Business,Transport Ops & Passenger Experience,Premises Costs,22600.32
2023-06-26,Npower Business,Transport Ops & Passenger Experience,Premises Costs,28061.39
2023-06-26,Npower Business,Transport Ops & Passenger Experience,Premises Costs,26907.46
2023-06-26,Npower Business,Transport Ops & Passenger Experience,Premises Costs,22345.27
2023-06-14,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1405.04
2023-06-14,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1460
2023-06-16,Reed Specialist Recruitment Limited,Corporate,Employee Costs,876
2023-06-14,Reed Specialist Recruitment Limited,Corporate,Employee Costs,962.73
2023-06-14,Reed Specialist Recruitment Limited,Corporate,Employee Costs,2855.17
2023-06-14,Reed Specialist Recruitment Limited,Corporate,Employee Costs,1167.36
2023-06-16,Vix Technology Ltd,Transport Ops & Passenger Experience,Income - Operational,58470.88
2023-06-26,Hunslet Light Commercials Ltd,Transport Ops & Passenger Experience,"Travel, Subsistence & Transport Costs",655.2
2023-06-30,Les Newby Associates Limited,"Inclusivity, Economy, Skills & Culture",Supplies and Services,9830
2023-06-14,Promo Parrot Limited,"Policing, Environment & Place",Supplies and Services,1305.5
