Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,03/02/2025,5100469087,"4,583.33",Revenue,SIGNPOSTS (LUTON),100774
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,03/02/2025,5100469088,"4,847.96",Revenue,AMICUS TRUST LTD,102124
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479943,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479945,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479924,"-2,200.00",Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479925,"1,980.00",Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479926,270.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479927,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479928,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479929,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479932,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479933,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479934,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479937,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479938,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479939,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479940,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479941,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479942,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479950,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479951,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479989,"-1,260.00",Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479978,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479977,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479976,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479975,225.00,Revenue,BRITANNIA CABS,107974
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Transport Contracts,6151520,03/02/2025,2100479974,225.00,Revenue,BRITANNIA CABS,107974
