Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
RESOURCES,150,INFORMATION TECHNOLOGY,7550,Corp IT Costs,ICT Costs Software,6142415,02/04/2024,5100394073, 186.24 ,Revenue,INSIGHT DIRECT (UK) LTD,101467
RESOURCES,150,INFORMATION TECHNOLOGY,7550,Corp IT Costs,ICT Costs Software,6142415,02/04/2024,5100394073, 426.15 ,Revenue,INSIGHT DIRECT (UK) LTD,101467
RESOURCES,150,INFORMATION TECHNOLOGY,7550,Corp IT Costs,ICT Costs Software,6142415,02/04/2024,5100394073," 1,597.58 ",Revenue,INSIGHT DIRECT (UK) LTD,101467
RESOURCES,150,INFORMATION TECHNOLOGY,7550,Corp IT Costs,ICT Costs Software,6142415,02/04/2024,5100394073," 3,678.62 ",Revenue,INSIGHT DIRECT (UK) LTD,101467
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Ops Unit - Libraries,Learning Resources,6140100,02/04/2024,5100393859, 407.43 ,Revenue,BAKER ROSS LTD,101657
OFFICE OF THE CHIEF EXECUTIVE,100,SERVICE DEVELOPMENT,1150,Engagement,Grants/Subscriptions/Contributions given,6144300,02/04/2024,5100400378," 6,630.00 ",Revenue,DISABILITY RESOURCE CENTRE,101688
OFFICE OF THE CHIEF EXECUTIVE,100,SERVICE DEVELOPMENT,1150,Engagement,Grants/Subscriptions/Contributions given,6144300,02/04/2024,5100400377," (6,630.00)",Revenue,DISABILITY RESOURCE CENTRE,101688
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,Leaving Care Team,Leaving Care Grant  (New),6151807,02/04/2024,5100397834, 211.63 ,Revenue,AMAZON PAYMENTS EUROPE SCA,101943
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,02/04/2024,5100399886," 4,847.96 ",Revenue,AMICUS TRUST LTD,102124
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,Professional Services - Consultancy,6141020,02/04/2024,5100393731, 918.00 ,Capital,THE POLICE & CRIME COMMISSIONE,102189
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Day Care,6151230,02/04/2024,5100399706," 2,022.00 ",Revenue,GRAND UNION HOUSING GROUP,102202
PLACE AND COMMUNITIES,600,PUBLIC PROTECTION,6700,Food Safety/Standard,Professional Services - Consultancy,6141020,02/04/2024,5100395169, 625.80 ,Revenue,KENT COUNTY COUNCIL,102294
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Household Waste,Private Contractors,6151500,02/04/2024,5100397020," 3,146.62 ",Revenue,BIFFA WASTE SERVICES LTD,102335
PLACE AND COMMUNITIES,600,REGENERATION DIRECTOR,6100,Capital - Regen.,Capital Expenditure S106,6144325,02/04/2024,5100394297," 8,374.04 ",Capital,BEDFORDSHIRE RURAL COMMUNITIES,102793
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Fleet Welfare,Vehicle Repairs and Maintenance Costs,6130200,02/04/2024,5100394163, 339.35 ,Revenue,ADVANCED VEHICLE GLAZING LTD,103070
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Physical Dis,Other LAs SLA's & Recharges,6150200,02/04/2024,5100399691," 1,680.00 ",Revenue,LUTON BOROUGH COUNCIL,103640
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Professional Services - Other,6141040,02/04/2024,5100399135," (145,748.31)",Revenue,NHS BEDS LUTON & MK ICB,103994
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Professional Services - Other,6141040,02/04/2024,5100394305," 145,748.31 ",Revenue,NHS BEDS LUTON & MK ICB,103994
RESOURCES,150,GOVERNANCE,2500,Coroners,Professional Services - Consultancy,6141020,02/04/2024,5100396152," 6,264.05 ",Revenue,SHEFFIELD TEACHING HOSPITALS N,104187
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Ops Unit - Libraries,Furniture Equipment and Materials,6140000,02/04/2024,5100393733, 713.00 ,Revenue,WF EDUCATION GROUP LIMITED,104683
PLACE AND COMMUNITIES,600,LEISURE,6810,Play - leisure servs,Grounds Maintenance Costs,6122300,02/04/2024,5100393111," 2,380.00 ",Revenue,D J GRANGER LANDSCAPES LTD,105231
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,CWD - Maythorn,Cleaning and Domestic Supplies,6122100,02/04/2024,5100394563, 276.09 ,Revenue,PHS GROUP LTD,105345
CHILDREN'S SERVICES,401,AD SEND,4230,EHC,Other Payments,6160400,02/04/2024,5100393969," 8,319.00 ",Revenue,UNIVERSITY OF SOUTHAMPTON,106051
OFFICE OF THE CHIEF EXECUTIVE,100,COMMUNICATIONS,2100,Corporate Comms,Printing Services,6140801,02/04/2024,5100394353," 4,908.00 ",Revenue,STERLING PRESS LTD,106496
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Waste strat-Communic,Advertising and Publicity,6116305,02/04/2024,5100394383," 1,284.00 ",Revenue,STERLING PRESS LTD,106496
PLACE AND COMMUNITIES,600,REGENERATION DIRECTOR,6100,Capital - Regen.,Capital Expenditure S106,6144325,02/04/2024,5100394179," 72,661.24 ",Capital,ARRIVA THE SHIRES LTD,107563
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Fleet Welfare,Vehicle Repairs and Maintenance Costs,6130200,02/04/2024,5100395850, 832.43 ,Revenue,BEDFORD AUTO PANELS,107683
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Fleet Education,Vehicle Repairs and Maintenance Costs,6130200,02/04/2024,5100393676," 1,058.59 ",Revenue,BEDFORD AUTO PANELS,107683
CHILDREN'S SERVICES,401,EDUCATIONAL TRANSPORT,4350,SEN Transport,Transport & Meals (Social Services Care),6151265,02/04/2024,5100399819," 25,282.65 ",Revenue,BRITANNIA CABS,107974
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Waste Recycling  Amp,Private Contractors,6151500,02/04/2024,5100399695, 919.51 ,Revenue,GROWING BEDS RECYCLING SERVS,108069
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Waste Recycling  Big,Private Contractors,6151500,02/04/2024,5100399695, 922.61 ,Revenue,GROWING BEDS RECYCLING SERVS,108069
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Waste Recycling  Dun,Private Contractors,6151500,02/04/2024,5100399695, 229.10 ,Revenue,GROWING BEDS RECYCLING SERVS,108069
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Waste Recycling  L_B,Private Contractors,6151500,02/04/2024,5100399695, 182.15 ,Revenue,GROWING BEDS RECYCLING SERVS,108069
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Waste Recycling  Amp,Private Contractors,6151500,02/04/2024,5100399699, 963.89 ,Revenue,GROWING BEDS RECYCLING SERVS,108069
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Waste Recycling  Big,Private Contractors,6151500,02/04/2024,5100399699, 827.66 ,Revenue,GROWING BEDS RECYCLING SERVS,108069
SOCIAL CARE HEALTH & HOUSING,500,SAFEGUARDING/PSW/OT,5201,Mental Cap & IMCA,Professional Services - Other,6141040,02/04/2024,5100399680," 3,019.42 ",Revenue,DR SYED ASHRAF,108526
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,Capital Construction / Refurbishment,6121005,02/04/2024,5100395300," 23,823.37 ",Capital,R BORRAS CONSTRUCTION LTD,109120
PLACE AND COMMUNITIES,600,CLIENT & DEVELOPMENT SERVICES,6150,Flood Risk Grant,Professional Services - Consultancy,6141020,02/04/2024,5100393689," 3,000.00 ",Revenue,HERTFORDSHIRE COUNTY COUNCIL,109250
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Chiltern Vale Quadra,Water Services,6120800,02/04/2024,5100397939," 1,597.49 ",Revenue,CASTLE WATER LIMITED,109481
CHILDREN'S SERVICES,401,AD EDUCATION,4200,Music Operations,Other LAs SLA's & Recharges,6150200,02/04/2024,5100399793, 401.36 ,Revenue,BEDFORD BOROUGH COUNCIL,109540
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,CWD Resp Kingfishers,Private Contractors,6151500,02/04/2024,5100395849, 297.70 ,Revenue,BEDFORD BOROUGH COUNCIL,109540
PLACE AND COMMUNITIES,600,BUSINESS INVESTMENT & PLACE DELIVERY,6300,Adult Skills Budget,Private Contractors,6151500,02/04/2024,5100393737, 821.29 ,Revenue,BEDFORD BOROUGH COUNCIL,109540
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Chiltern Vale Quadra,Disposal of Waste,6151510,02/04/2024,5100395883," 1,340.35 ",Revenue,BEDFORD BOROUGH COUNCIL,109540
PUBLIC HEALTH,800,ASST DIRECTOR OF PUBLIC HEALTH,8010,PH Other C&YP Contra,Public Health SLA Recharges,6150230,02/04/2024,5100394313," 6,328.80 ",Revenue,BEDFORD BOROUGH COUNCIL,109540
HRA,850,HOUSING SERVICES (HRA),5100,Homeless Hostel,Electricity Costs,6120210,02/04/2024,5100397244," 1,465.82 ",Revenue,NPOWER LTD,109845
HRA,850,HOUSING SERVICES (HRA),5100,Homeless Hostel,Electricity Costs,6120210,02/04/2024,5100396179," 2,405.57 ",Revenue,NPOWER LTD,109845
HRA,850,HOUSING SERVICES (HRA),5100,Homeless Hostel,Electricity Costs,6120210,02/04/2024,5100396180," 7,698.74 ",Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,CLIENT & DEVELOPMENT SERVICES,6150,Albion - Projects,Electricity Costs,6120210,02/04/2024,5100396558, 525.37 ,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Street Lighting,Street Light Electricity,6120215,02/04/2024,5100396773," 1,664.38 ",Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Street Lighting,Street Light Electricity,6120215,02/04/2024,5100396774," 1,224.01 ",Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Street Lighting,Street Light Electricity,6120215,02/04/2024,5100396770, 832.54 ,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Street Lighting,Street Light Electricity,6120215,02/04/2024,5100396772, 638.90 ,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Street Lighting,Street Light Electricity,6120215,02/04/2024,5100399277, 400.83 ,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Street Lighting,Street Light Electricity,6120215,02/04/2024,5100396769, 243.64 ,Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Street Lighting,Street Light Electricity,6120215,02/04/2024,5100399125," 169,213.10 ",Revenue,NPOWER LTD,109845
PLACE AND COMMUNITIES,600,PARKING,6825,Car Park Mgt &Maint,Electricity Costs,6120210,02/04/2024,5100396437," 2,859.85 ",Revenue,NPOWER LTD,109845
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Ferndale OPH,Electricity Costs,6120210,02/04/2024,5100398320," 2,266.15 ",Revenue,NPOWER LTD,109845
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Allison House OPH,Electricity Costs,6120210,02/04/2024,5100397562," 2,149.09 ",Revenue,NPOWER LTD,109845
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Westlands OPH,Electricity Costs,6120210,02/04/2024,5100396746," 2,213.17 ",Revenue,NPOWER LTD,109845
CORPORATE COSTS,160,CORPORATE COSTS,7800,Pension Payments,Pension Payments,5119000,02/04/2024,5100399888," 102,000.00 ",Revenue,BEDFORDSHIRE PENSION FUND,110145
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Allison House OPH,Repairs Alterations and Maintenance of Buildings,6121000,02/04/2024,5100394054, 380.79 ,Revenue,FAIRFIELD CARE PRODUCTS LTD,110849
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,PFI Scheme,Professional Services - Consultancy,6141020,02/04/2024,5100397845," 446,165.13 ",Revenue,BEDFORD EDUCATION PARTNERSHIP,113576
CHILDREN'S SERVICES,401,EDUCATIONAL TRANSPORT,4350,SEN Transport,Transport & Meals (Social Services Care),6151265,02/04/2024,5100398844," 7,579.84 ",Revenue,HAVANNA CARS,115518
CHILDREN'S SERVICES,401,EDUCATIONAL TRANSPORT,4350,SEN post 16,Transport & Meals (Social Services Care),6151265,02/04/2024,5100397422," 3,084.96 ",Revenue,HAVANNA CARS,115518
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,02/04/2024,5100399077," 9,061.14 ",Capital,POTTON WINDOWS LTD,116459
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Household Waste,Private Contractors,6151500,02/04/2024,5100398986," 5,357.66 ",Revenue,MATERIAL CHANGE COMPOSTING LTD,116503
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,FDAC Team,Impact  (New),6151803,02/04/2024,5100399736, 365.05 ,Revenue,ABBOTT TOXICOLOGY LTD,117022
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399225," 5,590.70 ",Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399208, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399226, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399209," 3,465.87 ",Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399210," 4,669.03 ",Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399227, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399211, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399228, 437.50 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399229," 2,619.91 ",Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399230, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399231, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399215," 2,264.61 ",Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399214, 949.25 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399213, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399216, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399212, 330.00 ,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399217," 1,891.85 ",Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399224," 2,390.96 ",Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,Professional Services - Consultancy,6141020,02/04/2024,5100393163, 760.50 ,Capital,ALLAN PEACOCK (STREET LIGHTING,118363
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Household Waste,Private Contractors,6151500,02/04/2024,5100399789," 86,419.45 ",Revenue,VEOLIA ENVIRONMENTAL SERVICES,119063
CHILDREN'S SERVICES,401,AD EDUCATION,4200,SI SACRE,Private Contractors,6151500,02/04/2024,5100394921," 1,330.00 ",Revenue,CHRISTIAN EDUCATION,119065
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Highways Contract Mg,Subscriptions,6144305,02/04/2024,5100392884," 1,440.00 ",Revenue,BCIS,122868
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Allison House OPH,Repairs Alterations and Maintenance of Buildings,6121000,02/04/2024,5100394517, 214.25 ,Revenue,CATERCARE CATERING EQUIPMENT L,122878
SOCIAL CARE HEALTH & HOUSING,500,RESOURCES - SCHH,5400,Equip-Pooled Budgets,Equipment and Adaptions,6140005,02/04/2024,5100394232," 250,040.43 ",Revenue,MILLBROOK HEALTHCARE,123804
PLACE AND COMMUNITIES,600,CLIENT & DEVELOPMENT SERVICES,6150,Albion - Projects,ICT Costs Software,6142415,02/04/2024,5100393863," 1,320.00 ",Revenue,SOFTCAT,124454
PLACE AND COMMUNITIES,600,CLIENT & DEVELOPMENT SERVICES,6150,Albion - Projects,ICT Costs Software,6142415,02/04/2024,5100393863," 1,600.50 ",Revenue,SOFTCAT,124454
PLACE AND COMMUNITIES,600,CLIENT & DEVELOPMENT SERVICES,6150,Bldg Control - Fee,Subscriptions,6144305,02/04/2024,5100396111," 2,962.61 ",Revenue,LABC,130125
PLACE AND COMMUNITIES,600,PUBLIC PROTECTION,6700,Licencing,Furniture Equipment and Materials,6140000,02/04/2024,5100392788, 515.60 ,Revenue,NEW AUTO LIMITED T/A MOGO UK,130375
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Beehive,Catering Supplies,6140200,02/04/2024,5100393829, 543.55 ,Revenue,BFS GROUP LTD T/A 3663,130382
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Biggleswade Soc Ctr,Catering Supplies,6140200,02/04/2024,5100393828, 405.25 ,Revenue,BFS GROUP LTD T/A 3663,130382
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,H Regis Day Care Ctr,Catering Supplies,6140200,02/04/2024,5100393924, 589.29 ,Revenue,BFS GROUP LTD T/A 3663,130382
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Ivel Valley Quadrant,Postages,6142000,02/04/2024,5100394823," 1,876.97 ",Revenue,WHISTL UK LTD,130551
PLACE AND COMMUNITIES,600,DEVELOPMENT INFRASTRUCTURE,6500,Planning Revenue,Professional Services - Consultancy,6141020,02/04/2024,5100393162," 1,450.00 ",Revenue,PHD CHARTERED TOWN PLANNERS,131481
PLACE AND COMMUNITIES,600,REGENERATION DIRECTOR,6100,Capital - Regen.,Capital Expenditure S106,6144325,02/04/2024,5100395153," 1,074.37 ",Capital,STOTFOLD TOWN COUNCIL,131647
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,Safeguarding South,Private Contractors,6151500,02/04/2024,5100399677, 577.00 ,Revenue,DNA WORLDWIDE GROUP,131983
PLACE AND COMMUNITIES,600,CLIENT & DEVELOPMENT SERVICES,6150,Albion - Projects,Gas Costs,6120220,02/04/2024,5100396472," 1,382.96 ",Revenue,TOTAL ENERGIES,132010
CHILDREN'S SERVICES,401,AD SEND,4230,AD SEND,Conference Expenses,6143300,02/04/2024,5100398939, (424.00),Revenue,ASSOC OF DIRECTORS OF CHILDERN,132188
CHILDREN'S SERVICES,401,AD SEND,4230,AD SEND,Conference Expenses,6143300,02/04/2024,5100398938, 911.00 ,Revenue,ASSOC OF DIRECTORS OF CHILDERN,132188
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,AD Social Care & Ear,Conference Expenses,6143300,02/04/2024,5100393112, 487.00 ,Revenue,ASSOC OF DIRECTORS OF CHILDERN,132188
CHILDREN'S SERVICES,401,AD EDUCATION,4200,Virtual School,Direct School Support,6151335,02/04/2024,5100395944, 600.00 ,Revenue,BEDFORD ACADEMY,132303
CHILDREN'S SERVICES,401,AD SEND,4230,Early Years SEN Fund,Nursery Providers,6151535,02/04/2024,5100380692, (712.73),Revenue,THE MARY BASSETT PRE-SCHOOL,132968
HRA,850,HOUSING SERVICES (HRA),5100,Homeless Hostel,Private Contractors,6151500,02/04/2024,5100392859, 384.99 ,Revenue,PLACES FOR PEOPLE,134225
HRA,850,HOUSING SERVICES (HRA),5100,Neighbourhood Mgmt,Ad hoc / Minor General Expenses,6146000,02/04/2024,5100392900, 390.00 ,Revenue,TROWERS & HAMLINS LLP,134425
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Fleet Education,Vehicle Repairs and Maintenance Costs,6130200,02/04/2024,5100396807, 230.00 ,Revenue,DGM SERVICES LTD,134875
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,Capital Construction / Refurbishment,6121005,02/04/2024,5100397962," 938,065.43 ",Capital,MORGAN SINDALL (CONSTRUCTION),135173
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Social Services Payments,6160800,02/04/2024,5100399807, 348.50 ,Revenue,VOICEABILITY,135331
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399258," 1,146.44 ",Revenue,NEW CENTURY DOORS LTD,136117
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,02/04/2024,5100399263, 659.53 ,Revenue,NEW CENTURY DOORS LTD,136117
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,02/04/2024,5100399257," 1,390.92 ",Capital,NEW CENTURY DOORS LTD,136117
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,02/04/2024,5100399259, 659.53 ,Capital,NEW CENTURY DOORS LTD,136117
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,02/04/2024,5100399261, 686.21 ,Capital,NEW CENTURY DOORS LTD,136117
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,02/04/2024,5100399262," 1,566.19 ",Capital,NEW CENTURY DOORS LTD,136117
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,02/04/2024,5100399264," 1,820.00 ",Capital,NEW CENTURY DOORS LTD,136117
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,Timberland,Repairs Alterations and Maintenance of Buildings,6121000,02/04/2024,5100399260, 815.49 ,Revenue,NEW CENTURY DOORS LTD,136117
CHILDREN'S SERVICES,401,DIRECTOR OF CHILDREN'S SERVICES,4000,Capital - Children,Capital Construction / Refurbishment,6121005,02/04/2024,5100398963," 30,595.22 ",Capital,G & S HUTCHINSON LTD,136319
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,Advertising and Publicity,6116305,02/04/2024,5100392844, 726.00 ,Capital,EDWARD PEAKE MIDDLE SCHOOL,136720
