Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
CHILDREN'S SERVICES,401,AD SEND,4230,Post 16,Voluntary & Independent Schools,6151710,02/04/2024,5100392898," 124,658.00 ",Revenue,NORTH HERTFORDSHIRE COLLEGE,100234
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Priory House Café,Catering Supplies,6140200,02/04/2024,5100395225, 817.55 ,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Priory House Café,Catering Supplies,6140200,02/04/2024,5100393820, 600.63 ,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Ferndale OPH,Catering Supplies,6140200,02/04/2024,5100395273, 628.13 ,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Allison House OPH,Catering Supplies,6140200,02/04/2024,5100396438, 412.95 ,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
PLACE AND COMMUNITIES,600,LEISURE,6810,Community Phy. Activ,Professional Services - Other,6141040,02/04/2024,5100370109, 630.00 ,Revenue,THE WILDLIFE TRUST BCNP,100458
RESOURCES,150,PEOPLE,7300,Training,Training,6116200,02/04/2024,5100399675, 500.00 ,Revenue,UNIVERSITY OF BEDFORDSHIRE,100689
HRA,850,HOUSING SERVICES (HRA),5100,Homeless Hostel,Cleaning and Domestic Supplies,6122100,02/04/2024,5100396802, 970.00 ,Revenue,M C S CONTRACT CLEANING LTD,100705
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,02/04/2024,5100399884," 4,583.33 ",Revenue,SIGNPOSTS (LUTON),100774
PLACE AND COMMUNITIES,600,BUSINESS INVESTMENT & PLACE DELIVERY,6300,Adult Education,Exam Fees,6146100,02/04/2024,5100395698, 826.20 ,Revenue,CITY & GUILDS OF LONDON INSTIT,100916
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,02/04/2024,5100399885, 420.68 ,Revenue,ANCHOR TRUST,101079
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Libraries Management,Conference Expenses,6143300,02/04/2024,5100393116, 473.00 ,Revenue,SCL - SOCIETY OF CHIEF LIBRARI,101422
PLACE AND COMMUNITIES,600,PLACE & C DIRECTOR,6200,Capital - Comm Servs,Postages,6142000,02/04/2024,5100394130, 283.99 ,Capital,INSIGHT DIRECT (UK) LTD,101467
