Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500572,270.28,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500573,270.28,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500574,270.28,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500575,270.28,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500576,810.60,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500577,810.60,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500578,810.60,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500579,810.60,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500586,486.36,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500587,486.36,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500631,555.84,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500632,671.64,Revenue,HF TRUST LTD,100631
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,03/03/2025,5100476154,4583.33,Revenue,SIGNPOSTS (LUTON),100774
PLACE AND COMMUNITIES,600,TRANSPORT,6410,BSIP,Transport Contracts,6151520,03/03/2025,5100469308,9854.00,Revenue,CENTREBUS LTD,100876
PLACE AND COMMUNITIES,600,TRANSPORT,6410,Public Bus Subsidy,Transport Contracts,6151520,03/03/2025,5100469310,1275.30,Revenue,CENTREBUS LTD,100876
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,03/03/2025,5100476155,4847.96,Revenue,AMICUS TRUST LTD,102124
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500544,2076.73,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500545,2076.73,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500546,2076.73,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500547,1483.38,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500549,546.69,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500550,546.69,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500551,546.69,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500552,390.49,Revenue,AMBITO CARE & SUPPORT,102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/03/2025,2100500543,593.35,Revenue,AMBITO CARE & SUPPORT,102215
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Household Waste,Street Sweepings Disposal,6161520,03/03/2025,5100467917,1282.45,Revenue,BIFFA WASTE SERVICES LTD,102335
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,SENAdd Pupil Support,Alternative School Provisions,6151330,03/03/2025,5100471811,1080.00,Revenue,AUTISM BEDFORDSHIRE,103224
PLACE AND COMMUNITIES,600,DEVELOPMENT INFRASTRUCTURE,6500,Planning Revenue,Transport Contracts,6151520,03/03/2025,5100469228,275.00,Revenue,EXPRESSLINES LTD,104244
PLACE AND COMMUNITIES,600,DEVELOPMENT INFRASTRUCTURE,6500,Planning Revenue,Transport Contracts,6151520,03/03/2025,5100469229,275.00,Revenue,EXPRESSLINES LTD,104244
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112284,5199.88,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112285,3895.64,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112286,3779.14,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112287,3759.14,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112288,4780.04,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112289,3779.14,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112290,3779.14,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112291,3779.14,Revenue,FOSTER CARE ASSOCIATES LTD,104660
CORPORATE COSTS,160,CORPORATE COSTS,7800,Pension Payments,Pension Payments,5119000,03/03/2025,5100476156,143096.84,Revenue,BEDFORD BOROUGH COUNCIL,109540
HRA,850,HOUSING SERVICES (HRA),5100,HRA Inclusion,Electricity Costs,6120210,03/03/2025,5100470792,2141.07,Revenue,NPOWER LTD,109845
CORPORATE COSTS,160,CORPORATE COSTS,7800,Pension Payments,Pension Payments,5119000,03/03/2025,5100476157,102000.00,Revenue,BEDFORDSHIRE PENSION FUND,110145
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112233,3080.00,Revenue,FOSTERING OPTIONS LTD,113929
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112232,3080.00,Revenue,FOSTERING OPTIONS LTD,113929
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112231,3100.16,Revenue,FOSTERING OPTIONS LTD,113929
CHILDREN'S SERVICES,401,LAC PLACEMENT COSTS,4155,Ind Foster Agency,Independent Foster Care  (New),6151800,03/03/2025,2200112230,3100.16,Revenue,FOSTERING OPTIONS LTD,113929
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476047,330.00,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476048,330.00,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476046,3252.96,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476017,968.14,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476063,1492.08,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476064,330.00,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476066,330.00,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476067,330.00,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
HRA,850,HOUSING SERVICES (HRA),5100,Repairs day to day,Day to Day Repairs - All Areas,6125080,03/03/2025,5100476055,2383.55,Revenue,M&J GROUP (CONSTRUCTION & ROOF,117635
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,03/03/2025,5100476054,330.00,Capital,M&J GROUP (CONSTRUCTION & ROOF,117635
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,03/03/2025,5100476056,330.00,Capital,M&J GROUP (CONSTRUCTION & ROOF,117635
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Furniture Equipment and Materials,6140000,03/03/2025,5100476058,330.00,Capital,M&J GROUP (CONSTRUCTION & ROOF,117635
