Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,01/10/2024,5100439441,4770.00,Capital,ARJO UK LTD,0000100000
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Capital Construction / Refurbishment,6121005,01/10/2024,5100439398,7602.02,Capital,MODPLAN,0000100027
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Capital Construction / Refurbishment,6121005,01/10/2024,5100439394,-7602.02,Capital,MODPLAN,0000100027
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Capital Construction / Refurbishment,6121005,01/10/2024,5100434510,8338.02,Capital,MODPLAN,0000100027
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,West Mid Beds Quadra,Repairs Alterations and Maintenance of Buildings,6121000,01/10/2024,5100438344,710.00,Revenue,SDG ELECTRICAL & MECHANICAL,0000100035
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,West Mid Beds Quadra,Repairs Alterations and Maintenance of Buildings,6121000,01/10/2024,5100438351,875.00,Revenue,ROYAL INDUSTRIAL DOORS,0000100081
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,01/10/2024,5100439440,5739.36,Capital,BSG PROPERTY SERVICES LTD,0000100091
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,01/10/2024,5100439614,7067.50,Capital,BSG PROPERTY SERVICES LTD,0000100091
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Grounds Maint - Mid,Private Contractors,6151500,01/10/2024,5100439110,1287.32,Revenue,M J GRANGER GROUNDS MAINTENANC,0000100150
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Grounds Maint - Mid,Private Contractors,6151500,01/10/2024,5100439111,286.00,Revenue,M J GRANGER GROUNDS MAINTENANC,0000100150
PLACE AND COMMUNITIES,600,ENVIRONMENT,6800,Grounds Maint - Mid,Private Contractors,6151500,01/10/2024,5100439112,15164.21,Revenue,M J GRANGER GROUNDS MAINTENANC,0000100150
SOCIAL CARE HEALTH & HOUSING,500,DIRECTOR OF SOCIAL CARE HEALTH HOUSING,5000,Capital - Soc. Care,Private Contractors,6151500,01/10/2024,5100439611,3420.00,Capital,M C S CONTRACT CLEANING LTD,0000100705
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,01/10/2024,5100439739,4583.33,Revenue,SIGNPOSTS (LUTON),0000100774
PLACE AND COMMUNITIES,600,HIGHWAYS,6400,Flood Grant,Flood Risk consultancy,6141030,01/10/2024,5100436823,18804.00,Revenue,BEDFORD GROUP OF DRAINAGE BOAR,0000101130
CHILDREN'S SERVICES,401,EDUCATION SEND AND INCLUSION,4230,Early Years SEN Fund,Nursery Providers,6151535,01/10/2024,5100439478,2837.12,Revenue,BEST NURSERIES,0000101575
CHILDREN'S SERVICES,401,AD SOCIAL CARE & EARLY HELP,4100,Leaving Care Team,Leaving Care Grant  (New),6151807,01/10/2024,5100437638,238.33,Revenue,AMAZON PAYMENTS EUROPE SCA,0000101943
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,01/10/2024,5100439740,4847.96,Revenue,AMICUS TRUST LTD,0000102124
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389203,-808.50,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389204,-808.50,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389205,-808.50,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389206,-808.50,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389207,-808.50,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389033,-616.00,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389032,-616.00,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389208,-808.50,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389209,-808.50,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389031,-616.00,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389210,621.90,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389211,621.90,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389030,-616.00,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389029,-616.00,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389028,-616.00,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389027,663.36,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389026,663.36,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389025,663.36,Revenue,AMBITO CARE & SUPPORT,0000102215
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,01/10/2024,2100389212,621.90,Revenue,AMBITO CARE & SUPPORT,0000102215
