Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
CHILDREN'S SERVICES,401,EDUCATIONAL TRANSPORT,4350,Mainstream Schools,Transport & Meals (Social Services Care),6151265,02/09/2024,5100431253,"30,147.75",Revenue,BARTON COACH COMPANY,138246
CHILDREN'S SERVICES,401,EDUCATIONAL TRANSPORT,4350,Mainstream Schools,Transport & Meals (Social Services Care),6151265,02/09/2024,5100433822,"-30,147.75",Revenue,BARTON COACH COMPANY,138246
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Sth,Nursing Home Payments,6151205,02/09/2024,5100433959,"-9,736.07",Revenue,ASHBY HOUSE CARE HOME,147596
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,65+ packages Nth,Nursing Home Payments,6151205,02/09/2024,5100433958,"-3,200.00",Revenue,CLOVERLEAF CARE HOME,148313
PLACE AND COMMUNITIES,600,FACILITIES MANAGEMENT,7630,Priory House Café,Catering Supplies,6140200,03/09/2024,5100432542,336.06,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,LB Social Centre,Catering Supplies,6140200,03/09/2024,5100433390,394.12,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Westlands OPH,Catering Supplies,6140200,03/09/2024,5100433384,392.18,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Westlands OPH,Catering Supplies,6140200,03/09/2024,5100433381,433.26,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,LB Social Centre,Catering Supplies,6140200,03/09/2024,5100433378,262.30,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Allison House OPH,Catering Supplies,6140200,03/09/2024,5100431881,535.05,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
SOCIAL CARE HEALTH & HOUSING,500,CARE AND SUPPORT,5202,Ferndale OPH,Catering Supplies,6140200,03/09/2024,5100430637,702.34,Revenue,BRAKE BROS FOOD SERVICE LTD,100299
HRA,850,HOUSING SERVICES (HRA),5100,Community Support,Cleaning and Domestic Supplies,6122100,03/09/2024,5100432729,"1,650.00",Revenue,M C S CONTRACT CLEANING LTD,100705
HRA,850,HOUSING SERVICES (HRA),5100,Neighbourhood Mgmt,Cleaning and Domestic Supplies,6122100,03/09/2024,5100432539,790.00,Revenue,M C S CONTRACT CLEANING LTD,100705
HRA,850,HOUSING SERVICES (HRA),5100,HRA Inclusion,Cleaning and Domestic Supplies,6122100,03/09/2024,5100427564,458.26,Revenue,M C S CONTRACT CLEANING LTD,100705
SOCIAL CARE HEALTH & HOUSING,500,HOUSING SOLUTIONS (GF),5150,GF Inclusion,Supported Housing Contracts,6151515,03/09/2024,5100433642,"4,583.33",Revenue,SIGNPOSTS (LUTON),100774
RESOURCES,150,REVENUE & BENEFITS,2240,Customer Accounts,Agency Staff,6110000,03/09/2024,5100429141,"25,881.81",Revenue,CIVICA UK LTD,100954
RESOURCES,150,PEOPLE,7300,TU Facilities,Professional Services - Other,6141040,03/09/2024,5100430592,"3,185.85",Revenue,PULFORD LOWER SCHOOL,101652
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367186,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367187,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367188,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367189,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367190,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367199,505.50,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367200,505.50,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367201,505.50,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367202,505.50,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367203,505.50,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367204,505.50,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367205,505.50,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367125,404.40,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367126,566.16,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367127,566.16,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367128,566.16,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367129,404.40,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367175,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367176,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367177,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367178,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367179,594.47,Revenue,MENCAP,101804
SOCIAL CARE HEALTH & HOUSING,500,COMMUNITY ASSESS,5203,Learning Disab Pack,Supported Living,6151215,03/09/2024,2100367180,594.47,Revenue,MENCAP,101804
