Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Central Services to the Public,STREETSBROOK INFANT & EARLY YEARS ACADEMY,16/09/2024,No,83.25,ROOM HIRE PREMISES HIRE,Room Hire
Corporate & Democratic Core,STREETSBROOK INFANT & EARLY YEARS ACADEMY,16/09/2024,No,83.5,ROOM HIRE PREMISES HIRE,Room Hire
Central Services to the Public,STREETSBROOK INFANT & EARLY YEARS ACADEMY,16/09/2024,No,83.25,ROOM HIRE PREMISES HIRE,Room Hire
Planning & Development Services,STREETSBROOK INFANT & EARLY YEARS ACADEMY,16/09/2024,No,4700,GRANTS & SUBSCRIPTIONS,Grants - Other
Adult Social Care,SILVALEA LTD,13/08/2024,No,-210,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-600,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-80,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,420,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,80,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-420,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,80,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,420,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-80,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-420,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,210,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-510,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,-1100,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/08/2024,No,600,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,4320,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,540,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,2070,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,2160,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,110,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,195,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,65,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,MALLATITE LIMITED,16/09/2024,No,246,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),19/09/2024,No,267.87,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),19/09/2024,No,187.65,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),19/09/2024,No,159.81,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),20/09/2024,No,3962.2,MATERIALS,Street Lighting - Materials - Highways
Other Housing Services,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,30/08/2024,No,28416,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Cultural & Related Services,PLAYDALE PLAYGROUNDS LTD,14/08/2024,No,746.37,OTHER CONTRACTED SERVICES,Land Protection
Adult Social Care,SILVALEA LTD,15/07/2024,No,-80,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,420,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
