Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,Bodens Psychology Services Ltd,21/11/2024,No,8800,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Highways & Transport Services,JENOPTIK UK LTD,21/11/2024,No,17780.44,OTHER CONTRACTED SERVICES,Street & Traffic Management - Traffic Control
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,15/11/2024,No,-141305.25,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,15/11/2024,No,141305.25,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,15/11/2024,No,141305.25,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Children & Education Services,SH Occupational Therapy,06/11/2024,No,630,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Adult Social Care,SILVALEA LTD,17/05/2024,No,-300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,17/05/2024,No,300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,17/05/2024,No,90,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,17/05/2024,No,210,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,13/11/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,13/11/2024,No,497,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,15/11/2024,No,1820,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,21/11/2024,No,1485,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,21/11/2024,No,391,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,21/11/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/11/2024,No,1650,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Planning & Development Services,Tandem Property Asset Management LLP,05/11/2024,No,1307.98,RENTS FOR PREMISES,Rents
Children & Education Services,SECURE ONE,15/11/2024,No,736.5,OTHER PREMISE COSTS,Security - Alarms
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,-300,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,300,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,-499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/11/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,13/11/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,28/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,27/11/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/11/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/11/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/11/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,136.6,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,-136.6,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,141.1,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,-141.1,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
