Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Cultural & Related Services,IMA Festival Ltd,01-08-2024,No,750,OTHER FEES & CHARGES,Events
Adult Social Care,SILVALEA LTD,21-08-2024,No,-400,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,21-08-2024,No,400,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,21-08-2024,No,-320,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Highways & Transport Services,JENOPTIK UK LTD,01-08-2024,No,42184.4,OTHER CONTRACTED SERVICES,Street & Traffic Management - Traffic Control
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),13-08-2024,No,1136,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),13-08-2024,No,852,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),13-08-2024,No,9048.96,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),13-08-2024,No,474.8,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),13-08-2024,No,119.39,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),19-08-2024,No,2120,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),19-08-2024,No,4689,MATERIALS,Street Lighting - Materials - Highways
Adult Social Care,CARE & INDEPENDANCE LTD,08-08-2024,No,1460,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,08-08-2024,No,399,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,20-08-2024,No,1510,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,23-08-2024,No,391,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,23-08-2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Highways & Transport Services,SMITH OF DERBY LTD,19-08-2024,No,271,OTHER CONTRACTED SERVICES,Street Lighting - Highways
Central Services to the Public,ONLINE ERGONOMICS LTD,15-08-2024,No,3336.28,PURCHASE OF EQUIPMENT/MACHINERY,"Office Business Equipment (Shredders, Guillotines, Laminators, etc)"
Planning & Development Services,Tandem Property Asset Management LLP,01-08-2024,No,11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,01-08-2024,No,-11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,01-08-2024,No,9895.2,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,01-08-2024,No,-11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,01-08-2024,No,11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,01-08-2024,No,9895.2,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,08-08-2024,No,-1861.45,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,08-08-2024,No,1861.45,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,08-08-2024,No,1551.21,RENTS FOR PREMISES,Rents
Children & Education Services,PROSPERO TEACHING,08-08-2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,08-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,08-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,08-08-2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,08-08-2024,No,500,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,08-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,19-08-2024,No,300,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,27-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,27-08-2024,No,300,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,27-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,27-08-2024,No,300,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,27-08-2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
