Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,3003.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,584.22,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2531.62,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2929.08,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,14/09/2022,,-293.57,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,14/09/2022,,-2740.00,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,14/09/2022,,-391.43,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,14/09/2022,,-978.57,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,14/09/2022,,293.57,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,01/09/2022,,16265.17,OTHER CONTRACTED SERVICES,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,01/09/2022,,1323.08,OTHER CONTRACTED SERVICES,Not categorised
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,15/09/2022,,29987.50,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,15/09/2022,,15000.00,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Economy and Infrastructure,Highways & Transport Services,Action Graphics (Bham) Ltd,22/09/2022,,347.50,PURCHASE OF EQUIPMENT/MACHINERY,Parking - Equipment
Solihull MBC,Resources,Central Services to the Public,Activate Enterprise,16/09/2022,,7950.00,TRAINING,Training
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Angels,08/09/2022,,4544.10,GRANTS & SUBSCRIPTIONS,Not categorised
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Angels,09/09/2022,,12630.00,GRANTS & SUBSCRIPTIONS,Not categorised
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Angels,05/09/2022,,400.24,GRANTS & SUBSCRIPTIONS,Not categorised
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,01/09/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,01/09/2022,,774.69,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,06/09/2022,,0.00,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,06/09/2022,,387.35,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,06/09/2022,,0.00,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,06/09/2022,,379.75,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,27/09/2022,,0.00,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,27/09/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,27/09/2022,,0.00,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,27/09/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Children and Education,Children & Education Services,ADT Fire And Security PLC,30/09/2022,,1019.18,OTHER PREMISE COSTS,Security - Other
Solihull MBC,Children and Education,Children & Education Services,ADT Fire And Security PLC,08/09/2022,,5583.00,CONTRACTORS,Buildings - Construction - CAPITAL
Solihull MBC,Children and Education,Children & Education Services,Advanced Child Care Assessments Ltd,08/09/2022,,2416.80,LEGAL FEES,Legal Services - Other
Solihull MBC,Adult Care Support,Adult Social Care,Age UK Solihull,06/09/2022,,66090.42,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
