Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2935.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2935.56,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2935.56,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2935.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2935.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,1287.43,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,3004.00,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,3003.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,3003.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,1991.99,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2935.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
