Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Planning & Development Services,STREETSBROOK INFANT & EARLY YEARS ACADEMY,14/10/2024,No,1762.56,GRANTS & SUBSCRIPTIONS,Grants - Other
Adult Social Care,JOHN PRESTON & CO,26/09/2024,No,-50.17,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,JOHN PRESTON & CO,26/09/2024,No,292.69,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,JOHN PRESTON & CO,26/09/2024,No,8.35,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Cultural & Related Services,ASKEWS LIBRARY SERVICES LTD,28/10/2024,No,220.14,MATERIALS,Library Books
Other Housing Services,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,30/08/2024,No,37500,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,07/10/2024,No,567005.13,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,30/10/2024,No,141305.25,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,30/10/2024,No,141305.25,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,CARE & INDEPENDANCE LTD,02/10/2024,No,1650,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,09/10/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,09/10/2024,No,100,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,09/10/2024,No,452.2,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,18/10/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,18/10/2024,No,278,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,18/10/2024,No,238,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Central Services to the Public,STRAWBERRY GLOBAL TECHNOLOGY,18/10/2024,No,8610.67,ICT GENERAL,ICT - Software
Cultural & Related Services,TICKETS.COM,02/10/2024,No,236.5,OTHER FEES & CHARGES,Events
Cultural & Related Services,TICKETS.COM,02/10/2024,No,721.23,MARKETING,Marketing
Cultural & Related Services,TICKETS.COM,14/10/2024,No,500,MARKETING,Marketing
Central Services to the Public,BRITANNIC TECHNOLOGIES LTD,21/10/2024,No,55000,TELEPHONES,Telecoms - Other
Children & Education Services,PROSPERO TEACHING,22/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
