Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2935.56,ASC RESIDENTIAL CARE RESPITE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,1460.55,ASC RESIDENTIAL CARE RESPITE,Not Classified
Solihull MBC,Economy and Infrastructure,Other Housing Services,Accord Housing Asssociation,09/02/2023,,14155.41,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
