Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,Bodens Psychology Services Ltd,16/12/2024,No,9900,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,2200,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,417.48,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,90,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,355,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,377,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,218,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,280,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,3629.6,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,3452.4,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),02/12/2024,No,170,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),09/12/2024,No,455,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),09/12/2024,No,107,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),09/12/2024,No,312,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),09/12/2024,No,156,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),09/12/2024,No,150.7,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),09/12/2024,No,184.2,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),09/12/2024,No,25,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,-14200,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,14200,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,1690,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,-1690,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,5680,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,-5680,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,14200,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,5680,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),23/12/2024,No,1690,MATERIALS,Street Lighting - Materials - Highways
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,10/12/2024,No,54052,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,CARE & INDEPENDANCE LTD,04/12/2024,No,452.2,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,04/12/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,16/12/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,16/12/2024,No,449,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,19/12/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,19/12/2024,No,556,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,19/12/2024,No,-27.8,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Cultural & Related Services,TICKETS.COM,04/12/2024,No,247.5,OTHER FEES & CHARGES,Events
Cultural & Related Services,TICKETS.COM,16/12/2024,No,218.9,OTHER FEES & CHARGES,Events
Planning & Development Services,Tandem Property Asset Management LLP,04/12/2024,No,11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,04/12/2024,No,-11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,04/12/2024,No,9895.2,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,04/12/2024,No,-1861.45,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,04/12/2024,No,1861.45,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,04/12/2024,No,1551.21,RENTS FOR PREMISES,Rents
Children & Education Services,PROSPERO TEACHING,10/12/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,10/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,10/12/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,10/12/2024,No,270,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,10/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
