Body,Body name,Date,Transaction number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code,BVACOP,ProClass,ProClass Description,Extended Description,Profit Centre
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,20/12/2023,1901620061,171223,344.05,Premier Care Limited,126135,,PHYS SUPP 85+ LT,EXT DOM CARE SPOT CO,230845,,321014,SOCIAL CARE : Domiciliary Care,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,20/12/2023,1901620061,171223,127.79,Premier Care Limited,126135,,MENT HLT 65-74 LT,EXT DOM CARE SPOT CO,230845,,321014,SOCIAL CARE : Domiciliary Care,Redacted,157014
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,20/12/2023,1901620061,171223,103.22,Premier Care Limited,126135,,PHYS SUPP 18-64 LT,EXT DOM CARE SPOT CO,230845,,321014,SOCIAL CARE : Domiciliary Care,Redacted,157000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,20/12/2023,1901620061,171223,"1,041.98",Premier Care Limited,126135,,LEARN DIS 18-64 LT,EXT DOM CARE SPOT CO,230845,,321014,SOCIAL CARE : Domiciliary Care,Redacted,157003
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618426,927484,"6,712.08",CRAEGMOOR HEALTHCARE,126601,,LEARN DIS 18-64 LT,SUPP LIVING CONT,230530,,321000,SOCIAL CARE SERVICES : Adult,Redacted,157003
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901617570,925574,"3,474.84",Redacted,Redacted,,PHYS SUPP 75-84 LT,DIRECT PAYMENTS,230840,,,,Redacted,157020
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901617570,925574,-156.00,Redacted,Redacted,,PHYS SUPP 75-84 LT,COMMUNITY CARE SERVI,330101,,,,Redacted,157020
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,1901620710,933344,"3,474.84",Redacted,Redacted,,PHYS SUPP 75-84 LT,DIRECT PAYMENTS,230840,,,,Redacted,157020
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,1901620710,933344,-156.00,Redacted,Redacted,,PHYS SUPP 75-84 LT,COMMUNITY CARE SERVI,330101,,,,Redacted,157020
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901617571,925574,"8,602.92",Redacted,Redacted,,LEARN DIS 18-64 LT,DIRECT PAYMENTS,230840,,,,Redacted,157003
