Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
,,,ID,,No.,Date,excl vat
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7040694,45154,1000
Head of Operational Assets - Bus Stations,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7040691,45161,553.27
Head of Operational Assets - Rail Car Parks,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7040692,45161,1730
Head of Operational Assets - Rail Car Parks,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7040693,45161,3037.5
Metro Programme Director,60613,Water Utility Costs,8121,Severn Trent Water Ltd,7040184,45140,47307.37
Metro Programme Director,60613,Water Utility Costs,8121,Severn Trent Water Ltd,7040549,45147,85454.43
Metro Programme Director,60633,Tram Purchase Payments,8143,Construcciones Y Auxiliar De Ferrocarriles S.A.,7040190,45142,1813525.49
Head of IT Delivery,31608,Software Maintenance,8242,Trustmarque Solutions Ltd,7040867,45161,2910.6
Head of IT Delivery,31608,Software Maintenance,8242,Trustmarque Solutions Ltd,7041024,45161,1837.04
Head of IT Delivery,31608,Software Maintenance,8425,Exclaimer Limited,7040592,45154,6240
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,8509,Vehicle Control Services Ltd,7039955,45147,1197.04
Director of Network Resilience,60001,Project Support Costs,8512,CDC TECHNICAL SERVICES LTD,7039849,45140,870
Director of Network Resilience,60001,Project Support Costs,8512,CDC TECHNICAL SERVICES LTD,7040669,45154,1305
Director of Network Resilience,60638,CCTV Supply and Installation,8512,CDC TECHNICAL SERVICES LTD,7040667,45156,870
Director of Midlands Connect,31571,External Advice,8550,BIG CAT GROUP,7039733,45140,1230
UKSPF,31770,Marketing,8550,BIG CAT GROUP,7040120,45140,11016.39
UKSPF,31770,Marketing,8550,BIG CAT GROUP,7040334,45140,1206
Bus Service Improvement Plan (BSIP),31770,Marketing,8550,BIG CAT GROUP,7040773,45154,2040
UKSPF,31770,Marketing,8550,BIG CAT GROUP,7040774,45154,10793
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,8570,Get Soaring Limited,7041198,45168,4895
Safety and Security Manager,30754,CCTV,8578,VEMOTION INTERACTIVE,7040635,45152,5100
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7041229,45168,1978.5
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7041230,45168,1978.5
Head of Swift,31572,Consultants,8620,EUCLID LTD,7039424,45168,19137.17
Bus Service Improvement Plan (BSIP),31604,IT Software Licenses and Applications,8620,EUCLID LTD,7040764,45154,4950
Head of Swift,31604,IT Software Licenses and Applications,8620,EUCLID LTD,7040765,45154,6000
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7026852,45156,29150
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7039418,45147,6916.66
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7040388,45147,6916.66
Ticketing Services Manager,31954,Concession Card Production,8620,EUCLID LTD,7039384,45154,2717.45
Ticketing Services Manager,31954,Concession Card Production,8620,EUCLID LTD,7040754,45154,12296.7
Ticketing Services Manager,31954,Concession Card Production,8620,EUCLID LTD,7040755,45154,5054.61
Ticketing Services Manager,31954,Concession Card Production,8620,EUCLID LTD,7040756,45154,6004.57
Ticketing Services Manager,31955,Commercial Card Processing,8620,EUCLID LTD,7040757,45154,16508.37
Head of Swift,60801,IT Software - Capital,8620,EUCLID LTD,7038671,45156,82183.75
Head of IT Delivery,31608,Software Maintenance,8624,BYTES SOFTWARE SERVCIES LTD,7041197,45163,637.92
16 Summer Lane FM,30008,Agency Staff ( Established Posts),8663,Katie Bard & Amlegal (Angela Mortimer Group PLC),7040013,45147,583.2
16 Summer Lane FM,30008,Agency Staff ( Established Posts),8663,Katie Bard & Amlegal (Angela Mortimer Group PLC),7040251,45140,729
16 Summer Lane FM,30008,Agency Staff ( Established Posts),8663,Katie Bard & Amlegal (Angela Mortimer Group PLC),7040430,45142,729
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7040399,45140,10560
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7040400,45140,6555.9
Metro Programme Director,60616,Utilities Management,8698,Ridge and Partners LLP,7040398,45140,6045.08
Director of Midlands Connect,31571,External Advice,8699,Jacobs UK Limited,7040888,45161,8421
Director of Midlands Connect,31571,External Advice,8699,Jacobs UK Limited,7040904,45161,7959
Director of Midlands Connect,31571,External Advice,8699,Jacobs UK Limited,7041308,45168,4999.5
Director of Midlands Connect,30010,Secondee Costs,8703,Nottingham City Council,7041020,45161,12502.1
Head of Swift,60110,Financial & Commerical Advice,8717,PA Consulting,7040736,45154,7000
Metro Programme Director,60393,Early Contractor Involvement,8725,Colas Rail Limited,7041425,45170,7317556.32
16 Summer Lane FM,31481,Restaurant Contract,8735,Culligan (UK) Ltd,7041115,45161,716.4
Metro Programme Director,60191,Design Works,8747,Pell Frischmann,7040418,45142,501882.75
Head of Network Transformation,60821,Public Consultation Costs,8747,Pell Frischmann,7040590,45152,7116
Head of IT Delivery,31608,Software Maintenance,8767,Graitec Limited,7040239,45140,6630
Director of Network Resilience,60001,Project Support Costs,8774,Ove Arup & Partners Ltd,7040115,45140,49651.7
Director of Network Resilience,60001,Project Support Costs,8774,Ove Arup & Partners Ltd,7040583,45154,29151.7
Managing Director for TfWM,31767,Events / Exhibitions,8782,University of Birmingham,7036580,45156,1650
Head of Swift,31606,Hardware Maintenance,8806,Cammax Limited,7041010,45161,1990
Bus Service Improvement Plan (BSIP),31608,Software Maintenance,8806,Cammax Limited,7039389,45161,3180
Head of Swift,31608,Software Maintenance,8806,Cammax Limited,7041010,45161,1000
Net Zero Neighbourhood,31576,Safety & Security,8810,Brady Corporation Limited (T/A Seton),7040267,45140,756.4
Sustainable Travel,60001,Project Support Costs,8829,Phil Jones Associates Limited,7040312,45140,6307
Sustainable Travel,60001,Project Support Costs,8829,Phil Jones Associates Limited,7040600,45152,2000
Sustainable Travel,60001,Project Support Costs,8829,Phil Jones Associates Limited,7040601,45152,2000
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7040183,45140,32615.95
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7040282,45142,7625.33
Head of Network Transformation,60054,Investigations and Surveys,8872,Arcadis LLP,7041253,45168,54944.8
Head of Network Transformation,60054,Investigations and Surveys,8872,Arcadis LLP,7041254,45168,1562.5
Head of Network Transformation,60054,Investigations and Surveys,8872,Arcadis LLP,7041272,45168,42016.8
Head of Network Transformation,60054,Investigations and Surveys,8872,Arcadis LLP,7041304,45168,3125
Head of Network Transformation,60054,Investigations and Surveys,8872,Arcadis LLP,7041306,45168,25956
Head of Network Transformation,60054,Investigations and Surveys,8872,Arcadis LLP,7041307,45168,1562.5
Head of Network Transformation,60191,Design Works,8872,Arcadis LLP,7041252,45168,13212.05
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7040055,45156,664.49
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7041036,45163,530.42
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7041037,45163,694.09
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041046,45163,3170.66
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041050,45163,3534.95
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041057,45163,2939.22
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041061,45163,2031.78
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041064,45163,3997.38
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041065,45163,7694.03
16 Summer Lane FM,30601,Electricity,8892,Total Energies Gas and Power Limited,7041066,45161,11450.41
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041067,45163,4644.28
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041068,45163,4400.78
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041069,45163,35209.83
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041070,45163,32020.53
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7041072,45163,761.23
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041075,45163,4092.7
Bromsgrove Rail Station,30601,Electricity,8892,Total Energies Gas and Power Limited,7041076,45161,4751.63
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7041077,45163,564.28
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041085,45163,881.44
16 Summer Lane FM,30601,Electricity,8892,Total Energies Gas and Power Limited,7041086,45161,23416.67
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041087,45163,4988.73
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041088,45163,4353.12
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041089,45163,5046.44
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041090,45163,5094.5
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041091,45163,4532.27
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041092,45163,5321.63
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041094,45163,38790.75
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041095,45163,34598
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041096,45163,40681.52
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041097,45163,41250.41
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041098,45163,36431.48
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7041099,45163,41904.68
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7041104,45163,1224.67
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041105,45163,2729.26
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7041106,45163,2626.43
16 Summer Lane FM,30602,Gas,8892,Total Energies Gas and Power Limited,7041102,45161,1334.82
Head of Operational Assets - Bus Stations,30602,Gas,8892,Total Energies Gas and Power Limited,7041103,45163,644.86
Head of Governance,31577,Professional Advice,8897,Trowers and Hamlins LLP,7040526,45147,11425.5
Head of Governance,31577,Professional Advice,8897,Trowers and Hamlins LLP,7040527,45147,10000
Head of Swift,60141,Legal Advice,8897,Trowers and Hamlins LLP,7040471,45142,17564.52
"Director of Policy, Strategy & Innovation",60141,Legal Advice,8897,Trowers and Hamlins LLP,7040825,45156,11903
Head of Swift,60141,Legal Advice,8897,Trowers and Hamlins LLP,7041319,45168,6214.8
Metro Programme Director,31571,External Advice,8912,Railway & Tramway Engineering Ltd,7040473,45163,4500
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7039914,45156,914.25
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040248,45142,914.25
Customer Relations Manager,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040249,45142,646.07
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040250,45142,914.25
Ticketing Services Manager,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040252,45142,828.92
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040483,45147,914.25
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040484,45147,914.25
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040814,45161,914.25
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040815,45161,914.25
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7040817,45161,914.25
Head of Governance,60870,Training,8932,LLG Legal Training,7040485,45142,4602.75
Concessions Schemes,31963,Concessionary Sch Mgt Costs,8935,Addleshaw Goddard LLP,7040894,45161,18000
Concessions Schemes,31963,Concessionary Sch Mgt Costs,8935,Addleshaw Goddard LLP,7040895,45161,4910.6
Director of Development & Delivery,60141,Legal Advice,8935,Addleshaw Goddard LLP,7039562,45152,4975.68
Investment Programme Financing,60141,Legal Advice,8935,Addleshaw Goddard LLP,7039562,45152,8542.2
Head of Governance,31604,IT Software Licenses and Applications,8946,Civica UK Limited,7040658,45154,13362.42
Inclusion,30119,Staff Welfare,8972,Mind Birmingham,7040555,45152,975
Adult Education,32751,Provider Delivery Fees - Grant,8978,City of Wolverhampton Council,8012701,45156,273603.17
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040911,45161,3490.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040953,45168,1994.69
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040954,45168,1350
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040955,45168,2124.71
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040956,45168,796.39
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040957,45168,639.81
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040958,45168,3070.29
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040959,45168,3101.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040960,45168,878
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040962,45168,4807.88
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040964,45168,1153.3
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040965,45168,1255.5
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040966,45168,1793.67
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7040968,45168,1434.59
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),8981,West Midlands Trains Limited,3003689,45154,139994.26
Director of Development & Delivery,60001,Project Support Costs,8981,West Midlands Trains Limited,7040181,45140,6000
Director of Development & Delivery,60001,Project Support Costs,8981,West Midlands Trains Limited,7040182,45140,6000
Director of Development & Delivery,60001,Project Support Costs,8981,West Midlands Trains Limited,7040665,45154,6000
Investment Programme Financing,60051,Quantitative Assessments/Audits,8981,West Midlands Trains Limited,7038643,45156,19500
Active Travel Grant,31763,Monitoring,8995,Streetwise Services Ltd,7040241,45140,44970
Sprint,60054,Investigations and Surveys,8995,Streetwise Services Ltd,7040242,45140,2420
Collective Investment Fund - Commercial,31578,Management Fees,9019,West Midlands Development Capital Limited,7039443,45147,168049.75
Collective Investment Fund - Commercial,31578,Management Fees,9019,West Midlands Development Capital Limited,7039444,45147,12500
Director of Strategic Partnerships and Integration,31571,External Advice,9023,Nationwide Data Collection,7040884,45161,25425
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,9025,"Amazon Web Services, Inc.",7039584,45153,10668.18
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,9025,"Amazon Web Services, Inc.",7040176,45153,11105.87
Director of Development & Delivery,60141,Legal Advice,9066,Bevan Brittan,7040761,45168,1200
Concessions Schemes,32430,Child Travel Pass Concession,9071,Midland Metro Ltd,40533,45145,1870
Concessions Schemes,32430,Child Travel Pass Concession,9071,Midland Metro Ltd,40545,45168,1870
Metro Programme Director,60001,Project Support Costs,9071,Midland Metro Ltd,7040371,45142,11010.62
Metro Programme Director,60001,Project Support Costs,9071,Midland Metro Ltd,7040372,45147,7821
Metro Programme Director,60870,Training,9071,Midland Metro Ltd,7040912,45161,600
Metro Programme Director,60870,Training,9071,Midland Metro Ltd,7040913,45161,750
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7040982,45161,200546.45
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7040983,45161,829.91
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7040984,45161,3705.71
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7040985,45161,4756.17
TfWM/WMR Rail Team,31767,Events / Exhibitions,9102,BusinessAdapts Limited,7040240,45140,1500
Director of Housing & Regeneration,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7040345,45147,1716.9
Director of Housing & Regeneration,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7040580,45156,1659.67
Director of Housing & Regeneration,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7040822,45156,1716.9
Director of Housing & Regeneration,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7041123,45161,1831.36
Sprint,60001,Project Support Costs,9104,Sellick Partnership Limited,7040278,45140,2430.05
Sprint,60001,Project Support Costs,9104,Sellick Partnership Limited,7040514,45147,2638.34
Sprint,60001,Project Support Costs,9104,Sellick Partnership Limited,7040656,45152,2673.06
16 Summer Lane FM,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7039348,45156,659.56
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7040407,45152,584.61
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7040409,45147,584.61
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7040410,45147,524.65
16 Summer Lane FM,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7041171,45163,599.6
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,9153,TRICS Consortium Ltd.,7040543,45154,20890
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,9172,DABS Ltd,7040644,45168,850
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,9172,DABS Ltd,7040645,45168,1690
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,9172,DABS Ltd,7040646,45168,2250
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,9172,DABS Ltd,7040647,45168,780
Metro Programme Director,60392,Enabling Works,9179,CPC Civils,7040544,45147,60000
Metro Programme Director,60392,Enabling Works,9179,CPC Civils,7041290,45168,77237.51
Metro Programme Director,60610,Gas Utility Costs,9179,CPC Civils,7040544,45147,58501.59
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7039500,45161,2204.8
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7039938,45140,2204.8
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7040202,45140,2204.8
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040446,45147,2237.6
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7040447,45142,1666.56
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040450,45147,2608.5
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040452,45147,2608.5
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040453,45147,2368.8
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7040454,45142,900.8
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7040455,45142,2204.8
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040611,45152,1895.04
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040613,45152,2237.6
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7040614,45152,900.8
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040615,45152,2191.14
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7040616,45152,2204.8
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7040617,45152,2468
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040871,45161,1658.16
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7040873,45156,2776.5
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040875,45161,3078.03
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7040877,45161,2204.8
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7040879,45156,900.8
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7040881,45161,1342.56
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7041182,45168,1658.16
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7041183,45168,2468
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7041185,45163,2204.8
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7041186,45168,3547.56
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7041187,45168,900.8
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7041189,45168,2608.5
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7041190,45168,2237.6
"Director of Policy, Strategy & Innovation",60191,Design Works,9183,Waterman Aspen,7040876,45156,6706.8
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7039940,45140,2329.96
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7039941,45140,1369.6
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7040208,45140,1369.6
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7040448,45142,4133.8
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7040451,45142,1369.6
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7040612,45152,1369.6
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7040618,45152,2254.8
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7040872,45161,2555.44
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7040874,45161,1027.2
Metro Programme Director,60616,Utilities Management,9183,Waterman Aspen,7041184,45163,1954.16
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40531,45145,24424.54
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40534,45145,73273.62
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40541,45168,73273.62
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40542,45168,24424.54
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,3003662,45142,9484.16
Adult Education,32751,Provider Delivery Fees - Grant,9237,SOUTH & CITY COLLEGE BIRMINGHAM,8012701,45156,1878159.08
Adult Education,32751,Provider Delivery Fees - Grant,9238,BIRMINGHAM METROPOLITAN COLLEGE,8012701,45156,688487.74
Adult Education,32751,Provider Delivery Fees - Grant,9240,SANDWELL COLLEGE,8012701,45156,375150.67
Adult Education,32751,Provider Delivery Fees - Grant,9241,DUDLEY COLLEGE,8012701,45156,449578.28
Adult Education,32751,Provider Delivery Fees - Grant,9242,WALSALL COLLEGE,8012701,45156,610815.17
Adult Education,32751,Provider Delivery Fees - Grant,9243,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,8012701,45156,454693
Adult Education,32751,Provider Delivery Fees - Grant,9249,fircroft college,8012701,45156,170767.5
Investment Programme Financing,60194,Transport Planning,9260,SLC Aecom JV,7034674,45147,8179.6
Investment Programme Financing,60194,Transport Planning,9260,SLC Aecom JV,7040235,45147,124212.07
Investment Programme Financing,60194,Transport Planning,9260,SLC Aecom JV,7040236,45147,189815.6
Director of Development & Delivery,60194,Transport Planning,9260,SLC Aecom JV,7040237,45147,136747.07
Director of Development & Delivery,60194,Transport Planning,9260,SLC Aecom JV,7040303,45147,5734.96
Director of Development & Delivery,60194,Transport Planning,9260,SLC Aecom JV,7040623,45152,1491.78
Investment Programme Financing,60194,Transport Planning,9260,SLC Aecom JV,7040623,45152,2984.01
Adult Education,32751,Provider Delivery Fees - Grant,9273,Heart of Worcester College Redditch,8012701,45156,108582.17
Adult Education,32751,Provider Delivery Fees - Grant,9288,Coventry College,8012701,45156,298702.17
Adult Education,32751,Provider Delivery Fees - Grant,9289,South Staffordshire College,8012701,45156,23904.67
Adult Education,32751,Provider Delivery Fees - Grant,9290,Joseph Chamberlain Sixth Form College,8012701,45156,181008.5
Adult Education,32751,Provider Delivery Fees - Grant,9293,Halesowen College,8012701,45156,118027
Adult Education,32751,Provider Delivery Fees - Grant,9294,Telford College,8012701,45156,221174.63
Adult Education,32751,Provider Delivery Fees - Grant,9297,Hereward College,8012701,45156,6932.67
Adult Education,32751,Provider Delivery Fees - Grant,9298,North Warwickshire and South Leicestershire Colleg,8012701,45156,73495.67
Construction Skills,32752,Provider Delivery Fees - Contract,9371,RMF Construction,7040308,45142,3640
Director of Network Resilience,31604,IT Software Licenses and Applications,9373,Vaisala,7037951,45161,21498
Director of Network Resilience,31604,IT Software Licenses and Applications,9373,Vaisala,7039288,45161,42996
Adult Education,32751,Provider Delivery Fees - Grant,9379,Warwickshire College Group,8012701,45156,30619.92
Metro Programme Director,60615,Utilities Diversion,9412,Corderoy Infrastructure Ltd,7040663,45161,5252.3
Executive Director WMRE,31571,External Advice,9414,Stephen Joseph Associates,7040994,45161,4861.75
Delivery Director - Rail,60630,Land Acquisition,9424,Eversheds Sutherland - Client Account,7040842,45155,675142.11
Employment & Skills,31571,External Advice,9442,Learning and Work institute,7040597,45152,12000
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7040230,45147,1450
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7040318,45147,3375
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7040327,45140,9857.25
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7040328,45140,2700
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7040329,45140,5500
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7040518,45147,6000
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,9460,Bizz Creative,7040287,45161,1451
Homelessness,31671,Revenue Contributions to Third Parties,9463,St Basils,7040477,45142,15000
Transport Assets,30661,Rents,9501,Avison Young,7040695,45156,3000
Director of Housing & Regeneration,31571,External Advice,9501,Avison Young,7039428,45161,1500
Metro Programme Director,60001,Project Support Costs,9528,2NCH Limited,7040367,45154,25375
"Executive Director of Strategy, Integration and Ne",31571,External Advice,9531,WM5G Limited,7040291,45142,10000
Investment Programme - Funding Control,31775,Targeted Measures / Initiatives,9531,WM5G Limited,3003729,45168,342458.86
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7040537,45147,9350
Director of Development & Delivery,60001,Project Support Costs,9560,Faithful+Gould,7040537,45147,2016.47
Investment Programme Financing,60001,Project Support Costs,9560,Faithful+Gould,7040537,45147,4033.54
Director of Development & Delivery,60001,Project Support Costs,9560,Faithful+Gould,7040538,45154,2613.6
Investment Programme Financing,60001,Project Support Costs,9560,Faithful+Gould,7040538,45154,5306.4
Sprint,60001,Project Support Costs,9560,Faithful+Gould,7040948,45161,6699.21
Sprint,60110,Financial & Commerical Advice,9560,Faithful+Gould,7040666,45154,30045.05
ICT Project,31603,IT Hardware,9575,Sumillion,7041005,45161,595
Head of IT Delivery,31609,IT Consumables,9575,Sumillion,7040245,45140,3747
Director of Development & Delivery,60801,IT Software - Capital,9581,thinkproject UK Limited,7039807,45156,2168.1
