Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
,,,ID,,No.,Date,excl vat
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,10002,Serfis Construction & Engineering Ltd.,7043992,45239,74711.6
Adult Education,32752,Provider Delivery Fees - Contract,10009,BRIGHT DIRECTION TRAINING LIMITED,8013912,45251,39522.77
Joint Data Team,31604,IT Software Licenses and Applications,10014,Smartsheet Inc.,3004035,45253,13600
Create Central Projects,31572,Consultants,10026,European Innovation,7043554,45231,2083
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7043610,45231,2750
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7044470,45257,2500
Create Central Projects,60780,General Expenditure,10073,Laura McCaughey,7044753,45259,1000
Adult Education,31571,External Advice,10094,Youth Employment UK,7044645,45259,1000
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7044397,45257,1400
Sustainable Travel,31770,Marketing,10105,Updates Media Ltd,7043734,45233,23000
West Midlands Cycle Hire,31770,Marketing,10105,Updates Media Ltd,7043734,45233,16000
Create Central Projects,31652,Miscellaneous Travel Expenses,10115,Rationale Consulting,7043466,45231,1083.51
Create Central Projects,31767,Events / Exhibitions,10119,Royal Television Society,7043986,45240,950
Director of Development & Delivery,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7043003,45245,243453.99
Investment Programme Financing,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7043882,45245,3137489.81
Director of Development & Delivery,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7043894,45245,182908.94
"Director of Policy, Strategy & Innovation",31571,External Advice,10214,MUSTARD MARKET RESEARCH LTD,7044016,45240,3820
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7044563,45251,1024.54
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7044755,45259,1024.54
Energy Capital,31571,External Advice,10268,Regen SW Ltd,7044722,45257,12000
Sprint,60343,Site Office Costs,10292,Savills UK LTD,7044460,45259,21050.5
Metro Programme Director,60343,Site Office Costs,10292,Savills UK LTD,7044461,45259,7475.75
Future Mobility Zone to FTZ – DRT University of Warwick,31770,Marketing,10295,BBJ&K Ltd,7043725,45233,567.84
Director of Network Resilience,31770,Marketing,10295,BBJ&K Ltd,7044705,45259,1600
Director of Network Resilience,31770,Marketing,10295,BBJ&K Ltd,7044706,45259,995
Marketing and Engagement,31770,Marketing,10295,BBJ&K Ltd,7044892,45259,13320
Safety and Security Manager,31576,Safety & Security,10300,IMImobile Europe Ltd,7043137,45239,835
Safety and Security Manager,31571,External Advice,10307,Plass Solutions Limited,7043565,45239,600
Safety and Security Manager,31571,External Advice,10307,Plass Solutions Limited,7044236,45257,600
Investment Programme - Funding Control,31573,Legal Fees,10331,Freeths LLP,7043638,45231,4469.7
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,10349,Buchanan Computing Ltd,7044653,45259,1750
Director of Housing & Regeneration,60001,Project Support Costs,10357,Jones Lang LaSalle Ltd,7044570,45251,3000
Industrial Strategy,31572,Consultants,10401,Birmingham Tech CIC,7043691,45239,3855
Industrial Strategy,31572,Consultants,10401,Birmingham Tech CIC,7043692,45239,3855
Bus Service Improvement Plan (BSIP),31770,Marketing,10402,Vale Press,7043699,45233,652
Careers,31770,Marketing,10402,Vale Press,7044352,45251,530
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7044386,45247,16186.26
Director of Integrated Network Services,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7044387,45247,255238.79
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7044395,45247,26054
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7044450,45251,16290.08
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7044451,45251,3897
Create Central Projects,31572,Consultants,10454,Zanna Creative,7044441,45257,7083
"Director of Policy, Strategy & Innovation",31578,Management Fees,10456,Coach Scanner Limited,7044875,45259,55000
Environment,31571,External Advice,10460,Active Wellbeing Works Limited c/o The Active Wellbeing Society,7044145,45245,5000
Environment,31571,External Advice,10475,Bankers without Boundaries Limited,7044800,45259,9931
Head of Bus,31671,Revenue Contributions to Third Parties,10525,Shencare Community Transport,3003951,45239,12548.72
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7043470,45231,16204.91
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7044478,45251,37956.37
UKSPF,31671,Revenue Contributions to Third Parties,10537,West Midlands Health Technologies Cluster ltd,7043890,45239,3125
UKSPF,31671,Revenue Contributions to Third Parties,10537,West Midlands Health Technologies Cluster ltd,7043892,45239,22500
Sprint,60001,Project Support Costs,10547,RCS Utility Solutions Ltd,7043979,45245,7920
Adult Education,31571,External Advice,10559,Trades Union Congress,7043867,45239,35000
Create Central Projects,31572,Consultants,10561,Martin Simms,7043592,45231,2667
Create Central Projects,31572,Consultants,10561,Martin Simms,7044754,45259,2667
"Director of Policy, Strategy & Innovation",31768,Market Research,10568,Savanta Group Ltd,7044757,45259,23000
Environment,31571,External Advice,10587,Sustainability West Midlands,7044015,45240,1600
Industrial Strategy,31572,Consultants,10587,Sustainability West Midlands,7043998,45240,4375
Learning and Development,30112,Learning & Development,10609,Steve Radcliffe Associates,7043579,45231,1070
Learning and Development,30112,Learning & Development,10609,Steve Radcliffe Associates,7043580,45231,1070
Learning and Development,30112,Learning & Development,10609,Steve Radcliffe Associates,7043581,45231,2400
Learning and Development,30112,Learning & Development,10609,Steve Radcliffe Associates,7043582,45231,2163.7
Learning and Development,30112,Learning & Development,10609,Steve Radcliffe Associates,7043653,45239,2163.7
Learning and Development,30112,Learning & Development,10609,Steve Radcliffe Associates,7044251,45245,535
16 Summer Lane FM,30502,Routine Maintenance,10622,Watford Control,7043335,45251,4318.65
Head of Governance,30009,Staff Agency Services,10626,Danbro,3001380,45253,1350
Inclusion,31774,Promotional Literature,10664,Inclusive Learning Ltd trading as Skill Boosters,7043609,45231,4000
Tendered Bus Services,32425,Subsidised Services,10669,Thandi Red Ltd,40577,45246,71100
Tendered Bus Services,32425,Subsidised Services,10669,Thandi Red Ltd,40581,45252,31600
Capital Financing,33622,Debt Management,10672,Link Treasury Services Limited,7043900,45239,18500
Industrial Strategy,31572,Consultants,10681,Dr Pamela Waddell OBE,7043759,45239,2887.5
Director of Network Resilience,30112,Learning & Development,10688,Blackhorse HCC Ltd,7043595,45231,2351.25
Director of Network Resilience,60820,Publicity and PR,10690,Clive Reeves Public Relations Limited,7043820,45239,2265
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7043733,45233,50000
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7044783,45259,80000
Metro Programme Director,60610,Gas Utility Costs,10695,Svella Connect Limited,7043733,45233,23500
Metro Programme Director,60610,Gas Utility Costs,10695,Svella Connect Limited,7044783,45259,35000
Metro Programme Director,60611,Telephone Utility Costs,10695,Svella Connect Limited,7043733,45233,118500
Metro Programme Director,60611,Telephone Utility Costs,10695,Svella Connect Limited,7044783,45259,209685.19
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7043733,45233,35000
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7044783,45259,65000
Metro Programme Director,60613,Water Utility Costs,10695,Svella Connect Limited,7043733,45233,26485.19
Metro Programme Director,60613,Water Utility Costs,10695,Svella Connect Limited,7044783,45259,50000
Create Central Projects,31572,Consultants,10703,Sarah Wood Media Ltd,7043618,45231,3334
Accessible Transport,31604,IT Software Licenses and Applications,20014,Liftango Ltd,7043883,45239,1200
Adult Education,32752,Provider Delivery Fees - Contract,20017,Twin Training International,8013912,45251,2398.63
Digital Marketing,31770,Marketing,20022,BBC Birmingham,7044017,45245,2273.6
Cycling for Everyone,31770,Marketing,20065,Isambard Digital Media Ltd,7043975,45239,4800
Transport Assets,30502,Routine Maintenance,20088,1st Serve,7043844,45240,5100
Transport Assets,30502,Routine Maintenance,20088,1st Serve,7043884,45240,1600
Head of Operational Assets - Bus Stations,60395,Physical Construction,20109,SDC Fire & Security,7043661,45231,2166.28
Head of Operational Assets - Bus Stations,60395,Physical Construction,20109,SDC Fire & Security,7043662,45231,2498.51
Head of Operational Assets - Bus Stations,60395,Physical Construction,20109,SDC Fire & Security,7044128,45240,14991.07
Head of Solution Development,31604,IT Software Licenses and Applications,20113,ASANA INC,7039751,45246,2199.07
Director of Communications,31571,External Advice,20130,iNHouse Communications Limited,7043663,45231,6250
Mayoral Events,10286,Other Revenue Income,20147,Malloy Media Ltd,7044812,45259,2750
Digital Marketing,31770,Marketing,20147,Malloy Media Ltd,7044014,45245,850
Youth Combined Authority,31772,PR Photos,20147,Malloy Media Ltd,7041819,45245,1500
ICT Project,31608,Software Maintenance,20158,Simpson Associates Information Services Limited,7042757,45251,6950
ICT Project,31608,Software Maintenance,20158,Simpson Associates Information Services Limited,7043921,45240,7475
Learning and Development,30112,Learning & Development,20164,Talking Life Ltd,7044362,45247,725
Learning and Development,30112,Learning & Development,20164,Talking Life Ltd,7044363,45247,725
