Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
,,,ID,,No.,Date,excl vat
Adult Education,32752,Provider Delivery Fees - Contract,10009,BRIGHT DIRECTION TRAINING LIMITED,8014329,45280,38420.32
Head of IT Delivery,31609,IT Consumables,10024,Workwear Express,7044953,45281,2283.53
Create Central Projects,31572,Consultants,10026,European Innovation,7044979,45274,2083
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,10037,Port Loop Phase 2 Limited,3004098,45267,300370
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,10037,Port Loop Phase 2 Limited,3004118,45275,259088
Adult Education,32752,Provider Delivery Fees - Contract,10043,Pathway First Limited,8014329,45280,15041.37
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7044776,45261,2750
Head of IT Delivery,31571,External Advice,10086,IKM TechChek,7045675,45281,850
Employment & Skills,31767,Events / Exhibitions,10094,Youth Employment UK,7045253,45271,10000
Adult Education,31767,Events / Exhibitions,10094,Youth Employment UK,7045253,45271,10000
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7045603,45281,1400
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7045786,45281,9000
Director of Network Resilience,31571,External Advice,10100,Electrical Testing Ltd.,7045322,45278,620
Director of Network Resilience,31770,Marketing,10105,Updates Media Ltd,7045131,45274,9750
Marketing and Engagement,31770,Marketing,10105,Updates Media Ltd,7045131,45274,23500
Investment Programme Financing,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7045213,45278,1728361.58
Director of Development & Delivery,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7045278,45278,60260.67
Director of Development & Delivery,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7045279,45278,164311.73
"Director of Policy, Strategy & Innovation",31768,Market Research,10214,MUSTARD MARKET RESEARCH LTD,7045188,45271,4200
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,10231,Cannock Chase District Council,7045352,45274,1385.78
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7045719,45281,1024.54
Sprint,60343,Site Office Costs,10292,Savills UK LTD,7044740,45281,14006.44
Marketing and Engagement,31770,Marketing,10295,BBJ&K Ltd,7044905,45261,16100
Marketing and Engagement,31770,Marketing,10295,BBJ&K Ltd,7045063,45266,13320
Bus Service Improvement Plan (BSIP),31770,Marketing,10295,BBJ&K Ltd,7045212,45271,46315
Homelessness,31770,Marketing,10295,BBJ&K Ltd,7045502,45281,6000
Safety and Security Manager,31576,Safety & Security,10300,IMImobile Europe Ltd,7045375,45274,835
Metro Programme Director,60393,Early Contractor Involvement,10312,Pennycuick Collins Limited,7045240,45274,11000
Homelessness,31671,Revenue Contributions to Third Parties,10333,The Directory of Social Change,7044933,45261,1100
"Director of Policy, Strategy & Innovation",60395,Physical Construction,10365,Vivacity Labs Limited,7045544,45281,15720.6
Director of Midlands Connect,31767,Events / Exhibitions,10391,Beyond the Conference Limited (BTC),7045788,45281,1870
Digital,31571,External Advice,10401,Birmingham Tech CIC,7043134,45281,5593.75
Industrial Strategy,31572,Consultants,10401,Birmingham Tech CIC,7044752,45261,3855
Industrial Strategy,31572,Consultants,10401,Birmingham Tech CIC,7045781,45281,3855
Industrial Strategy,31572,Consultants,10450,Midlands Aerospace Alliance,7045619,45281,6250
Create Central Projects,31572,Consultants,10454,Zanna Creative,7045388,45274,7083
Create Central Projects,31652,Miscellaneous Travel Expenses,10454,Zanna Creative,7045395,45274,3338.67
Head of IT Delivery,30502,Routine Maintenance,10474,Workspace Technology Limited,7045163,45271,2086.55
Bus Service Improvement Plan (BSIP),31604,IT Software Licenses and Applications,10480,Via Technologies Europe BV,7043456,45267,65000
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,10480,Via Technologies Europe BV,7041696,45267,3458.33
Homelessness,31671,Revenue Contributions to Third Parties,10481,Homeless Link,7045038,45266,4700
Homelessness,31671,Revenue Contributions to Third Parties,10481,Homeless Link,7045688,45281,565
Director of Midlands Connect,31767,Events / Exhibitions,10502,Presentation Services Providers Limited,7045617,45281,6989.5
Adult Education,32752,Provider Delivery Fees - Contract,10509,LEARNING INTO EMPLOYMENT ACADEMY LTD,8014329,45280,12925.79
Youth Combined Authority,31571,External Advice,10515,Positive Youth Foundation,7043812,45261,25000
Delivery Director - Metro,31571,External Advice,10527,CAF Rail UK Limited,7044849,45261,652
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7044851,45261,16204.91
UKSPF,31671,Revenue Contributions to Third Parties,10537,West Midlands Health Technologies Cluster ltd,7045112,45271,3125
UKSPF,31671,Revenue Contributions to Third Parties,10537,West Midlands Health Technologies Cluster ltd,7045611,45281,3125
Create Central Projects,31572,Consultants,10561,Martin Simms,7045677,45281,2667
Office of Data Analytics,31572,Consultants,10562,Oxford Economics,7045802,45281,45000
Office of Data Analytics,31572,Consultants,10562,Oxford Economics,7045803,45281,14500
Industrial Strategy,31572,Consultants,10587,Sustainability West Midlands,7045266,45274,4375
Bus Service Improvement Plan (BSIP),31576,Safety & Security,10642,DTS.Solutions (U.K) Ltd,7044868,45261,2175
Bus Service Improvement Plan (BSIP),31576,Safety & Security,10642,DTS.Solutions (U.K) Ltd,7045155,45266,3335
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,10656,Dotted Eyes Solutions Ltd T/A Field,7044918,45261,47065
IPS Programme,30010,Secondee Costs,10668,Black Country Healthcare NHS Foundation Trust,7036411,45281,6814.68
IPS Programme,32752,Provider Delivery Fees - Contract,10668,Black Country Healthcare NHS Foundation Trust,7045751,45281,273600
