Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
,,,ID,,No.,Date,excl. vat
Adult Education,32752,Provider Delivery Fees - Contract,10009,BRIGHT DIRECTION TRAINING LIMITED,8015652,45372,52749.8
Environment,31770,Marketing,10018,The Jade Studio Ltd,7049243,45377,1350
Customer Intelligence Team,31511,Staff Uniforms,10024,Workwear Express,7048664,45366,516.26
Create Central Projects,31572,Consultants,10026,European Innovation,7048294,45358,2083
Adult Education,32752,Provider Delivery Fees - Contract,10043,Pathway First Limited,8015652,45372,16679.84
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7049170,45377,2750
Director of Housing & Regeneration,60001,Project Support Costs,10081,M & B G Ltd,7049231,45377,965
Bus Service Improvement Plan (BSIP),31770,Marketing,10105,Updates Media Ltd,7049130,45377,27601
Create Central Projects,31572,Consultants,10119,Royal Television Society,7048467,45364,1000
Head of Transport Portfolio Office,30008,Agency Staff ( Established Posts),10200,Matchtech Group UK Ltd,7048492,45364,2750
Head of Transport Portfolio Office,30008,Agency Staff ( Established Posts),10200,Matchtech Group UK Ltd,7048761,45371,2750
Head of Transport Portfolio Office,30008,Agency Staff ( Established Posts),10200,Matchtech Group UK Ltd,7049218,45377,550
Director of Development & Delivery,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7048503,45364,106154.3
Investment Programme Financing,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7048539,45364,953831.96
Investment Programme Financing,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7049179,45373,1605041.42
Director of Network Resilience,31571,External Advice,10242,Hi-Lite Contracting Ltd,7048507,45371,1370
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7048499,45364,1024.54
Energy Capital,31571,External Advice,10268,Regen SW Ltd,7048774,45371,5000
Director of Midlands Connect,31571,External Advice,10276,Ed Jeffery Ltd,7048864,45371,19025
Bus Stations Operations,10663,Departure Charges,10292,Savills UK LTD,7048815,45373,48366.31
Sprint,60343,Site Office Costs,10292,Savills UK LTD,7047842,45366,21344.5
UKSPF,31770,Marketing,10295,BBJ&K Ltd,7048153,45352,1250
Director of Network Resilience,31770,Marketing,10295,BBJ&K Ltd,7048259,45358,18400
Bus Service Improvement Plan (BSIP),31770,Marketing,10295,BBJ&K Ltd,7048395,45358,6000
Marketing and Engagement,31770,Marketing,10295,BBJ&K Ltd,7048396,45358,5000
Business Energy Advice Service (BEAS),31770,Marketing,10295,BBJ&K Ltd,7048445,45362,12944
Director of Communications,31770,Marketing,10295,BBJ&K Ltd,7048555,45364,50000
Marketing and Engagement,31770,Marketing,10295,BBJ&K Ltd,7048555,45364,7503
Director of Network Resilience,31770,Marketing,10295,BBJ&K Ltd,7048556,45364,550
UKSPF,31770,Marketing,10295,BBJ&K Ltd,7049074,45373,4000
Director of Network Resilience,31770,Marketing,10295,BBJ&K Ltd,7049078,45373,15000
Delivery Director - Sustainable Transport,60820,Publicity and PR,10295,BBJ&K Ltd,7049079,45373,1500
Safety and Security Manager,31571,External Advice,10307,Plass Solutions Limited,7049396,45377,600
Safety and Security Manager,31571,External Advice,10307,Plass Solutions Limited,7049397,45377,2750
Media,30112,Learning & Development,10317,Clever Conclusions Ltd,7048844,45371,3500
Director of Midlands Connect,31571,External Advice,10317,Clever Conclusions Ltd,7048848,45371,2300
Business Energy Advice Service (BEAS),31770,Marketing,10344,IceBlue Marketing & Design Ltd,7048797,45371,1350
"Director of Policy, Strategy & Innovation",31571,External Advice,10353,Collectivetech Limited (trading as 'Tandem'),7049137,45373,15000
Transport Assets,30852,Service Charge Expenditure,10358,Pall Mall Investments Ltd,7048426,45366,2249.02
Director of Integrated Network Services,31604,IT Software Licenses and Applications,10369,SafetyCulture Pty Ltd,7047983,45379,1303.63
Bus Stations Operations,31604,IT Software Licenses and Applications,10369,SafetyCulture Pty Ltd,7047983,45379,3476.35
Head of Operational Assets - Bus Infrastructure,31604,IT Software Licenses and Applications,10369,SafetyCulture Pty Ltd,7047983,45379,782.18
Director of Housing & Regeneration,60001,Project Support Costs,10387,Campbell Reith Hill LLP,7048476,45377,10637.5
Director of Midlands Connect,31767,Events / Exhibitions,10391,Beyond the Conference Limited (BTC),7048756,45373,2570
Director of Midlands Connect,31571,External Advice,10396,Goodbye Blue Monday Ltd,7048694,45366,700
Director of Midlands Connect,31571,External Advice,10396,Goodbye Blue Monday Ltd,7048874,45373,1250
Environment,31770,Marketing,10396,Goodbye Blue Monday Ltd,7048775,45371,3150
Industrial Strategy,31572,Consultants,10401,Birmingham Tech CIC,7048355,45362,3855
"Executive Director of Strategy, Integration and Ne",31652,Miscellaneous Travel Expenses,10401,Birmingham Tech CIC,7048356,45364,8000
UKSPF,31671,Revenue Contributions to Third Parties,10401,Birmingham Tech CIC,7048354,45358,6818.18
Events & Stakeholder,31767,Events / Exhibitions,10402,Vale Press,7049122,45377,1115
Inclusion,31774,Promotional Literature,10402,Vale Press,7048817,45371,985
Digital,31671,Revenue Contributions to Third Parties,10405,Good Things Foundation,7047955,45364,24750.83
Learning and Development,30112,Learning & Development,10437,Clear Review Limited,7048561,45364,45661.58
Director of Midlands Connect,31571,External Advice,10439,Tracsis Rail Consultancy Limited,7048359,45364,20086.5
Public Affairs,31542,Publications,10448,News UK & Ireland T/As News Licensing,7048824,45371,720
UKSPF,31671,Revenue Contributions to Third Parties,10450,Midlands Aerospace Alliance,7048307,45358,8333.34
Industrial Strategy,31671,Revenue Contributions to Third Parties,10450,Midlands Aerospace Alliance,7048308,45358,45000
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7047835,45358,26384.68
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7047837,45358,6288.18
Director of Integrated Network Services,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7047838,45358,49646.83
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7047839,45358,8926.42
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7047840,45358,3597.29
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7048516,45364,17596.08
