Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
,,,ID,,No.,Date,excl vat
Adult Education,32752,Provider Delivery Fees - Contract,10009,BRIGHT DIRECTION TRAINING LIMITED,8013497,45219,6234.63
Create Central Projects,31572,Consultants,10026,European Innovation,7042620,45211,2083
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7042359,45201,2750
Director of Housing & Regeneration,60392,Enabling Works,10081,M & B G Ltd,7042596,45204,7438
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7042156,45211,1400
"Director of Policy, Strategy & Innovation",31768,Market Research,10102,MEL RESEARCH LTD,7043361,45224,16490
Create Central Projects,31572,Consultants,10115,Rationale Consulting,7042653,45211,5500
Investment Programme Financing,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7042874,45211,1850903.98
Metro Programme Director,60395,Physical Construction,10212,Matrix Power Limited,7043212,45218,126310.79
EU and Other PSI Projects,31571,External Advice,10214,MUSTARD MARKET RESEARCH LTD,7042865,45211,10590
Sprint,60191,Design Works,10220,AECOM Infrastructure and Environment UK Ltd,7043019,45224,115735.39
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7043334,45224,1024.54
Sprint,60343,Site Office Costs,10292,Savills UK LTD,7042535,45215,16516.94
Director of Network Resilience,31770,Marketing,10295,BBJ&K Ltd,7042441,45201,8018
Metro Programme Director,60393,Early Contractor Involvement,10312,Pennycuick Collins Limited,7042168,45218,10747.13
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,10349,Buchanan Computing Ltd,7043354,45224,58330.16
Transport Assets,30661,Rents,10358,Pall Mall Investments Ltd,7017914,45217,4687.5
Transport Assets,30661,Rents,10358,Pall Mall Investments Ltd,7043032,45218,4687.5
Transport Assets,30661,Rents,10358,Pall Mall Investments Ltd,7043251,45218,2249.02
Transport Assets,30661,Rents,10358,Pall Mall Investments Ltd,7043252,45217,4125
Sprint,60001,Project Support Costs,10378,Precision PMQS Limited,7042680,45222,3684.8
Sprint,60001,Project Support Costs,10378,Precision PMQS Limited,7043165,45222,3421.6
Sprint,60001,Project Support Costs,10378,Precision PMQS Limited,7043166,45222,2105.6
Sprint,60001,Project Support Costs,10378,Precision PMQS Limited,7043191,45222,3026.8
Sprint,60001,Project Support Costs,10378,Precision PMQS Limited,7043293,45222,4737.6
Sprint,60820,Publicity and PR,10388,Greatbatch Ltd t/a Letterbox Distribution.com,7043091,45224,630.16
