Cost Centre,Account,Expense Type,Supplier ID,Supplier Name,Trans No.,Payment Date,Amount excl. vat
Bus Service Improvement Plan (BSIP),31576,Safety & Security,10005,Reveal media Ltd,7046780,45320,2300
Adult Education,32752,Provider Delivery Fees - Contract,10009,BRIGHT DIRECTION TRAINING LIMITED,8014741,45314,35546.25
Mayoral Office Costs,31770,Marketing,10018,The Jade Studio Ltd,7045816,45299,1050
Create Central Projects,31572,Consultants,10026,European Innovation,7046042,45299,2083
Head of Operational Assets - Bus Infrastructure,60630,Land Acquisition,10027,Addleshaw Goddard LLP Client Ac,3004190,45295,379500
Head of Operational Assets - Bus Infrastructure,60630,Land Acquisition,10027,Addleshaw Goddard LLP Client Ac,3004198,45300,705
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,10037,Port Loop Phase 2 Limited,3004258,45316,127755
Adult Education,32752,Provider Delivery Fees - Contract,10043,Pathway First Limited,8014741,45314,12787.64
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7045689,45299,2750
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7046795,45322,2291.67
Director of Housing & Regeneration,60340,Site Supervision,10081,M & B G Ltd,7045889,45299,735
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7046236,45302,2500
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7046834,45322,1400
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7046836,45322,3000
Director of Network Resilience,30754,CCTV,10100,Electrical Testing Ltd.,7045696,45299,860
Director of Development & Delivery,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7045939,45299,51639.22
Investment Programme Financing,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7046227,45302,1387525.14
"Director of Policy, Strategy & Innovation",31571,External Advice,10214,MUSTARD MARKET RESEARCH LTD,7046448,45313,25804.39
"Director of Policy, Strategy & Innovation",31768,Market Research,10214,MUSTARD MARKET RESEARCH LTD,7046447,45313,4200
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,10255,TRL Limited,7046437,45322,10002.25
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7046426,45306,1024.54
Net Zero Neighbourhood,31571,External Advice,10260,Energy Confidence with Phil Beardmore,7046079,45299,5000
Metro Programme Director,60111,Land Advice,10263,Temple Bright,3000423,45300,1500
Director of Midlands Connect,31571,External Advice,10270,MDS Transmodal Limited,7045813,45306,24993.75
UKSPF,31770,Marketing,10295,BBJ&K Ltd,7045682,45299,47394
Adult Education,31770,Marketing,10295,BBJ&K Ltd,7046682,45316,88721
Future Mobility Zone to FTZ – DRT University of Warwick,31770,Marketing,10295,BBJ&K Ltd,7046735,45322,3428.59
Safety and Security Manager,31576,Safety & Security,10300,IMImobile Europe Ltd,7046551,45313,835
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,10316,CDP Developments Ltd,3004181,45299,360693.22
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,10337,Lovell Partnerships ltd,3004056,45300,494375
UKSPF,31770,Marketing,10344,IceBlue Marketing & Design Ltd,7046613,45313,650
Transport Assets,30661,Rents,10358,Pall Mall Investments Ltd,7046001,45313,4125
Transport Assets,30661,Rents,10358,Pall Mall Investments Ltd,7046002,45313,4687.5
Cycling for Everyone,31761,Cycle Facility Costs,10365,Vivacity Labs Limited,7046842,45322,39840
Director of Network Resilience,31571,External Advice,10377,MVIS Ltd,7046189,45299,809
Director of Network Resilience,60635,Signage Supply and Installation,10377,MVIS Ltd,7045971,45299,53200
Head of Network Transformation,60821,Public Consultation Costs,10388,Greatbatch Ltd t/a Letterbox Distribution.com,7045855,45299,5646.51
Marketing and Engagement,31770,Marketing,10389,7video Ltd,7045862,45299,1200
Director of Midlands Connect,31571,External Advice,10396,Goodbye Blue Monday Ltd,7046809,45320,1250
Events & Stakeholder,31770,Marketing,10396,Goodbye Blue Monday Ltd,7039969,45299,2500
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,10413,Anthem Lovell LLP,3004285,45323,439687.5
Investment Programme Financing,60561,Contributions to 3rd Parties,10413,Anthem Lovell LLP,3004285,45323,71875
Learning and Development,30112,Learning & Development,10444,BRE GLOBAL LTD (CEEQUA,7046555,45313,660
Leadership,30010,Secondee Costs,10447,Behavioural Insights Ltd,3003158,45300,30441.46
Director of Integrated Network Services,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7045888,45299,38119.32
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7045950,45299,2312.32
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7046590,45313,15678.03
Create Central Projects,31572,Consultants,10454,Zanna Creative,7046445,45313,8499.6
Commonwealth Games,31571,External Advice,10459,BIRMINGHAM & SOLIHULL WORKBASED LEARNING PROVIDER,3001349,45316,1894.38
Adult Education,32752,Provider Delivery Fees - Contract,10509,LEARNING INTO EMPLOYMENT ACADEMY LTD,8014741,45314,5944.95
Delivery Director - Metro,31571,External Advice,10527,CAF Rail UK Limited,7045969,45302,2428
Sprint,60050,Feasibility Studies,10541,Arcadis Consulting (UK) Ltd,7046671,45316,22010
Sprint,60050,Feasibility Studies,10541,Arcadis Consulting (UK) Ltd,7046946,45322,9220.29
Create Central Projects,31572,Consultants,10561,Martin Simms,7046696,45316,2222.5
"Director of Policy, Strategy & Innovation",31768,Market Research,10568,Savanta Group Ltd,7046569,45313,23000
Homelessness,31671,Revenue Contributions to Third Parties,10578,Street Support Network Limited,7046748,45316,7391
Environment,31571,External Advice,10587,Sustainability West Midlands,7045945,45299,6198.75
Industrial Strategy,31572,Consultants,10587,Sustainability West Midlands,7046198,45302,4375
Director of Integrated Network Services,30117,Health & Safety,10608,Maybo Limited,7046588,45313,790
Learning and Development,30112,Learning & Development,10609,Steve Radcliffe Associates,7045620,45299,5000
Metro Programme Director,60802,Licence Fees - Capital,10633,RPC UK Ltd,7045126,45299,3375.9
Tendered Bus Services,32425,Subsidised Services,10669,Thandi Red Ltd,40606,45313,31600
Innovation Alliance West Midlands,31571,External Advice,10681,Dr Pamela Waddell OBE,7046812,45320,4875
Industrial Strategy,31572,Consultants,10681,Dr Pamela Waddell OBE,7046040,45302,2406.25
Director of Midlands Connect,31604,IT Software Licenses and Applications,10682,Phoenix Software,7046596,45313,2138.71
Industrial Strategy,31767,Events / Exhibitions,10688,Blackhorse HCC Ltd,7043074,45316,7267.59
Industrial Strategy,31767,Events / Exhibitions,10688,Blackhorse HCC Ltd,7043078,45316,4845.06
Director of Network Resilience,60820,Publicity and PR,10690,Clive Reeves Public Relations Limited,7046296,45313,2265
Delivery Director - Sustainable Transport,60800,IT Hardware - Capital,10691,Cadventure Ltd,7043716,45299,2985
Delivery Director - Sustainable Transport,60800,IT Hardware - Capital,10691,Cadventure Ltd,7045807,45299,2985
Delivery Director - Sustainable Transport,60800,IT Hardware - Capital,10691,Cadventure Ltd,7046043,45299,2985
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7045967,45299,85000
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7046741,45316,7500
Metro Programme Director,60610,Gas Utility Costs,10695,Svella Connect Limited,7045967,45299,35000
Metro Programme Director,60611,Telephone Utility Costs,10695,Svella Connect Limited,7045967,45299,218000
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7045967,45299,65000
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7046702,45316,3410.68
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7046741,45316,6986.17
Metro Programme Director,60613,Water Utility Costs,10695,Svella Connect Limited,7045967,45299,49871.22
Create Central Projects,31572,Consultants,10703,Sarah Wood Media Ltd,7045858,45299,3334
Create Central Projects,31572,Consultants,10703,Sarah Wood Media Ltd,7046849,45322,3334
Culture,31572,Consultants,10712,We Made That LLP,7045990,45299,16243.75
Adult Education,32751,Provider Delivery Fees - Grant,20003,Local Education and Development,8014741,45314,1255.88
Adult Education,32752,Provider Delivery Fees - Contract,20003,Local Education and Development,8014741,45314,11454.95
Accessible Transport,31604,IT Software Licenses and Applications,20014,Liftango Ltd,7046168,45299,1340
Adult Education,32752,Provider Delivery Fees - Contract,20017,Twin Training International,8014741,45314,977.74
Executive Director WMRE,31767,Events / Exhibitions,20081,Staywell Hospitality Management Ltd,7046315,45313,600
Transport Assets,30502,Routine Maintenance,20088,1st Serve,7044259,45302,1950
Director of Housing & Regeneration,60391,Security Works,20088,1st Serve,7046034,45299,2900
Director of Network Resilience,31604,IT Software Licenses and Applications,20091,Roadworks Information one network,7046232,45302,32400
Director of Midlands Connect,31571,External Advice,20094,Ian Williams Services,7046552,45322,791.67
"Director of Policy, Strategy & Innovation",31768,Market Research,20097,JTl Research,7046757,45316,22656
Commonwealth Games,31571,External Advice,20108,The Adjuvo Group Ltd,7027263,45300,18025
Youth Combined Authority,31767,Events / Exhibitions,20111,Unique Venues Birmingham Limited,7045949,45299,2183.5
Capital Financing,31571,External Advice,20121,Focus on Banking Limited,7046807,45320,2450
Digital Marketing,31772,PR Photos,20147,Malloy Media Ltd,7046058,45299,1500
ICT Project,31608,Software Maintenance,20158,Simpson Associates Information Services Limited,7045286,45299,13675
Transport Assets,30851,Management Agents Costs,20161,LAMBERT SMITH HAMPTON (NIRELAND) LIMITED,7045738,45302,4025
16 Summer Lane FM,31571,External Advice,20161,LAMBERT SMITH HAMPTON (NIRELAND) LIMITED,7045992,45299,4500
Executive Director WMRE,31770,Marketing,20172,TC Branding Group,7046956,45322,1260.8
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7046649,45313,2250000
Director of Housing & Regeneration,60111,Land Advice,20181,Cushman & Wakefield,7046008,45299,15000
Director of Housing & Regeneration,60111,Land Advice,20181,Cushman & Wakefield,7046044,45302,10000
Director of Midlands Connect,31604,IT Software Licenses and Applications,20182,Plotly,7039573,45300,24107.67
Head of Finance & Business Planning,60870,Training,20198,Pilat Europe Ltd,7045777,45299,985
Metro Programme Director,60780,General Expenditure,20208,Sarah Taylor Silverwood,7046760,45320,2500
Metro Programme Director,60780,General Expenditure,20209,Joanne Tatham and Tom O’Sullivan,7046434,45306,3000
Create Central Projects,31572,Consultants,20228,Lorna Nickson - Brown,7046444,45313,2666.67
Learning and Development,30112,Learning & Development,20234,Legacy Consultants Ltd,7046999,45322,4492.5
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7046128,45322,632
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7046129,45322,598
Executive Director WMRE,31769,Promotional Material,20250,Transport Museum Wythall,7046975,45322,800
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,20258,Keepmoat Homes Midlands One,3003722,45300,73945
Delivery Director - Rail,30008,Agency Staff ( Established Posts),20260,Constellia Public Limited,7046520,45313,50116.41
Director of Integrated Network Services,31572,Consultants,20260,Constellia Public Limited,7045923,45299,10666.67
Director of Integrated Network Services,31572,Consultants,20260,Constellia Public Limited,7046177,45299,10666.67
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042328,45299,3076.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042347,45299,3076.92
Metro Programme Director,60001,Project Support Costs,20260,Constellia Public Limited,7045406,45322,5538.46
Metro Programme Director,60001,Project Support Costs,20260,Constellia Public Limited,7046284,45322,3692.31
Delivery Director - Rail,60001,Project Support Costs,20260,Constellia Public Limited,7046603,45313,4800
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7046428,45313,4871.79
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7046429,45313,4871.79
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7046430,45313,7887.18
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7046431,45313,4871.79
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7046432,45313,4871.79
Metro Programme Director,60801,IT Software - Capital,20260,Constellia Public Limited,7046394,45313,28861.54
Director of Housing & Regeneration,31571,External Advice,20264,Coverdale Barclay,7046436,45313,3185
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40604,45313,2754.75
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40605,45313,941
UKSPF,31571,External Advice,20293,Metro Dynamics,7046030,45313,17838
Energy Capital,31572,Consultants,20295,Wulfruna Consulting Ltd,7046167,45302,4795
Learning and Development,30112,Learning & Development,20370,Coventry University Services Limited,7047001,45322,3533
Office of Data Analytics,31572,Consultants,20370,Coventry University Services Limited,7045029,45299,9750
Digital Skills,31770,Marketing,20422,Lightyear Films Ltd,7046602,45316,4200
Homelessness,31671,Revenue Contributions to Third Parties,20430,Black Country Housing Group,7046782,45320,2000
Capital Financing,31571,External Advice,20437,Camdor Global Advisors Limited,7046057,45302,3750
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20496,Getmapping Plc,7046273,45302,33108
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20496,Getmapping Plc,7046519,45313,16553
Learning and Development,30112,Learning & Development,20498,The Knowledge Academy Limited,7046345,45306,1495
"Director of Policy, Strategy & Innovation",31571,External Advice,20498,The Knowledge Academy Limited,7044435,45306,7000
Digital Skills,31767,Events / Exhibitions,20499,Henrik Court Events Management,7047011,45322,2508
Capital Financing,33622,Debt Management,20510,Tradition UK,7046640,45313,7894.53
Metro Programme Director,60140,Compensation Claims,20521,GFD Service Ltd,7046121,45313,6959
Director of Midlands Connect,31571,External Advice,20548,Haank Consulting with Cloud Constructions,7046046,45313,2369.79
ICT Project,31604,IT Software Licenses and Applications,20549,Bridgeall Ltd,7046427,45306,1466.38
Investment Programme Financing,60141,Legal Advice,20554,BHW Solicitors Limited,7034881,45300,2460
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7045965,45299,3054
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7046681,45316,4356
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7046944,45322,9805
Head of Systems Change & Inclusion,31572,Consultants,20567,Barnardos,7046626,45316,7000
Sprint,60394,Traffic Management,20574,Mobile Visual Imaging Systems Limited,7045970,45322,9000
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7045372,45299,2164.9
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7045373,45299,1973.83
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7046068,45299,2164.9
"Director of Policy, Strategy & Innovation",31571,External Advice,20595,Q9 Elements Ltd,7046370,45306,2100
Careers,31671,Revenue Contributions to Third Parties,20596,Sandwell Inspired Partnership Services Education,7046708,45316,2033.26
ICT Project,31611,Cyber Security,20602,Arculus Ltd,7046528,45313,25500
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40604,45313,27341.73
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40605,45313,9113.91
Sprint,60343,Site Office Costs,20627,Insite Portable Accommodation Ltd,7045891,45322,2475
Director of Network Resilience,31770,Marketing,20628,Job Fairs Ltd,7045997,45299,2065
Learning and Development,30112,Learning & Development,20639,Six Eighty Limited,7046526,45313,745
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20643,United by 2022 Legacy Charity,7046453,45313,162432
Delivery Director - Rail,60111,Land Advice,20644,G. W. Kelly & P.A. Duffy,7046266,45302,15000
Metro Programme Director,60780,General Expenditure,20647,Helen Cammock Ltd,7046425,45306,3000
ICT Project,31606,Hardware Maintenance,20648,EBC Group,7046884,45322,750
Delivery Director - Rail,60141,Legal Advice,20657,George Green LLP Client Account,7046187,45299,6033
Energy Capital,60395,Physical Construction,20661,Cocuun Limited,7045697,45299,27625.5
Energy Capital,60395,Physical Construction,20661,Cocuun Limited,7045698,45299,186220.64
Safety and Security Manager,31769,Promotional Material,20666,Expand Digital Ltd t/a Embello,7046283,45302,11050
Head of IT Delivery,31603,IT Hardware,20677,WCL UK Ltd (Trading as Everything ICT),7046676,45316,260750
ICT Project,31603,IT Hardware,20677,WCL UK Ltd (Trading as Everything ICT),7046676,45316,104300
Head of IT Delivery,31608,Software Maintenance,20691,Freshworks Inc,7044436,45316,2552.3
Head of IT Delivery,31608,Software Maintenance,20691,Freshworks Inc,7046525,45316,6065.54
Head of Finance & Business Planning,30115,Staff Recruitment Costs,20693,Total Jobs,7046908,45322,2199.5
Investment Programme Financing,60191,Design Works,20695,Rodney Melville & Partners,7046570,45313,15268.5
Bus Service Improvement Plan (BSIP),31571,External Advice,20702,Heavenly Group,7046737,45320,44000
Bus Service Improvement Plan (BSIP),31770,Marketing,20702,Heavenly Group,7046348,45313,15647.5
Bus Service Improvement Plan (BSIP),31770,Marketing,20702,Heavenly Group,7046349,45313,15647.5
Learning and Development,30112,Learning & Development,20704,Coast Consulting,7046065,45299,1400
Metro Programme Director,60633,Tram Purchase Payments,20711,SSG Support Services Group Ltd,7045979,45299,2668
Metro Programme Director,60633,Tram Purchase Payments,20711,SSG Support Services Group Ltd,7046693,45316,3023.25
Metro Programme Director,60633,Tram Purchase Payments,20713,Garic Limited,7046028,45299,995
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7045993,45299,512.41
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7046143,45299,1312.9
Careers,31571,External Advice,20737,J Rasmin Consultancy Ltd,7045780,45299,2100
Careers,31571,External Advice,20738,Julie Cornfield,7046738,45316,2100
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7045896,45299,3900
