Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/08/2023,4164146-1362,"œ2,500.00",FX PRODUCTIONS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164059-136,œ605.00,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Business Durham,Supplies and Services,338066,Services,01/08/2023,4164083-1084,"œ2,235.00",REDACTED - PAYMENT TO INDIVIDUAL
Resources BK0010,Legal & Democratic Services,Supplies and Services,338101,Services,01/08/2023,4164115-CAB/003/2023JC,"œ1,500.00",REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Supplies and Services,338066,Services,01/08/2023,4164117-TAMTES157990/301120/500159,œ526.80,REDACTED - PAYMENT TO INDIVIDUAL
Resources BK0010,Legal & Democratic Services,Supplies and Services,338105,Services,01/08/2023,4164118-JRB032023JC,œ924.30,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384199,Miscellaneous Expenses,01/08/2023,4164119-SERVICESJUNE2023,"œ2,760.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164181-HC012,œ610.00,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Third Party Payments,430131,Rendered by Private Contractors,01/08/2023,4164196-2023019,œ549.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,304259,Equipment and Materials,01/08/2023,4164205-3731,œ550.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,01/08/2023,4164232-16SHORTFALL,"œ2,595.00",REDACTED - PAYMENT TO INDIVIDUAL
Dedicated Schools Grant BG0015,Dedicated Schools Grant CG0050,Central Support and Other Recharges,615208,Support Services,01/08/2023,4164220-RES-07-2023-388,"œ17,915.77",NEW COLLEGE DURHAM ACADEMIES TRUST.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,01/08/2023,4164285-2061112,œ820.42,WALT DISNEY COMPANY LTD.
Regeneration Economy and Growth,Planning & Housing,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164052-0137881A,œ595.00,ADDISONS CHARTERED SURVEYORS.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164054-AWPU-07-2023-110,"œ1,741.58",ADVANCE LEARNING PARTNERSHIP.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164055-AWPU-07-2023-113,œ588.37,ADVANCE LEARNING PARTNERSHIP.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164056-AWPU-07-2023-101,"œ1,082.60",ADVANCE LEARNING PARTNERSHIP.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164056-AWPU-07-2023-109,"œ1,976.93",ADVANCE LEARNING PARTNERSHIP.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,01/08/2023,4164057-ACS103318,"œ2,303.00",ADVANCED CHILD CARE ASSESSMENTS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/08/2023,4164063-6907357,œ898.94,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/08/2023,4164063-6910959,œ727.05,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164067-35248606,œ936.60,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164067-35249112,œ944.34,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164067-35249560,œ538.38,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164068-35248088,œ613.80,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164068-35248406,œ562.20,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164069-045280-WI,œ900.00,BENELLA AUTO ELECTRICAL SERVICES LTD T/A BENELLA COMMERCIAL.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,324117,Provisions E324,01/08/2023,4164071-22224612,œ540.39,BIDFOOD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,324117,Provisions E324,01/08/2023,4164071-22602528,œ563.83,BIDFOOD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164073-AWPU-07-2023-103,"œ1,012.00",BISHOP HOGARTH CATHOLIC EDUCATION TRUST.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164073-AWPU-07-2023-104,œ800.18,BISHOP HOGARTH CATHOLIC EDUCATION TRUST.
Children and Young Peoples Services,Head of Education and Skills,Transport,230035,Contract Hire,01/08/2023,4164075-INV03048,"œ1,176.00",BLUELINE SOUTH INCORPORATING NAVIGATION TAXIS T/A BLUELINE TAXIS.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/08/2023,4164077-21349538,"œ1,437.83",BREEDON TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/08/2023,4164077-21349540,"œ1,006.38",BREEDON TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/08/2023,4164077-21349543,"œ1,040.15",BREEDON TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/08/2023,4164077-21349544,"œ1,479.50",BREEDON TRADING LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164092-776,"œ5,176.62",CEILINGS DIRECT LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164094-F125JULY2023,œ504.00,CHAPMAN TRAVEL.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/08/2023,4164095-INV/2023/1987,œ532.50,CINEMANEXT UK T/A TECHNICAL LAMP SUPPLIES UK LTD (TLS).
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/08/2023,4164100-UOTR5113513,"œ19,456.80",CONVERA UK FINANCIAL LTD.
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,01/08/2023,4164109-7402930774,"œ4,680.00",DELL COMPUTER CORPORATION LTD.
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,01/08/2023,4164109-7402930826,œ525.00,DELL COMPUTER CORPORATION LTD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164110-AWPU-07-2023-087,œ564.84,DENE ACADEMY.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164111-96443975,"œ1,176.62",DENNIS EAGLE LTD T/A TERBERG MATEC (UK) LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164112-DE11602446,œ619.62,DENNIS EAGLE LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/08/2023,4164114-8777,"œ2,920.00",DMK LEISURE LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384700,Miscellaneous Expenses,01/08/2023,4164120-NEI-HCL-07-2023-006,"œ10,000.00",DS MEDIA T/A EVENTS OF THE NORTH.
Regeneration Economy and Growth,Transport and Contracted Services,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164122-1635,"œ1,100.00",EAST DURHAM TAXIS.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/08/2023,4164123-6706558,"œ1,084.00",EASTERN SHIRES PURCHASING ORGANISATION (ESPO).
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164124-S212703,"œ2,211.24",ECON ENGINEERING LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338027,Services,01/08/2023,4164125-2557,"œ7,000.00",ECONOMIC RESEARCH SERVICES LTD T/A ERS RESEARCH & CONSULTANCY.
Dedicated Schools Grant BG0015,Dedicated Schools Grant CG0050,Central Support and Other Recharges,615208,Support Services,01/08/2023,4164127-RES-07-2023-392,"œ5,201.35",EDEN LEARNING TRUST T/A FERRYHILL BUSINESS & ENTERPRISE COLLEGE.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164128-AWPU-07-2023-088,œ941.39,EDEN LEARNING TRUST T/A TANFIELD SCHOOL.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164128-AWPU-07-2023-089,"œ1,506.23",EDEN LEARNING TRUST T/A TANFIELD SCHOOL.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164129-AWPU-07-2023-094,"œ3,618.78",EDEN LEARNING TRUST T/A WOODHAM ACADEMY.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164129-AWPU-07-2023-107,œ663.09,EDEN LEARNING TRUST T/A WOODHAM ACADEMY.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164129-AWPU-07-2023-108,œ941.39,EDEN LEARNING TRUST T/A WOODHAM ACADEMY.
Dedicated Schools Grant BG0015,Dedicated Schools Grant CG0050,Central Support and Other Recharges,615208,Support Services,01/08/2023,4164129-RES-07-2023-391,"œ1,011.37",EDEN LEARNING TRUST T/A WOODHAM ACADEMY.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338035,Services,01/08/2023,4164134-EPASI006021,œ500.00,EPA PLUS (A TRADING DIVISION OF NCFE).
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164145-502499,"œ1,556.86",FT LEISURE LTD.
Resources BK0010,HR & Employee Services,Supplies and Services,338221,Services,01/08/2023,4164156-SF-154656,"œ1,904.43",HEALTH ASSURED LTD.
Resources BK0010,HR & Employee Services,Supplies and Services,338221,Services,01/08/2023,4164156-SF-154657,"œ1,904.43",HEALTH ASSURED LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164158-1447293919,œ548.90,HILTI (GB) LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338365,Services,01/08/2023,4164159-RES-07-2023-377,"œ15,209.45",HOME GROUP LTD.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,01/08/2023,4164164-SI-HK-001220,"œ5,000.00",HUMANKIND CHARITY.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164167-14119,œ760.00,INGLEFORD SCAFFOLDING LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164170-27935,"œ13,533.54",JACK COUPE & SONS LTD T/A COUPE LINE.
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,01/08/2023,4164174-11486,œ595.90,JG UNIFORMS.
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,01/08/2023,4164180-RES-07-2023-385,"œ2,000.00",KELLY PARK LTD..
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164183-AWPU-07-2023-099,œ800.18,KING JAMES I ACADEMY.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164184-7781810,"œ7,480.96",KONE PLC.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,01/08/2023,4164192-INV07/2023-06,"œ1,946.25",MARK & JOHN CHISHOLM T/A (CHEVRON).
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/08/2023,4164192-INV07/2023-08,"œ2,450.55",MARK & JOHN CHISHOLM T/A (CHEVRON).
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/08/2023,4164192-INV07/2023-14,"œ2,957.08",MARK & JOHN CHISHOLM T/A (CHEVRON).
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,01/08/2023,4164192-INV07/2023-34,"œ1,171.20",MARK & JOHN CHISHOLM T/A (CHEVRON).
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,01/08/2023,4164192-INV07/2023-35,"œ1,170.00",MARK & JOHN CHISHOLM T/A (CHEVRON).
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/08/2023,4164218-44473,"œ49,100.00",NE & C WINDOWS & DOORS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164222-AWPU-07-2023-085,œ706.05,NORTH DURHAM ACADEMY.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510051,School Children,01/08/2023,4164223-AWPU-07-2023-096,"œ3,593.83",NORTH EAST LEARNING TRUST (NELT).
Regeneration Economy and Growth,Corporate Property and Land,Construction work A908,908105,Construction work,01/08/2023,4164226-NEI-EXP-07-2023-050,œ957.00,NORTHERN GAS NETWORKS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Construction work A908,908105,Construction work,01/08/2023,4164226-NEI-EXP-07-2023-53,œ957.00,NORTHERN GAS NETWORKS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,01/08/2023,4164233-R2318242,"œ1,214.25",PARAMOUNT PICTURES UK.
Adult and Health Services,Head of Adults,Supplies and Services,342051,Computers and Communications,01/08/2023,4164236-0000018163,"œ1,100.00",PERMANENT FUTURES LTD.
Adult and Health Services,Head of Adults,Supplies and Services,342051,Computers and Communications,01/08/2023,4164236-0000019378,œ550.00,PERMANENT FUTURES LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,384899,Miscellaneous Expenses,01/08/2023,4164239-RES-07-2023-297,œ682.50,PITTINGTON PARISH COUNCIL.
Resources BK0010,Transactional & Customer Services,Supplies and Services,384999,Miscellaneous Expenses,01/08/2023,4164240-INV89131-DURHAMCOUNTYCOUNCIL-0623,"œ5,554.74",PREPAID FINANCIAL SERVICES LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164242-SI-02740,"œ1,679.36",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/08/2023,4164242-SI-2730,"œ4,000.00",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,01/08/2023,4164242-SI-2731,"œ2,896.72",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164242-SI-2732,"œ4,211.36",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164242-SI-2733,"œ3,200.00",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164242-SI-2735,"œ3,633.96",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,01/08/2023,4164242-SI-2736,"œ1,440.00",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230034,Contract Hire,01/08/2023,4164242-SI-2737,"œ4,800.00",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/08/2023,4164242-SI-2739,"œ1,080.00",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164242-SI-2741,"œ3,473.24",PTL TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/08/2023,4164242-SI-2742,"œ5,630.00",PTL TAXIS LTD.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,01/08/2023,4164242-SI-2743,"œ1,128.00",PTL TAXIS LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,01/08/2023,4164243-1441273,œ731.15,QUICKCO.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,342053,Computers and Communications,01/08/2023,4164246-NEI-EXP-07-2023-052,"œ20,000.00",RECYCLING OF USED PLASTICS LTD T/A RECOUP.
Regeneration Economy and Growth,Business Durham,Construction work A908,908105,Construction work,01/08/2023,4164249-24010008,"œ32,571.43",ROBERTSON CAPITAL PROJECTS.
Resources BK0010,Transactional & Customer Services,Supplies and Services,340001,Postages E340,01/08/2023,4164250-9067890702,"œ17,301.04",ROYAL MAIL GROUP PLC.
Neighbourhoods and Climate Change,Highways,Supplies and Services,384899,Miscellaneous Expenses,01/08/2023,4164258-RES-07-2023-298,œ697.50,SHERBURN VILLAGE PARISH COUNCIL.
