Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,336005,Advertising E336,03/04/2023,4117969-93521,£666.60,ALLWAG PROMOTIONS LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,336005,Advertising E336,03/04/2023,4117969-93522,"£1,041.00",ALLWAG PROMOTIONS LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,03/04/2023,4118383-0000499346,"£1,648.80",TEACHERACTIVE LTD.
Resources BK0010,Pensions CK0700,Supplies and Services,342051,Computers and Communications,03/04/2023,4118029-C/PE267130,"£118,044.00",CIVICA UK LTD.
Resources BK0010,Transactional & Customer Services,Supplies and Services,342055,Computers and Communications,03/04/2023,4118029-C/RB262587,"£2,490.00",CIVICA UK LTD.
Resources BK0010,Digital Services,Supplies and Services,342051,Computers and Communications,03/04/2023,4118057-22856,"£2,796.00",DOTTED EYES LTD T/A MISO PORTAL.
Resources BK0010,Pensions CK0700,Supplies and Services,342051,Computers and Communications,03/04/2023,4118102-HEX67000758860,"£3,989.76",EXPERIAN LTD.
Resources BK0010,Digital Services,Supplies and Services,342051,Computers and Communications,03/04/2023,4118102-HEX67000759794,"£5,328.49",EXPERIAN LTD.
Resources BK0010,Digital Services,Supplies and Services,342033,Computers and Communications,03/04/2023,4118125-792614,"£7,786.80",GETECH LTD.
Children and Young Peoples Services,Childrens Services Operational Support,Supplies and Services,342053,Computers and Communications,03/04/2023,4118221-033740,"£84,365.58",LIQUIDLOGIC LTD.
Resources BK0010,Legal & Democratic Services,Supplies and Services,352001,Conference Expenses,03/04/2023,4118045-40131,£936.00,COUNTY COUNCILS NETWORK.
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,03/04/2023,4118178-27511,£979.51,JACK COUPE & SONS LTD T/A COUPE LINE.
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,03/04/2023,4118178-27585,"£2,107.25",JACK COUPE & SONS LTD T/A COUPE LINE.
Regeneration Economy and Growth,Transport and Contracted Services,Construction work A908,908105,Construction work,03/04/2023,4118178-27587,"£1,139.06",JACK COUPE & SONS LTD T/A COUPE LINE.
Children and Young Peoples Services,Head of Education and Skills,Construction work A908,908105,Construction work,03/04/2023,4118223-175739,£960.00,LUCION ENVIRONMENTAL LLP LTD.
Neighbourhoods and Climate Change,Highways,Fees,901002,Professional fees 901002,03/04/2023,4118093-PF00000792,"£8,571.01",ENVIRONMENT AGENCY.
Neighbourhoods and Climate Change,Highways,Fees,901002,Professional fees 901002,03/04/2023,4118441-297,"£1,017.25",WEAR RIVERS TRUST.
Children and Young Peoples Services,Head of Education and Skills,Transport,230034,Contract Hire,03/04/2023,4117997-INV01834,"£2,903.40",BLUELINE SOUTH INCORPORATING NAVIGATION TAXIS T/A BLUELINE TAXIS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,03/04/2023,4117997-INV01836,"£2,293.37",BLUELINE SOUTH INCORPORATING NAVIGATION TAXIS T/A BLUELINE TAXIS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,03/04/2023,4118117-103305,"£1,523.61",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,03/04/2023,4118117-103307,"£3,611.51",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,03/04/2023,4118117-103309,"£1,853.64",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,03/04/2023,4118117-103343,"£1,186.81",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,03/04/2023,4118201-3165,"£2,317.90",KINGSWAY CABS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,03/04/2023,4118201-3200,"£2,452.80",KINGSWAY CABS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230005,Contract Hire,03/04/2023,4118483-18712,"£2,806.00",WEARDALE MOTOR SERVICES LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,03/04/2023,4118186-185-MAR23,"£5,085.60",CONSETT CONTRACTS LTD.
Regeneration Economy and Growth,Business Durham CL0850,Third Party Payments,460305,Contract Payments,03/04/2023,4118481-RES-03-2023-677,"£5,851.30",UMI COMMERCIAL LTD.
Regeneration Economy and Growth,Transport and Contracted Services,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,03/04/2023,4118154-S0018794,"£621,000.00",HOMES ENGLAND.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/04/2023,4118237-2688031,£810.00,MCD GROUP LTD T/A WILKIES.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,03/04/2023,4118244-390571,"£1,210.13",MIDDLETON FORGE LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,03/04/2023,4117960-013578,"£5,383.20",A HILL & SONS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,03/04/2023,4117960-013579,"£4,278.72",A HILL & SONS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,03/04/2023,4117960-013580,"£2,636.70",A HILL & SONS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304359,Equipment and Materials,03/04/2023,4117993-BMPR/1122/SKIPS,£829.20,BISHOP MIDDLEHAM PLANT & RECYCLING LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,03/04/2023,4117999-1032506,£727.01,BOSTON SEEDS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/04/2023,4118028-2852ABT517,£906.02,CITY PLUMBING SUPPLIES HOLDINGS LTD.
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,03/04/2023,4118048-3745005,£760.27,CPC (ELECTRICAL WHOLESALERS).
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/04/2023,4118080-059-315822,"£1,590.01",EDMUNDSON ELECTRICAL LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,03/04/2023,4118124-I304887,"£2,380.94",GEMCO SERVICE LTD.
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,03/04/2023,4118136-INV0192390,"£12,155.70",GVAV LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,03/04/2023,4118137-INV-5491,£833.87,GYM TECH NORTH EAST.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,03/04/2023,4118141-SI-8111,£735.60,HARELAW SAWMILL LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,03/04/2023,4118141-SI-8112,£735.60,HARELAW SAWMILL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/04/2023,4118158-A38/0164014,"£3,150.30",HOWDENS JOINERY LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304259,Equipment and Materials,03/04/2023,4118164-SI-00181368,£782.34,ID CARD CENTRE LTD.
