Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Resources BK0010,Legal & Democratic Services,Supplies and Services,384954,Miscellaneous Expenses,01/12/2023,4209230-ANMF-HMC-1123,"£1,050.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/12/2023,4209309-2101,"£15,430.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Third Party Payments,430131,Rendered by Private Contractors,01/12/2023,4209344-2023031,"£2,730.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Third Party Payments,430131,Rendered by Private Contractors,01/12/2023,4209344-2023032,£576.00,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/12/2023,4209437-SC0587,£636.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,01/12/2023,4209443-STEPSINTOEET,"£3,696.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/12/2023,4209464-0002517OCT23,"£4,219.20",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/12/2023,4209464-2514OCT23,"£3,946.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/12/2023,4209464-2515OCT23,"£1,993.68",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/12/2023,4209464-2519OCT23,"£4,129.60",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/12/2023,4209464-2520OCT23,"£3,120.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/12/2023,4209135-9585,£720.00,A19 DRILLING LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/12/2023,4209137-116411576,£731.66,AC ENTERTAINMENT TECHNOLOGIES.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/12/2023,4209139-53816256,"£4,762.08",ADT FIRE & SECURITY PLC.
