Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/02/2024,4230173-35518261,œ718.61,AGGREGATE INDUSTRIES UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,01/02/2024,4230183-HI3237896,œ645.84,ARNOLD CLARK CAR & VAN RENTAL.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/02/2024,4230185-6993773,œ631.14,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312017,Newspapers books and periodicals E312,01/02/2024,4230185-6993778,œ807.82,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/02/2024,4230185-6993796,œ738.22,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312017,Newspapers books and periodicals E312,01/02/2024,4230185-6994168,œ722.73,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312017,Newspapers books and periodicals E312,01/02/2024,4230185-6994191,œ582.96,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312017,Newspapers books and periodicals E312,01/02/2024,4230185-6994192,œ642.48,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Economic Development,Intangible Assets,917003,Software capitalised implementation fees,01/02/2024,4230187-240130,"œ1,014.00",AT CREATIVE LTD.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,01/02/2024,4230200-32,"œ2,252.25",BROADSIDE CREATIVES CIC.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430113,Rendered by Private Contractors,01/02/2024,4230201-SI-1021,"œ1,080.00",BROADWOOD GARAGE LTD.
Children and Young Peoples Services,Head of Education and Skills,Central Support and Other Recharges,615208,Support Services,01/02/2024,4230207-RES-01-2024-423,"œ1,155.86",CARMEL COLLEGE.*
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,440047,Other third party payments E440,01/02/2024,4230208-26158,"œ7,432.32",CASTLE VIEW GROUP TRAINING.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,440047,Other third party payments E440,01/02/2024,4230208-26314,"œ7,454.44",CASTLE VIEW GROUP TRAINING.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,440047,Other third party payments E440,01/02/2024,4230208-26381,"œ4,247.04",CASTLE VIEW GROUP TRAINING.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,440047,Other third party payments E440,01/02/2024,4230208-26426,"œ2,123.52",CASTLE VIEW GROUP TRAINING.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/02/2024,4230210-INV-0896,"œ3,000.00",CHANNELL EVENTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/02/2024,4230224-DI202312,œ750.00,D&I TAXIS.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,338094,Services,01/02/2024,4230228-12/07,œ866.25,DEAN BANK & FERRYHILL LITERARY INSTITUTE.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,01/02/2024,4230231-INV-1865,"œ50,030.00",DINSDALE MOORLAND SPECIALISTS.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/02/2024,4230234-003/2024,"œ31,621.70",DPC SCREEDING LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,372009,Subscriptions E372,01/02/2024,4230242-2024/940236,"œ3,824.20",ECA (ELECTRICAL CONTRACTORS` ASSOCIATION)
Dedicated Schools Grant BG0015,Dedicated Schools Grant CG0050,Central Support and Other Recharges,615208,Support Services,01/02/2024,4230243-RES-01-2024-422,"œ5,490.32",EDEN LEARNING TRUST T/A FERRYHILL BUSINESS & ENTERPRISE COLLEGE.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/02/2024,4230245-059-330370,"œ1,248.75",EDMUNDSON ELECTRICAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/02/2024,4230245-059-330371,"œ1,610.92",EDMUNDSON ELECTRICAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/02/2024,4230245-059-330390,œ739.14,EDMUNDSON ELECTRICAL LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,01/02/2024,4230251-RES-01-2024-078,"œ6,192.64",EPIACUM HERITAGE LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,01/02/2024,4230251-RES-01-2024-437,"œ23,818.80",EPIACUM HERITAGE LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,01/02/2024,4230261-14256,"œ1,045.00",GB SPORT & LEISURE UK LTD.
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,01/02/2024,4230273-1101041424,"œ2,192.80",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,304259,Equipment and Materials,01/02/2024,4230276-136170,œ717.00,HOWARTH OF LONDON LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,01/02/2024,4230281-8692,œ920.00,IBA FABRICATIONS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,01/02/2024,4230282-1168/DUCC3949,"œ24,748.00",IMAGEMAKERS DESIGN & CONSULTANCY LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/02/2024,4230284-921205,"œ1,359.28",INSTARMAC GROUP PLC.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,01/02/2024,4230288-5307086,"œ1,137.50",JA GILSON (AGRICULTURAL CONTRACTORS) LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,01/02/2024,4230288-5307088,œ645.00,JA GILSON (AGRICULTURAL CONTRACTORS) LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,01/02/2024,4230288-5307091,"œ1,217.50",JA GILSON (AGRICULTURAL CONTRACTORS) LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,01/02/2024,4230288-5307094,"œ2,040.00",JA GILSON (AGRICULTURAL CONTRACTORS) LTD.
