Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Children and Young Peoples Services,Childrens Services Operational Support,Supplies and Services,338026,Services,01/09/2023,4175404-23-24-34,"œ1,428.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384199,Miscellaneous Expenses,01/09/2023,4175460-4100850379,œ765.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/09/2023,4175325-01299,"œ3,384.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338066,Services,01/09/2023,4175361-4100849820,œ756.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,01/09/2023,4175399-304,"œ1,889.32",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,01/09/2023,4175416-B041JULY23,"œ2,221.93",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/09/2023,4175417-INV281,"œ1,400.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,01/09/2023,4175434-A082JUL23,"œ2,748.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230034,Contract Hire,01/09/2023,4175450-5468JUL23,œ890.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,304259,Equipment and Materials,01/09/2023,4175360-241546,œ896.45,DORSET NURSING SUPPLIES LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,01/09/2023,4175365-VOUCHERABLM01-23,œ530.00,DURHAM GATE RESIDENTS ASSOCIATION.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,01/09/2023,4175315-JULY05-2023,"œ1,200.00",A & P TAXIS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,01/09/2023,4175316-O602,"œ2,266.52",ABC & OUSTON CABS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,01/09/2023,4175316-O604,"œ3,088.69",ABC & OUSTON CABS.
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,01/09/2023,4175317-IN11295,"œ9,353.88",ACROL AIR CONDITIONING CO LTD.
Neighbourhoods and Climate Change,Environmental Services,Premises,106080,Centrally Controlled Rep and Maint,01/09/2023,4175319-52980348,"œ47,770.26",ADT FIRE & SECURITY PLC.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/09/2023,4175320-34936996,"œ1,670.12",AGGREGATE INDUSTRIES UK LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,01/09/2023,4175321-429,"œ4,708.79",ALANS TAXIS BARNARD CASTLE.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,01/09/2023,4175326-VOUCHERBELC02-23,œ900.00,ANNFIELD PLAIN CRICKET CLUB.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,01/09/2023,4175327-0000038917,"œ2,340.00",AQUAJET DRAIN CLEANING LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,460224,Contract Payments,01/09/2023,4175328-30087,"œ181,752.09",ARM PIPETEK LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,312009,Newspapers books and periodicals E312,01/09/2023,4175331-6916204,œ502.52,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,01/09/2023,4175333-MG08780,"œ1,342.50",BAILEY CONCRETE PUMPING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/09/2023,4175338-207R02881,"œ1,262.03",BIFFA WASTE SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,01/09/2023,4175340-22SI2292361,"œ1,695.68",BRENNTAG UK LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91566,œ709.40,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91567,œ824.23,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91568,œ828.37,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91569,œ653.04,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91570,œ784.92,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91571,"œ1,619.42",CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91572,"œ1,271.62",CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91573,œ736.37,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91574,œ949.78,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91755,œ561.81,CARE ABILITY HEALTHCARE LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338364,Services,01/09/2023,4175344-91756,œ514.04,CARE ABILITY HEALTHCARE LTD.
