Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,25/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,FINANCE BUSINESS PARTNERING: CORE DEFRA (ERG & SIFFG),SCOTTISH GOVERNMENT,PREFINANCINGPAYMENTSCOTLAND,382036.48,"SCOTTISH PRE-FINANCING PAYMENT, 21-22",EH66QQ,CENTRAL GOVT BODY,,DEA10316,Expense,GB 88 8842551
DEFRA,DEFRA,25/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,FINANCE BUSINESS PARTNERING: CORE DEFRA (ERG & SIFFG),DAERA NORTHERN IRELAND GOVERNMENT,NORTHERNIRELANDPREFINANCINGPAYMENT2122,323095.18,"PRE-FINANCING PAYMENT FOR NORTHERN IRELAND, 21-22",BT4 3SB,SUPPLIER,,DEA10316,Expense,88880859
DEFRA,DEFRA,25/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,FINANCE BUSINESS PARTNERING: CORE DEFRA (ERG & SIFFG),WELSH ASSEMBLY GOVERNMENT,PREFINANCINGPAYMENTWELSHGOVERNMENT2122,159818.27,"PRE-FINANCING PAYMENT, WELSH GOVERNMENT 2122",SY23 3UR,CENTRAL GOVT BODY,,DEA10316,Expense,888835056
DEFRA,DEFRA,06/06/2024,EXP - PURCHASE OF GOODS/SERVICES - HOTELS & ACCOMMODATION - FOREIGN ACCOMODATION,INTERNATIONAL BIODIVERSITY & WILDLIFE,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,CBDCOP16IBISCALIBOOKING,28785.71,Pago reservas Hotel Ibis Cali Embajada Britanica Aviatur. Invoice number 16649372,,SUPPLIER,,00000000,Expense,
DEFRA,DEFRA,07/06/2024,EXP - CURRENT RESEARCH AND DEVELOPMENT  GRANTS TO THE REST OF THE WORLD,FLS-ODA INTERNATIONAL CLIMATE FINANCE,INTERNATIONAL INITIATE FOR IMPACT EVALUATION INC TA 3IE,2024/3IE/DEFRA/EGM/0001/WHBA/NM/1765,145993.14,Invoice: 2024/3ie/DEFRA/EGM/0001.  Payment in respect of grant funding for Impact Evaluation for Conservation Climate and Development: Understanding what works. Ref: CCN002/V-01822,20036-3651,SUPPLIER,,DEA10561,Expense,
DEFRA,DEFRA,07/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,FLS-ODA INTERNATIONAL NATURE CLIMATE & DEVELOPMENT,GLOBAL ALLIANCE ON HEALTH AND POLLUTION GAHP,GAHP-2024-011/WHBA/NM/1766,105894.61,Invoice GAHP-2024-011. April 2024 - WP3/4/5. Environmental Pollution Viet Nam Project.  ECM_65076,1219,SUPPLIER,,DEA10566,Expense,
DEFRA,DEFRA,20/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FLS-ODA MARINE,WORLD ECONOMIC FORUM,WEF_20240506/GPAP/DEFRA_1_/WHBA/NM/1767I,61559.00,WEF-DIRECT FUNDING PROJECTS-GBP. Pay ref:  20240506 (part one of two). Grant ECM_62417.  Global Plastic Action Partnership. (These remittance details should accompany transfer please).,1-2-2-3,SUPPLIER,,DEA10554,Expense,107856445
DEFRA,DEFRA,28/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,FLS-ODA INTERNATIONAL NATURE CLIMATE & DEVELOPMENT,GLOBAL ALLIANCE ON HEALTH & POLLUTION GAHP,GAHP-2024-014/WHBA/NM/1771,81591.33,Invoice GAHP-2024-014. May 2024 - WP3/4/5.  Environmental Pollution Viet Nam Project.  ECM_65076.,1219,SUPPLIER,,DEA10566,Expense,
DEFRA,DEFRA,14/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CURRENT PAYMENTS,FOOD AND DRINK QUALITY & PARTNERSHIPS,SOIL ASSOCIATION,DM0000042508,-26280.00,Refund Received,BS1 3NX,CUSTOMER,,00000000,Expense,701016601
DEFRA,DEFRA,25/06/2024,Exp - Purchase Of Goods/Services - Consultancy,ELM TRIALS AND TESTS,CLINTON DEVON ESTATES,42318,-35297.88,ECM_65554 T&T Clinton Devon Estates will undertake a Landscape Recovery scale test and provide a real-life case study of the opportunities and constraints of transacting on ecosystem service benefits related to ELM,EX9 7BL,SUPPLIER,65554,DEA10485,Expense,321152022
