Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,BIRMINGHAM CITY CNCL,3700286625,Grant payable by the Exchequer,B2 2AJ,"£160,000.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,GREATER LONDON AUTHORITY,3700286629,Grant payable by the Exchequer,SE10 1AJ,"£2,500,741.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,HOMES ENGLAND,2100345028,Monthly Grant Claim SHAP CDEL 24/25,NE4 5BZ,"£3,130,754.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,PLYMOUTH CITY CNCL,3700286622,Grant payable by the Exchequer,PL1 2AA,"£182,000.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BIRMINGHAM CITY CNCL,3700286630,Grant payable by the Exchequer,B2 2AJ,"£30,624.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700286623,Grant payable by the Exchequer,BS3 9FS,"£29,908.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700286628,Grant payable by the Exchequer,BS3 9FS,"£33,565.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,GREATER MANCHESTER COMBINED AUT,3700286631,Grant payable by the Exchequer,M27 8US,"£46,150.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,HOMES ENGLAND,2100345029,Monthly Grant Claim SHAP RDEL 24/25,NE4 5BZ,"£62,893.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,LIVERPOOL CITY REGION COMB AUT,3700286627,Grant payable by the Exchequer,L3 1BP,"£34,635.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,OXFORD CITY COUNCIL,3700286632,Grant payable by the Exchequer,OX1 1DS,"£68,250.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,ROTHERHAM MBC,3700286621,Grant payable by the Exchequer,S60 1AE,"£59,774.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,STOKE ON TRENT CITY COUNCIL,3700286626,Grant payable by the Exchequer,ST4 1HH,"£62,717.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current Grants to Non Profit Bodies,Local Government & Public Services,It Takes A City (Cambridge),3700286619,Grant payable by the Exchequer,CB2 3AR,"£41,750.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current Grants to Non Profit Bodies,Local Government & Public Services,SWINDON NIGHT SHELTER,3700286618,Grant payable by the Exchequer,SN3 1AR,"£67,445.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",Ipsos (market research) Ltd,5106314813,EIP   Extension of Public Opinion Survey,E1W 1YW,"£103,024.00",,"Local Growth, Communities and Devolution",Stuart Ison
"Housing, Communities & Local Government",MHCLG,02/09/2024,Professional services,Safer and Greener Buildings,DELOITTE  LLP,5106314806,Consultancy,MK9 1FD,"£39,300.00",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,02/09/2024,Property/Estates Consultancy,Regeneration Housing and Planning,Nathaniel Lichfield & Partners Ltd,5106314814,Planning Consultants,EC3R 7AG,"£27,461.83",,Regeneration Housing and Planning,Joanna Averley
"Housing, Communities & Local Government",MHCLG,03/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Friends of Downe Activity Centre,2100345093,COF24 068 FRIENDS OF DOWNE ACTIVITY CENTRE,BR6 7EW,"£350,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",MALLARD COMMUNITY CHARITABLE HUB LT,2100345095,COF23 179 MALLARD COMMUNITY CHARITABLE HUB LIMITED,BT94 2FY,"£55,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",Friends of Downe Activity Centre,2100345094,COF24 068 FRIENDS OF DOWNE ACTIVITY CENTRE,BR6 7EW,"£40,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",MALLARD COMMUNITY CHARITABLE HUB LT,2100345096,COF23 179 MALLARD COMMUNITY CHARITABLE HUB LIMITED,BT94 2FY,"£35,500.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,Livewire Consultancy Limited,5106314847,Limewire Research,HA8 2TR,"£35,000.00",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,03/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",OVE ARUP & PARTNERS,5106314841,Extension of English Freeport Activities,W1T 4BJ,"£188,509.61",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",OVE ARUP & PARTNERS,5106314842,Extension of English Freeport Activities,W1T 4BJ,"£81,955.69",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,IT - Software Maintenance,CFO and Corporate,ARCH CONSULTING LTD,5106314824,SAP S4 Migration & Fiori Finance Impleme,W4 1PF,"£26,325.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,03/09/2024,Professional services,Regeneration Housing and Planning,VALUATION OFFICE AGENCY,5106314827,Right to Buy Determinations,W1D 5BU,"£148,213.85",,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,03/09/2024,Professional services,Safer and Greener Buildings,MOTT MACDONALD,5106314793,Project Consultancy,CR9 2UL,"£96,479.81",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,03/09/2024,Professional services,Safer and Greener Buildings,MOTT MACDONALD,5106314823,Project Consultancy,CR9 2UL,"£31,420.57",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,03/09/2024,Professional services,Safer and Greener Buildings,RIDGE & PARTNERS LLP,5106314819,Legal Fees,OX20 1QR,"£53,393.40",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,04/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",BERKELEY BOOKS,2100345125,COF23 167 BERKELEY BOOKS,GL13 9BY,"£109,976.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,04/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,MERTON LB,2600062404,Merton Bellwin Scheme Galpins Rd Gas Explosion,SM4 5DX,"£653,124.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,04/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",Welling United FC Academy CIC,2100345123,COF24 069 WELLING UNITED FC ACADEMY CIC,ME15 0BD,"£40,400.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,04/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,SE STRATEGIC PARTNERSHIP FOR MIGRAT,2100345122,Grant Funding for Hong Kong British Nationals Welcome Hubs,TN13 1HG,"£384,927.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,04/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",FRONTIER ECONOMICS LTD,5106314867,UKSPF Monitoring & Evaluation - Interven,WC1V 6DA,"£25,267.20",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,04/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",Verian Group UK Limited,5106314869,UKSPF Pride in Place and Life Chances Su,SW1P 3JA,"£59,200.80",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,04/09/2024,Grant in Aid to NDPBs (non budget),Local Government & Public Services,VALUATION TRIBUNAL SERVICE,2100345121,GIA to VTS,E1 8EU,"£415,000.00",Yes,Local Government & Public Services,Catherine Frances
"Housing, Communities & Local Government",MHCLG,04/09/2024,"IT - PC, Network & Hardware",CFO and Corporate,X M A LTD,5106314898,Hardware 2023-2026,NG11 7EP,"£29,244.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,04/09/2024,IT - Service Contracts,CFO and Corporate,LITTLE FISH(UK)T/A LITTLE FISH,5106314873,ServiceDesk Support (3 years),NG1 1LS,"£94,620.86",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,05/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Ashton Hayes Community Hub Ltd,2100345168,COF23 180 ASHTON HAYES COMMUNITY HUB,CH3 8AB,"£60,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,05/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",KENNERLEIGH & DIST COMM STORES LTD,2100345165,COF24 022 KENNERSLEIGH & DISTRICT COMMUNITY,EX17 4RS,"£129,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,05/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,MANCHESTER CITY COUNCIL,2100345172,Grant Funding for Hong Kong British Nationals Welcome Hubs,M60 2JR,"£403,412.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,05/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,International Rescue Committee Uk,2100345175,Children and Young People s Resettlement Fund,EC2V 7AN,"£34,396.31",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,05/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,NATIONAL CENTRE FOR SOCIAL RESEARCH,5106314922,English Housing Survey Research,EC1V 0AX,"£54,171.59",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,05/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,NATIONAL CENTRE FOR SOCIAL RESEARCH,5106314923,English Housing Survey Research,EC1V 0AX,"£128,232.44",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,05/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,NATIONAL CENTRE FOR SOCIAL RESEARCH,5106314925,English Housing Survey Research,EC1V 0AX,"£564,133.80",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,05/09/2024,Grant in Aid to NDPBs (non budget),Local Government & Public Services,COMMISSION LOCAL ADMINISTRATION,2100344980,DCLG DEL 24/25 budget contribution for the CLAE,CV1 3BH,"£1,060,000.00",Yes,Local Government & Public Services,Catherine Frances
"Housing, Communities & Local Government",MHCLG,05/09/2024,"IT - PC, Network & Hardware",CFO and Corporate,X M A LTD,5106314899,Hardware 2023-2026,NG11 7EP,"£477,810.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,05/09/2024,IT - Service Contracts,CFO and Corporate,"Amazon Web Services Emea Sarl, Uk B",5106314931,Cloud IT Services,EC2A 2FA,"£59,818.33",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,05/09/2024,IT - Service Contracts,"Local Growth, Communities and Devolution","Amazon Web Services Emea Sarl, Uk B",5106314931,AWS cloud environment for EIP (Elections,EC2A 2FA,"£36,427.62",,"Local Growth, Communities and Devolution",Stuart Ison
"Housing, Communities & Local Government",MHCLG,05/09/2024,IT - Service Contracts,Safer and Greener Buildings,TURNER&TOWNSEND PROJECT MAN LTD,5106314933,Project Consultancy,LS18 4GH,"£65,809.54",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,05/09/2024,IT - Service Contracts,Safer and Greener Buildings,TURNER&TOWNSEND PROJECT MAN LTD,5106314934,Project Consultancy,LS18 4GH,"£57,214.49",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,05/09/2024,IT - Service Contracts,Safer and Greener Buildings,TURNER&TOWNSEND PROJECT MAN LTD,5106314935,Project Consultancy,LS18 4GH,"£46,755.00",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,05/09/2024,Legal Fees,Regeneration Housing and Planning,SNR DENTON UK  LLP,5106314929,Legal Advice,EC4M 7WS,"£114,853.43",,Regeneration Housing and Planning,Joanna Averley
"Housing, Communities & Local Government",MHCLG,05/09/2024,Management Consultancy,Safer and Greener Buildings,DELOITTE  LLP,5106314912,Consultancy,MK9 1FD,"£247,200.00",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,05/09/2024,Management Consultancy,Safer and Greener Buildings,RIBA 1834 LTD,5106314936,GTMC Design Competition Consultant,W1B 1AD,"£29,520.00",,Safer and Greener Buildings,Claire Metcalfe
"Housing, Communities & Local Government",MHCLG,05/09/2024,Professional services,CFO and Corporate,CABINET OFFICE(USE 300242),5106314911,Complex Transactions support C Offfice,FY5 3TA,"£71,940.00",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,05/09/2024,Professional services,Regeneration Housing and Planning,DESIGN COUNCIL,2100345174,Professional Services ,EC1Y 0TG,"£75,430.00",,Regeneration Housing and Planning,Joanna Averley
"Housing, Communities & Local Government",MHCLG,05/09/2024,Professional services,Safer and Greener Buildings,JACOBS UK LTD,5106314708,Technical Advisor Support,SE1 2QG,"£43,621.20",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,BATH & NE SOMERSET DC,3700287120,Grant payable by the Exchequer,BA1 1JG,"£117,042.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,BEDFORD UNITARY AUTHORITY,3700287090,Grant payable by the Exchequer,MK40 1SJ,"£577,742.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,BIRMINGHAM CITY CNCL,3700287125,Grant payable by the Exchequer,B2 2AJ,"£1,790,425.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,BLACKPOOL BC,3700287129,Grant payable by the Exchequer,FY1 1NA,"£91,475.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,BOLTON MBC,3700287118,Grant payable by the Exchequer,BL1 1RU,"£121,250.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,BRENT LB,3700287097,Grant payable by the Exchequer,HA9 0FJ,"£1,972,425.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,BRISTOL CITY CNCL,3700287101,Grant payable by the Exchequer,BS3 9FS,"£1,172,570.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,CHESHIRE EAST COUNCIL,3700287087,Grant payable by the Exchequer,CW11 1HZ,"£45,170.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,DERBYSHIRE DALES DC,3700287112,Grant payable by the Exchequer,DE4 3NN,"£526,849.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,DORSET COUNCIL,3700287096,Grant payable by the Exchequer,DT1 1XJ,"£275,885.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,DURHAM COUNTY COUNCIL,3700287100,Grant payable by the Exchequer,DH1 5UE,"£187,614.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,EASTBOURNE BC,3700287102,Grant payable by the Exchequer,BN21 4TW,"£434,171.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,ENFIELD LB,3700287121,Grant payable by the Exchequer,EN1 3XF,"£1,291,195.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,EXETER CITY COUNCIL,3700287094,Grant payable by the Exchequer,EX1 1JW,"£198,083.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,FOLKESTONE & HYTHE DC,3700287107,Grant payable by the Exchequer,CT20 2QY,"£110,513.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,GREAT YARMOUTH BC,3700287119,Grant payable by the Exchequer,NR30 2QG,"£70,194.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,HARBOROUGH DC,3700287126,Grant payable by the Exchequer,LE16 7AG,"£158,174.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,HARROW LB,3700287092,Grant payable by the Exchequer,SL1 0ZS,"£563,100.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,HAVANT BC,3700287110,Grant payable by the Exchequer,PO9 2AX,"£199,350.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,HERTSMERE BC,3700287104,Grant payable by the Exchequer,WD6 1WA,"£168,606.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,HORSHAM DC,3700287088,Grant payable by the Exchequer,RH12 1RL,"£316,700.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,IPSWICH BC,3700287124,Grant payable by the Exchequer,IP1 2DE,"£151,275.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,LEEDS CITY CNCL,3700287131,Grant payable by the Exchequer,LS1 1JF,"£125,000.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,LEICESTER CITY CNCL,3700287130,Grant payable by the Exchequer,LE1 1FZ,"£467,475.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,LEWES DC,3700287122,Grant payable by the Exchequer,BN7 1AB,"£124,023.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,LONDON BOROUGH OF REDBRIDGE,3700287091,Grant payable by the Exchequer,IG1 1NN,"£4,092,175.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,MID DEVON DC,3700287089,Grant payable by the Exchequer,EX16 6PP,"£48,009.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,NORTH DEVON DC,3700287132,Grant payable by the Exchequer,EX32 2GR,"£97,634.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,NORTH EAST LINCOLN DC,3700287115,Grant payable by the Exchequer,DN31 1HU,"£51,480.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,NORTH SOMERSET COUNCIL,3700287098,Grant payable by the Exchequer,BS23 1UJ,"£54,581.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,PORTSMOUTH CITY COUNCIL,3700287117,Grant payable by the Exchequer,PO1 2AR,"£204,275.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,ROCHDALE MBC,3700287111,Grant payable by the Exchequer,OL16 1YG,"£129,377.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,ROTHER DC,3700287127,Grant payable by the Exchequer,TN39 3JX,"£259,000.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,RUNNYMEDE BOROUGH COUNCIL,3700287103,Grant payable by the Exchequer,KT15 2AH,"£65,870.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,SOUTH GLOUCESTERSHIRE DC,3700287128,Grant payable by the Exchequer,BS15 2TR,"£212,136.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,STEVENAGE BC,3700287109,Grant payable by the Exchequer,SG1 1HN,"£99,520.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,STOCKTON-ON-TEES BC,3700287116,Grant payable by the Exchequer,TS23 2YS,"£83,488.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,STROUD DC,3700287113,Grant payable by the Exchequer,GL5 4UB,"£145,745.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,TANDRIDGE DC,3700287106,Grant payable by the Exchequer,RH8 0BT,"£225,556.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,TRAFFORD MBC,3700287133,Grant payable by the Exchequer,M32 0TH,"£242,771.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,UTTLESFORD DC,3700287105,Grant payable by the Exchequer,CB11 4ER,"£138,793.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,WATFORD COUNCIL,3700287123,Grant payable by the Exchequer,WD17 3EX,"£187,350.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,WAVERLEY BC V177,3700287108,Grant payable by the Exchequer,GU7 1HR,"£237,781.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,WEALDEN DC,3700287099,Grant payable by the Exchequer,BN22 9LN,"£173,985.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,WEST SUFFOLK DC,3700287114,Grant payable by the Exchequer,IP33 3YU,"£176,178.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,WORCESTER CITY CNCL,3700287093,Grant payable by the Exchequer,WR1 2EZ,"£39,200.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Hudswell Community Charity,2100345204,COF23 187 HUDSWELL COMMUNITY CHARITY,DL11 6BQ,"£137,960.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
