Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CHESHIRE WEST & CHESTER UA,3700287720,Grant payable by the Exchequer,CH1 2NP,"£902,083.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CHESHIRE WEST & CHESTER UA,3700287723,Grant payable by the Exchequer,CH1 2NP,"£2,271,899.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CHESHIRE WEST AND CHESTER,3700288270,Grant payable by the Exchequer,CH1 2NP,"£1,886,245.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CHESTERFIELD BC,3700288076,Grant payable by the Exchequer,S40 1LP,"£387,687.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CHICHESTER DC,3700288258,Grant payable by the Exchequer,PO19 1TY,"£509,777.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CHORLEY DC,3700287921,Grant payable by the Exchequer,PR7 1DP,"£299,481.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF LINCOLN COUNCIL,3700287835,Grant payable by the Exchequer,LN1 1DB,"£329,391.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF LONDON,3700287619,Grant payable by the Exchequer,EC2P 2EJ,"£69,948.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF LONDON,3700287649,Grant payable by the Exchequer,EC2P 2EJ,"£26,972.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF LONDON CORPORATION,3700287743,Grant payable by the Exchequer,EC2P 2EJ,"£33,712.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF LONDON CORPORATION,3700287893,Grant payable by the Exchequer,EC2P 2EJ,"£1,862,117.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF SUNDERLAND,3700287159,Grant payable by the Exchequer,SR2 7DN,"£571,586.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF SUNDERLAND,3700287491,Grant payable by the Exchequer,SR2 7DN,"£1,556,983.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF SUNDERLAND,3700287697,Grant payable by the Exchequer,SR2 7DN,"£363,811.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF SUNDERLAND,3700287713,Grant payable by the Exchequer,SR2 7DN,"£3,194,372.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CITY OF WAKEFIELD MDC,3700287754,Grant payable by the Exchequer,WF1 2QW,"£2,478,939.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CLEVELAND FIRE AUTHORITY,3700288152,Grant payable by the Exchequer,TS25 5TB,"£182,573.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CO DURHAM & DARLINGTON FIRE & RESCU,3700287967,Grant payable by the Exchequer,DH1 1TW,"£155,038.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,COLCHESTER BC,3700288276,Grant payable by the Exchequer,CO3 3WG,"£541,459.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CORNWALL COUNCIL,3700288370,Grant payable by the Exchequer,TR1 3AY,"£8,546,268.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CORNWALL UNITARY AUTHORITY,3700287304,Grant payable by the Exchequer,TR1 3AY,"£2,029,697.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CORNWALL UNITARY AUTHORITY,3700287597,Grant payable by the Exchequer,TR1 3AY,"£4,752,635.00",Yes,Local Government & Public Services,Nico Heslop
