Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,Disclosure and Barring Services,05/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,VODAFONE LTD,2891725-UK10/122023/1980-119598-49369-1-2024,59242.8
Home Office,Disclosure and Barring Services,08/01/2024,CONT OUT SERV OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891825-2952475-560478-6459333-1-2024,77512
Home Office,Disclosure and Barring Services,08/01/2024,CONT OUT SERV OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891799-2952474-560478-7712633-1-2024,92551.6
Home Office,Disclosure and Barring Services,08/01/2024,DBS DIRECT COSTS C2B,DBS - Disclosure & Barring Service,POST OFFICE LTD,2891780-1000/90066219-239462-609225-1-2024,73107
Home Office,Disclosure and Barring Services,09/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891951-GB014121866-240306-3715845-1-2024,44590.14
Home Office,Disclosure and Barring Services,09/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891725-GB014120569-240306-28656624-1-2024,343879.49
Home Office,Disclosure and Barring Services,09/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891725-GB014121902-240306-1015849-1-2024,1219018.8
Home Office,Disclosure and Barring Services,09/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,VODAFONE LTD,2891725-UK10/012024/4675-119598-1552298-1-2024,186275.76
Home Office,Disclosure and Barring Services,10/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891951-GB014122184-240306-3682687-1-2024,44192.24
Home Office,Disclosure and Barring Services,10/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891725-GB014122077-240306-8827862-1-2024,105934.34
Home Office,Disclosure and Barring Services,11/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,ORACLE CORPORATION UK LIMITED,2891725-460132300-100642-1797075-1-2024,215649
Home Office,Disclosure and Barring Services,11/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,VODAFONE LTD,2891725-UK10/122023/2030-119598-23796-1-2024,28555.2
Home Office,Disclosure and Barring Services,12/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891809-2955329A-560478-268116-1-2024,3217.39
Home Office,Disclosure and Barring Services,12/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891717-2955329A-560478-323149-1-2024,3877.79
Home Office,Disclosure and Barring Services,12/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891748-2955329A-560478-616729-1-2024,7400.75
Home Office,Disclosure and Barring Services,12/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891944-2955329A-560478-989318-1-2024,11871.81
Home Office,Disclosure and Barring Services,12/01/2024,OTHER,DBS - Disclosure & Barring Service,EPIQ SYSTEMS LTD,2891802-90811769-54047-2226387-1-2024,26716.64
Home Office,Disclosure and Barring Services,15/01/2024,LEGAL ADVICE,DBS - Disclosure & Barring Service,DLA PIPER UK LLP,2891802-9020037983-170627-2978561-1-2024,35742.73
Home Office,Disclosure and Barring Services,15/01/2024,DIRECT COSTS TICKET PRICE,DBS - Disclosure & Barring Service,HINDUJA GLOBAL SOLUTIONS UK LTD,2891780-23-1334-53040-2499571-1-2024,299948.52
Home Office,Disclosure and Barring Services,18/01/2024,DIRECT COSTS POSTAGE,DBS - Disclosure & Barring Service,SWISS POST SOLUTIONS LTD,2891780-1800021024-53641-78891049-1-2024,946692.58
Home Office,Disclosure and Barring Services,19/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891748-2959353A-560478-649245-1-2024,7790.94
Home Office,Disclosure and Barring Services,19/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891717-2959353A-560478-663485-1-2024,7961.82
Home Office,Disclosure and Barring Services,19/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891809-2959353A-560478-697755-1-2024,8373.06
Home Office,Disclosure and Barring Services,19/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891944-2959353A-560478-2124382-1-2024,25492.58
Home Office,Disclosure and Barring Services,22/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,METHODS  BUSINESS AND DIGITAL TECH LTD,2891944-SIN078584-119732-289275-1-2024,34713
Home Office,Disclosure and Barring Services,25/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891717-GB014121622-240306-3225102-1-2024,38701.22
Home Office,Disclosure and Barring Services,25/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891959-GB014121619-240306-6492001-1-2024,77904.01
Home Office,Disclosure and Barring Services,25/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891959-GB014121618-240306-27173239-1-2024,326078.87
Home Office,Disclosure and Barring Services,26/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891809-2963750A-560478-335145-1-2024,4021.74
Home Office,Disclosure and Barring Services,26/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891748-2963750A-560478-649245-1-2024,7790.94
Home Office,Disclosure and Barring Services,26/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891717-2963750A-560478-1074445-1-2024,12893.34
Home Office,Disclosure and Barring Services,26/01/2024,CONTINGENT LABOUR OTHER,DBS - Disclosure & Barring Service,ALEXANDER MANN SOLUTIONS LTD,2891944-2963750A-560478-198787-1-2024,23854.44
Home Office,Disclosure and Barring Services,26/01/2024,EXTERNAL,DBS - Disclosure & Barring Service,KPMG LLP,2891962-5502707171-120914-2176396-1-2024,26116.75
Home Office,Disclosure and Barring Services,26/01/2024,EXTERNAL,DBS - Disclosure & Barring Service,KPMG LLP,2891962-5502707173-120914-2176396-1-2024,26116.75
Home Office,Disclosure and Barring Services,29/01/2024,POLICE DISCLOSURE COSTS,DBS - Disclosure & Barring Service,NATIONAL CRIME AGENCY (NCA),2891776-DISC/NCA/P8/P9/23-343011-3106914-1-2024,31069.14
Home Office,Disclosure and Barring Services,30/01/2024,SYSTEM CLEARING,DBS - Disclosure & Barring Service,CGI IT UK LTD,2891952-GB014123062-240306-5310215-1-2024,63722.58
Home Office,Disclosure and Barring Services,30/01/2024,IT RUN COST,DBS - Disclosure & Barring Service,ENTSERV UK LTD,2891725-6134487-102438-69762746-1-2024,837152.95
