Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Consultancy,Redacted,45111,Children & Young People,Governor Learning Collaborative,500
Bury Metropolitan Borough Council,Education,AC Education Limited,45113,Children & Young People,Fostering Services,500
Bury Metropolitan Borough Council,Education,CVS Specialist Tutors,45117,Children & Young People,Independent Fees,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45138,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,Legal Services,Redacted,45121,Children & Young People,Safeguarding Team - External Legal,500
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Independent Choices,45138,Corporate Core Services,Strategic Partnerships,500
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Stanley Brothers Tippers Ltd,45135,Department of Operations,HNS Maintenance,500
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Bury East INT,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45134,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,500.14
