Auth,Proclass,Supplier,Date,Dept,Invoiced
Bury Metropolitan Borough Council,Catering,Delicious Catering (Bury) Ltd,45086,Corporate Core Services,2750
Bury Metropolitan Borough Council,Catering,Lamppost Hounds & Humans Ltd,45103,Corporate Core Services,2850
Bury Metropolitan Borough Council,Catering,Olives Kitchen (Bury) Ltd,45079,Corporate Core Services,912.5
Bury Metropolitan Borough Council,Catering,Brakes Bros Foodservice Ltd,45086,Department of Operations,536.2
Bury Metropolitan Borough Council,Catering,Brakes Bros Foodservice Ltd,45086,Department of Operations,551.96
Bury Metropolitan Borough Council,Catering,Brakes Bros Foodservice Ltd,45086,Department of Operations,649.71
Bury Metropolitan Borough Council,Catering,Brakes Bros Foodservice Ltd,45086,Department of Operations,11184.12
Bury Metropolitan Borough Council,Catering,J W Young (Butchers) Limited,45086,Department of Operations,500.48
Bury Metropolitan Borough Council,Catering,J W Young (Butchers) Limited,45086,Department of Operations,2471.25
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45091,Department of Operations,503.78
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45085,Department of Operations,510.15
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45104,Department of Operations,581.86
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45085,Department of Operations,638.54
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45085,Department of Operations,663.29
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45104,Department of Operations,684.8
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45104,Department of Operations,734.17
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45104,Department of Operations,928.76
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45091,Department of Operations,1204.36
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45086,Department of Operations,10970.66
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45086,Department of Operations,591.18
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45082,Department of Operations,591.18
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45104,Department of Operations,613.12
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45104,Department of Operations,620.64
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45080,Department of Operations,634.39
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45079,Department of Operations,715.55
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45079,Department of Operations,726.66
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45086,Department of Operations,785.17
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45104,Department of Operations,809.29
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45104,Department of Operations,827.31
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45082,Department of Operations,841.99
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45086,Department of Operations,869.7
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45079,Department of Operations,1014.57
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45086,Department of Operations,533.01
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45082,Department of Operations,536.29
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45079,Department of Operations,558.86
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45079,Department of Operations,624.72
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45104,Department of Operations,718.64
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45079,Department of Operations,751.48
Bury Metropolitan Borough Council,Catering,"Cosalea Brandlesholme, Turnaround Together Limited",45099,Health and Adult Care (formerly OCO),1185
Bury Metropolitan Borough Council,Catering,"Cosalea Brandlesholme, Turnaround Together Limited",45085,Health and Adult Care (formerly OCO),1316.25
Bury Metropolitan Borough Council,Catering,Delicious Catering (Bury) Ltd,45085,Health and Adult Care (formerly OCO),607.5
Bury Metropolitan Borough Council,Cleaning and Janitorial,JMS Cleaning Services (UK) Ltd,45093,"Business, Growth & Infrastructure",1056.25
Bury Metropolitan Borough Council,Cleaning and Janitorial,Shorrock Trichem Ltd,45098,"Business, Growth & Infrastructure",1463.28
Bury Metropolitan Borough Council,Cleaning and Janitorial,PHS Group plc,45082,Corporate Core Services,891.1
Bury Metropolitan Borough Council,Cleaning and Janitorial,Alliance Disposables Ltd,45096,Department of Operations,755.92
Bury Metropolitan Borough Council,Cleaning and Janitorial,Alliance Disposables Ltd,45098,Department of Operations,4922.5
Bury Metropolitan Borough Council,Cleaning and Janitorial,D H Complete Cleaning Contractors,45100,Department of Operations,768
Bury Metropolitan Borough Council,Cleaning and Janitorial,Moston Janitorial Supplies Ltd,45082,Department of Operations,586.96
Bury Metropolitan Borough Council,Cleaning and Janitorial,Moston Janitorial Supplies Ltd,45082,Department of Operations,586.96
Bury Metropolitan Borough Council,Cleaning and Janitorial,PHS Group plc,45082,Department of Operations,617.91
Bury Metropolitan Borough Council,Cleaning and Janitorial,The Drainage Group Ltd,45104,Department of Operations,1595
Bury Metropolitan Borough Council,Cleaning and Janitorial,Champion Cleaning Services Ltd T/A Associated Cleaning Contractors,45083,Health and Adult Care (formerly OCO),510
Bury Metropolitan Borough Council,Cleaning and Janitorial,D H Complete Cleaning Contractors,45104,Health and Adult Care (formerly OCO),761
Bury Metropolitan Borough Council,Cleaning and Janitorial,D H Complete Cleaning Contractors,45098,Health and Adult Care (formerly OCO),886
Bury Metropolitan Borough Council,Consultancy,Campbell Reith Hill LLP,45099,"Business, Growth & Infrastructure",5970
Bury Metropolitan Borough Council,Consultancy,Campbell Reith Hill LLP,45099,"Business, Growth & Infrastructure",7880
Bury Metropolitan Borough Council,Consultancy,Carter Jonas LLP,45082,"Business, Growth & Infrastructure",2500
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,"Business, Growth & Infrastructure",558.02
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45093,"Business, Growth & Infrastructure",776.27
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,"Business, Growth & Infrastructure",787.5
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45093,"Business, Growth & Infrastructure",2881.58
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45092,"Business, Growth & Infrastructure",3603.36
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45090,"Business, Growth & Infrastructure",4460.53
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45093,"Business, Growth & Infrastructure",4947.37
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45093,"Business, Growth & Infrastructure",5263.16
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,"Business, Growth & Infrastructure",7256.25
Bury Metropolitan Borough Council,Consultancy,Focus Consultants 2010 LLP,45093,"Business, Growth & Infrastructure",79302
Bury Metropolitan Borough Council,Consultancy,Hive Land & Planning Ltd,45089,"Business, Growth & Infrastructure",9600
Bury Metropolitan Borough Council,Consultancy,Nolan Redshaw Limited,45078,"Business, Growth & Infrastructure",2000
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,Children & Young People,590
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45089,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45105,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,595.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,Children & Young People,892.5
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45096,Children & Young People,1190
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45097,Children & Young People,1785.01
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45079,Children & Young People,104964.59
Bury Metropolitan Borough Council,Consultancy,Craig Ormerod Associates Ltd,45096,Children & Young People,765
Bury Metropolitan Borough Council,Consultancy,Craig Ormerod Associates Ltd,45078,Children & Young People,2280
Bury Metropolitan Borough Council,Consultancy,Hope-Borland Associates Ltd,45106,Children & Young People,748.8
Bury Metropolitan Borough Council,Consultancy,Human 1st Limited,45083,Children & Young People,7247.5
Bury Metropolitan Borough Council,Consultancy,Human 1st Limited,45083,Children & Young People,7747.5
Bury Metropolitan Borough Council,Consultancy,Linda Clegg Consulting Ltd,45092,Children & Young People,750
Bury Metropolitan Borough Council,Consultancy,Panoramic Associates Limited,45090,Children & Young People,1920
Bury Metropolitan Borough Council,Consultancy,Panoramic Associates Limited,45089,Children & Young People,2400
Bury Metropolitan Borough Council,Consultancy,Panoramic Associates Limited,45083,Children & Young People,2400
Bury Metropolitan Borough Council,Consultancy,Panoramic Associates Limited,45096,Children & Young People,2400
Bury Metropolitan Borough Council,Consultancy,Panoramic Associates Limited,45082,Children & Young People,2400
Bury Metropolitan Borough Council,Consultancy,Panoramic Associates Limited,45106,Children & Young People,2400
Bury Metropolitan Borough Council,Consultancy,Redacted,45107,Children & Young People,1122.1
Bury Metropolitan Borough Council,Consultancy,Redacted,45086,Children & Young People,1350
Bury Metropolitan Borough Council,Consultancy,Redacted,45082,Children & Young People,2750
Bury Metropolitan Borough Council,Consultancy,Redacted,45096,Children & Young People,3575
