Auth,Proclass,Supplier,Date,Dept,Invoiced
Bury Metropolitan Borough Council,Education,Grange School,45084,Children & Young People,3916.67
Bury Metropolitan Borough Council,Education,Grange School,45084,Children & Young People,3916.67
Bury Metropolitan Borough Council,Education,Haslingden High School,45107,Children & Young People,1668
Bury Metropolitan Borough Council,Education,Helix Psychology,45104,Children & Young People,6000
Bury Metropolitan Borough Council,Education,Hollinwood Academy,45084,Children & Young People,2279.17
Bury Metropolitan Borough Council,Education,Hollinwood Academy,45083,Children & Young People,3886.67
Bury Metropolitan Borough Council,Education,Hollinwood Academy,45083,Children & Young People,3886.67
Bury Metropolitan Borough Council,Education,Hollinwood Academy,45083,Children & Young People,3886.67
Bury Metropolitan Borough Council,Education,Hollinwood Academy,45084,Children & Young People,6166
Bury Metropolitan Borough Council,Education,Hollinwood Academy,45084,Children & Young People,6166
Bury Metropolitan Borough Council,Education,Hollinwood Academy,45083,Children & Young People,12749.58
Bury Metropolitan Borough Council,Education,Hopwood Hall College,45086,Children & Young People,10968.59
Bury Metropolitan Borough Council,Education,Kedleston (High Peak School) Limited,45079,Children & Young People,1120
Bury Metropolitan Borough Council,Education,Kedleston (High Peak School) Limited,45092,Children & Young People,2660
Bury Metropolitan Borough Council,Education,Kedleston (High Peak School) Limited,45092,Children & Young People,4517
Bury Metropolitan Borough Council,Education,Kedleston (High Peak School) Limited,45092,Children & Young People,15417
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,1300
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45079,Children & Young People,2990
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,6911.7
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,13098.8
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,14861.4
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,14861.4
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,14861.4
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,14861.4
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,15666.67
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16115.04
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16288.32
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16288.32
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45082,Children & Young People,16288.32
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45098,Children & Young People,16442.4
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16442.4
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16442.4
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16461.6
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16461.6
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16461.6
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16619.2
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,16619.2
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,17328
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,17328
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,17328
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,17635.67
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,17635.67
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,17635.67
Bury Metropolitan Borough Council,Education,Kedleston (Mill School) Ltd,45078,Children & Young People,17635.67
