Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Medical,Alpha Biolaboratories Legal Ltd,45240,Children & Young People,Safeguarding Team - External Legal,500
Bury Metropolitan Borough Council,Leisure Services,Fairways Lodge & Leisure Club,45253,"Business, Growth & Infrastructure",Homelessness & Housing Needs Teams,500
Bury Metropolitan Borough Council,Medical,JSA Psychotherapy Ltd,45237,Children & Young People,Safeguarding Teams,500
Bury Metropolitan Borough Council,Medical,JSA Psychotherapy Ltd,45252,Children & Young People,Safeguarding Teams,500
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Stanley Brothers Tippers Ltd,45239,Department of Operations,HNS Maintenance,500
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Stanley Brothers Tippers Ltd,45232,Department of Operations,HNS Maintenance,500
Bury Metropolitan Borough Council,Facilities and Management Services,Bexan Limited,45255,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,500.25
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Angel Care Services UK,45246,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,500.64
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,501.08
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45233,Department of Operations,Catering High,501.81
Bury Metropolitan Borough Council,Leisure Services,Fairways Lodge & Leisure Club,45253,"Business, Growth & Infrastructure",Homeless Prevention & RSI,502.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Rapid Response,502.54
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Clarity Homecare (Bury) Ltd,45246,Health and Adult Care (formerly OCO),Community Care - North INT,502.94
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Complete Care NW Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,503.75
Bury Metropolitan Borough Council,Transport,VanArtVan,45246,Department of Operations,Gallery and Museum,505
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45239,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45239,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45239,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45239,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45239,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,I Care GB Limited,45246,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,507.38
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Specialist Care Team Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,508.18
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Specialist Care Team Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,508.99
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Bury East INT,509.39
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Bury East INT,509.8
Bury Metropolitan Borough Council,Cleaning and Janitorial,Champion Cleaning Services Ltd T/A Associated Cleaning Contractors,45251,Health and Adult Care (formerly OCO),SHELTERED HOUSING GENERAL,510
Bury Metropolitan Borough Council,Stationery,Newsquest Media Group Ltd,45231,Department of Operations,Traffic Management Works account,510.51
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Next Chapter Healthcare Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,511.29
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Abbeyfield Society - Downing House,45238,Health and Adult Care (formerly OCO),Community Care - North INT,511.32
Bury Metropolitan Borough Council,Utilities (not telephones - see - ICT),Water Plus Ltd,45233,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,511.54
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Angel Care Services UK,45246,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,511.57
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Specialist Care Team Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,511.81
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,511.85
Bury Metropolitan Borough Council,Medical,Grace Specialist HealthCare Limited,45238,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,512.4
Bury Metropolitan Borough Council,Medical,Grace Specialist HealthCare Limited,45238,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,512.4
Bury Metropolitan Borough Council,Medical,Grace Specialist HealthCare Limited,45238,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,512.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Angel Care Services UK,45246,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,513.62
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Engage Care Services,45246,Health and Adult Care (formerly OCO),Community Care - Bury West INT,516.69
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45247,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,516.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Bury West INT,516.97
Bury Metropolitan Borough Council,Stationery,Newsquest Media Group Ltd,45251,Department of Operations,Traffic Management Works account,518.1
Bury Metropolitan Borough Council,Utilities (not telephones - see - ICT),NPower Ltd,45232,Department of Operations,Whitaker Street,518.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Care Connect Bury Ltd T/A Care Connect,45246,Health and Adult Care (formerly OCO),Community Care - Bury West INT,519.47
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Nottingham Rehab Ltd,45253,Health and Adult Care (formerly OCO),Integrated Community Equipment Service (ICES),519.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Nottingham Rehab Ltd,45240,Health and Adult Care (formerly OCO),Integrated Community Equipment Service (ICES),519.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Homecare Services Bury,45237,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,519.87
Bury Metropolitan Borough Council,Building Construction Materials and Services,RMD Building Maintenance,45258,"Business, Growth & Infrastructure",Lettings - Offices Tenancies,520
Bury Metropolitan Borough Council,Utilities (not telephones - see - ICT),NPower Ltd,45232,Department of Operations,Whitaker Street,520.06
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45239,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,521.52
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Angel Care Services UK,45246,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,521.81
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Angel Care Services UK,45246,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,521.81
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Care4us Health Care Limited,45246,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,521.81
Bury Metropolitan Borough Council,Transport,Magnum Whiteline Ltd,45231,Children & Young People,Safeguarding Teams,524
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Angel Care Services UK,45246,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,524.54
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Specialist Care Team Ltd,45246,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,524.71
Bury Metropolitan Borough Council,Consultancy,Farashkam Ltd,45259,Health and Adult Care (formerly OCO),Strategic Safeguarding Team,525
Bury Metropolitan Borough Council,Consultancy,Hanzak Ltd,45260,Health and Adult Care (formerly OCO),Local Reform & Community Voices Grant,525
Bury Metropolitan Borough Council,Consultancy,Hanzak Ltd,45252,Health and Adult Care (formerly OCO),Local Reform & Community Voices Grant,525
Bury Metropolitan Borough Council,Transport,Smart Platforms Rental Ltd,45244,Department of Operations,Transport Fleet Management,525
Bury Metropolitan Borough Council,Transport,Smart Platforms Rental Ltd,45260,Department of Operations,Transport Fleet Management,525
Bury Metropolitan Borough Council,Transport,Smart Platforms Rental Ltd,45232,Department of Operations,Transport Fleet Management,525
Bury Metropolitan Borough Council,Transport,Smart Platforms Rental Ltd,45246,Department of Operations,Transport Fleet Management,525
Bury Metropolitan Borough Council,Transport,Smart Platforms Rental Ltd,45253,Department of Operations,Transport Fleet Management,525
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Homecare Services Bury,45245,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,525.92
Bury Metropolitan Borough Council,Consultancy,Living Wage Foundation,45236,Corporate Core Services,Corp. People Services Snr Mgmt & Support Team,528
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Homecare Services Bury,45245,Health and Adult Care (formerly OCO),Community Care - North INT,528.33
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45238,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,528.8
Bury Metropolitan Borough Council,Transport,Redacted,45247,Children & Young People,Home to School Transport SEN,529.1
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),LDM Contracting Services Ltd,45231,Department of Operations,Grounds Maintenance,530
