Auth,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45267,Department of Operations,Castle Leisure Centre,27096.67
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45267,Department of Operations,Libraries,881.46
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45267,Department of Operations,Libraries,1389.48
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45267,Department of Operations,Gallery and Museum,1389.47
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45267,Department of Operations,Libraries,653.55
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45274,Department of Operations,Grounds Maintenance,1548.44
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45267,Department of Operations,Libraries,2139.54
Bury Metropolitan Borough Council,Utilities,Corona Energy Retail 4 Limited,45267,Department of Operations,Libraries,1640.07
Bury Metropolitan Borough Council,Catering,"Cosalea Brandlesholme, Turnaround Together Limited",45274,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,937.5
Bury Metropolitan Borough Council,Catering,"Cosalea Brandlesholme, Turnaround Together Limited",45272,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,864.5
Bury Metropolitan Borough Council,Catering,"Cosalea Brandlesholme, Turnaround Together Limited",45281,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,808.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Coveleaf Ltd (Hope Manor Residential Home Salford),45266,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2583
Bury Metropolitan Borough Council,Facilities and Management Services,CPGM Healthcare Limited (CHL),45274,Health and Adult Care (formerly OCO),Substance Misuse,2901.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Craigneil Residential Road,45266,Health and Adult Care (formerly OCO),Community Care - North INT,3037.36
Bury Metropolitan Borough Council,Health Care,Crawshaw Hall Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2435.76
Bury Metropolitan Borough Council,Health Care,Crawshaw Hall Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,6830.88
Bury Metropolitan Borough Council,Health Care,Crawshaw Hall Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2905
Bury Metropolitan Borough Council,Health Care,Crawshaw Hall Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,10277.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,1948.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,3241.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Bury West INT,1749.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,1669.92
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,596.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1749.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,1894.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,1192.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2678.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,8906.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,516.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,1351.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2783.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,892.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,1351.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,3241.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2783.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,892.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4848.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4848.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4329.32
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,9697.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,9697.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,8658.57
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3463.46
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,636.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1622.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1622.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,9697.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2641.72
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,521.52
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4848.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4848.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4848.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,9697.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,8658.57
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4648.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4648.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,1162.22
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2783.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,892.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1510.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,9697.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,9697.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,1349.67
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,1192.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,735.56
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,1192.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2465.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,954.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2221.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,834.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,834.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,3339.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2791.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,1339.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2147.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,994
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,1828.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,4453.92
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,1339.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2791.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,1339.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,4453.92
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,1339.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1861.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1622.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2226.56
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1828.96
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45275,Corporate Core Finance,Revenues billing & Recovery,1450.34
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45275,Corporate Core Finance,Benefits,1450.34
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45281,Corporate Core Finance,Benefits,818.25
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45281,Corporate Core Finance,Revenues billing & Recovery,818.25
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45266,Corporate Core Finance,Benefits,848.57
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45266,Corporate Core Finance,Revenues billing & Recovery,848.57
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45274,Children & Young People,DFE Individual Grants,772.16
Bury Metropolitan Borough Council,Mail Services,Critiqom Ltd,45274,Children & Young People,DFE Individual Grants,2446.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Crown Care Homes Limited,45266,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2750.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Cuerden Estates Ltd T/A Cuerden Grange Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Bury East INT,11400
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25364.67
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,29494.71
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45282,Children & Young People,Independent Fees,22606.56
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45282,Children & Young People,Independent Fees,4330.44
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45280,Children & Young People,Independent Fees,25678.89
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45280,Children & Young People,Independent Fees,24157
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45280,Children & Young People,Independent Fees,24435.18
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45280,Children & Young People,Independent Fees,24435.18
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45280,Children & Young People,Independent Fees,24435.18
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25365
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,27854.33
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25678.89
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25365
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,27854
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25364.67
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25678.89
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45280,Children & Young People,Independent Fees,24435.18
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45268,Children & Young People,Home to School Transport SEN,5632.2
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,26528
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,26528
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,28199.26
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25678.89
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,22163.55
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25678.89
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25678.89
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,27854.33
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,23213.42
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,28199.26
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,29494.71
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,27854
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,24157
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45268,Children & Young People,Home to School Transport SEN,5991.52
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45268,Children & Young People,Home to School Transport SEN,6922.05
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,26962.64
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,21107.99
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45272,Children & Young People,Independent Fees,25678.89
Bury Metropolitan Borough Council,Human Resources,Cyclescheme Ltd,45264,Corporate Core Services,HR Business Management Team,3840.83
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Draxeda Construction,45280,Department of Operations,Grounds Maintenance,4510
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Draxeda Construction,45273,Department of Operations,Bridges,600
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Draxeda Construction,45268,Department of Operations,Grounds Maintenance,1200
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Draxeda Construction,45273,Department of Operations,Grounds Maintenance,2820
Bury Metropolitan Borough Council,Building Construction Materials and Services,DJ Electrical,45275,Department of Operations,Castle Leisure Centre,4553.75
Bury Metropolitan Borough Council,Building Construction Materials and Services,Bury Property Solutions,45265,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,550
Bury Metropolitan Borough Council,Vehicles Management,Das-Automotive (Northwest) Ltd,45264,Department of Operations,Transport Fleet Management,701.25
Bury Metropolitan Borough Council,Vehicles Management,Das-Automotive (Northwest) Ltd,45278,Department of Operations,Transport Fleet Management,2469.75
Bury Metropolitan Borough Council,Vehicles Management,Das-Automotive (Northwest) Ltd,45281,Department of Operations,Transport Fleet Management,751
Bury Metropolitan Borough Council,Vehicles Management,Dawsongroup Sweepers Ltd,45268,Department of Operations,Transport Fleet Management,2520.25
Bury Metropolitan Borough Council,Vehicles Management,Dawsongroup Sweepers Ltd,45268,Department of Operations,Transport Fleet Management,2520.24
Bury Metropolitan Borough Council,Vehicles Management,Dawsongroup Sweepers Ltd,45268,Department of Operations,Transport Fleet Management,2520.25
Bury Metropolitan Borough Council,Vehicles Management,Dawsongroup Sweepers Ltd,45268,Department of Operations,Transport Fleet Management,2520.25
Bury Metropolitan Borough Council,Vehicles Management,Dawsongroup Sweepers Ltd,45273,Department of Operations,Transport Fleet Management,794.57
Bury Metropolitan Borough Council,Vehicles Management,Dawsongroup Sweepers Ltd,45273,Department of Operations,Transport Fleet Management,585.59
Bury Metropolitan Borough Council,Vehicles Management,Dawsongroup Sweepers Ltd,45273,Department of Operations,Transport Fleet Management,608.73
Bury Metropolitan Borough Council,Passenger Transport,Defensive Driver Training Limited,45281,Department of Operations,Transport Fleet Management,730
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,1113.28
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,632.7
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Denehurst Care ltd T/A Browfield Residential Home,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Dentak Care and Services Ltd t/a The Riverside Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2900
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Department For Work and Pensions,45266,Children & Young People,Early Help - Locality Teams,577.1
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Dept For Work & Pensions,45282,Corporate Core Finance,Insurance expenses,967
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,DHCH14 Pennine View,45266,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2110.6
Bury Metropolitan Borough Council,Education,Digital Advantage,45261,Children & Young People,Post - 16 Commissioned Place,15504
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Drive Devilbiss Healthcare Ltd,45282,Health and Adult Care (formerly OCO),Integrated Community Equipment Service (ICES),1481.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Drive Devilbiss Healthcare Ltd,45280,Health and Adult Care (formerly OCO),Integrated Community Equipment Service (ICES),1481.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Drive Devilbiss Healthcare Ltd,45279,Health and Adult Care (formerly OCO),Integrated Community Equipment Service (ICES),864.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Drive Devilbiss Healthcare Ltd,45279,Health and Adult Care (formerly OCO),Integrated Community Equipment Service (ICES),1391
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),E&M Property Solutions Ltd,45273,"Business, Growth & Infrastructure",Homelessness & Housing Needs Teams,690
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),E&M Property Solutions Ltd,45281,"Business, Growth & Infrastructure",Homeless Prevention & RSI,776.67
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),E&M Property Solutions Ltd,45281,"Business, Growth & Infrastructure",Homeless Prevention & RSI,1536.69
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),E&M Property Solutions Ltd,45281,"Business, Growth & Infrastructure",Homeless Prevention & RSI,1083.67
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Early Break,45278,Children & Young People,Safeguarding Teams,60083
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,East & West Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2184
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,East & West Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2184
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,East & West Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,4248
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,East & West Healthcare Ltd,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3376.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2583
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,1291.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2583
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2583
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2583
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,1291.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2583
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ecclesholme Care Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2583
Bury Metropolitan Borough Council,Vehicles Management,Econ Engineering Limited,45281,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Vehicles Management,Econ Engineering Limited,45281,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Vehicles Management,Econ Engineering Limited,45281,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Vehicles Management,Econ Engineering Limited,45281,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Vehicles Management,Econ Engineering Limited,45281,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Education,Edstart Specialist Education Ltd,45282,Children & Young People,Independent Fees,6180
Bury Metropolitan Borough Council,Education,Edstart Specialist Education Ltd,45282,Children & Young People,Independent Fees,11000
