Auth,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,1898.1
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,813.46
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,1898.1
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45266,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Accomplish Group Lifestyles Limited,45268,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,18742.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Accomplish Group Lifestyles Limited,45266,Health and Adult Care (formerly OCO),Community Care - Bury West INT,1310.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Accomplish Group Lifestyles Limited,45266,Health and Adult Care (formerly OCO),Community Care - Bury West INT,8620.96
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,12038.37
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,23373
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,16729.63
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,22333.33
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,23373
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,18652.47
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45280,Children & Young People,Independent Fees,24373.33
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,11523.63
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,21666.67
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,13537.26
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,25835.73
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,24373.33
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,16729.63
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,25000
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,12844.66
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,11853.59
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,11179.34
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,21111.67
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,21411.63
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,25833.33
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45282,Children & Young People,Independent Fees,11523.63
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Adlington Manor,45266,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,5200
Bury Metropolitan Borough Council,Legal Services,Redacted,45281,Health and Adult Care (formerly OCO),A C S SENIOR MANAGEMENT,820
Bury Metropolitan Borough Council,Housing Management,Adullam Homes Housing Association,45265,"Business, Growth & Infrastructure",Homeless Prevention & RSI,16666.67
Bury Metropolitan Borough Council,Housing Management,Adullam Homes Housing Association,45265,"Business, Growth & Infrastructure",Homeless Prevention & RSI,16666.67
Bury Metropolitan Borough Council,Education,Advance Occupational Therapy Ltd,45271,Children & Young People,Independent Fees,1653.1
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45266,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3018.44
