Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Swiis Foster Care Ltd,45294,Children & Young People,Independent Foster Agency,4109.48
Bury Metropolitan Borough Council,Education,T´Mimei Lev School,45294,Children & Young People,Independent Fees,8833.33
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Tameside MBC,45296,Department of Operations,Trading Standards holding account,3287
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Tameside MBC,45316,Health and Adult Care (formerly OCO),A C S SENIOR MANAGEMENT,60000
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Tameside MBC,45317,Health and Adult Care (formerly OCO),A C S SENIOR MANAGEMENT,5500
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45303,Children & Young People,Home/Hospital Tuition,1105
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45303,Children & Young People,Home/Hospital Tuition,2340
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45303,Children & Young People,Home/Hospital Tuition,1105
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45309,Children & Young People,Home/Hospital Tuition,2747.5
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45309,Children & Young People,Home/Hospital Tuition,1235
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45309,Children & Young People,Home/Hospital Tuition,2746.25
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45313,Children & Young People,Home/Hospital Tuition,1300
