Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45294,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,1732.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2584.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,1732.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2467.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Salvation Army,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2584.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Spinney - Part of The Priory Group,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,25086.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Spinney - Part of The Priory Group,45322,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,25086.04
Bury Metropolitan Borough Council,Art & Leisure Services,"The Sport, Leisure & Culture Consultancy Ltd",45300,Department of Operations,Castle Leisure Centre,13750
Bury Metropolitan Borough Council,Education,The Sunnywood Project Ltd,45300,Health and Adult Care (formerly OCO),Public Health,1950
Bury Metropolitan Borough Council,Education,The Sunnywood Project Ltd,45302,Health and Adult Care (formerly OCO),Public Health,12000
Bury Metropolitan Borough Council,Education,The Sunnywood Project Ltd,45322,Corporate Core Services,Strategic Partnerships,2000
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Together Trust Ltd,45309,Children & Young People,Independent Foster Agency,4207.01
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Thomas Owen Care Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2500
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Thomas Owen Care Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2500
Bury Metropolitan Borough Council,Consultancy,Thomason Partnership Limited t/a Thomasons,45294,Department of Operations,Architects,2291.4
Bury Metropolitan Borough Council,Environmental Services,Thompson Tree Services (UK) Ltd,45294,Department of Operations,Grounds Maintenance,8443.7
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Thompsons Academy Ltd,45314,Children & Young People,Independent Fees,2909.09
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Thompsons Academy Ltd,45320,Children & Young People,Independent Fees,1225
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Three Circles Fostering Ltd,45309,Children & Young People,Independent Foster Agency,3677.57
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45315,Department of Operations,Catering High,736.29
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45315,Department of Operations,Catering High,751.7
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45315,Department of Operations,Catering High,820.85
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45315,Department of Operations,Catering High,995.49
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45315,Department of Operations,Catering High,995.49
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45315,Department of Operations,Catering High,995.49
