Auth,Proclass,Supplier,Date,Dept,Cost,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45217,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,1502.79
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45217,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3282.84
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45205,Children & Young People,Safeguarding Team - External Legal,1300
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45208,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,3320
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,770
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,2025
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,830
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,1310
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,950
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45209,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45210,Children & Young People,Safeguarding Team - External Legal,770
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45211,Children & Young People,Safeguarding Team - External Legal,830
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45211,Children & Young People,Safeguarding Team - External Legal,890
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45211,Children & Young People,Safeguarding Team - External Legal,2140
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45212,Children & Young People,Safeguarding Team - External Legal,3530
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45215,Children & Young People,Safeguarding Team - External Legal,800
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45217,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45225,Children & Young People,Safeguarding Team - External Legal,830
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45225,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45212,Health and Adult Care (formerly OCO),Community Care - North INT,4365.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45212,Health and Adult Care (formerly OCO),Community Care - North INT,4365.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45212,Health and Adult Care (formerly OCO),Community Care - North INT,1502.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,4 Pure Heart Limited,45202,Children & Young People,Childrens Residential,21428.57
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,4 Pure Heart Limited,45202,Children & Young People,Childrens Residential,21428.57
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45209,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45209,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45211,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45211,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45210,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
