Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,ICT,Chrystal Consulting Ltd,45065,Department of Operations,Transport Fleet Management,500
Bury Metropolitan Borough Council,Legal Services,Dedacted,45076,Children & Young People,Safeguarding Team - External Legal,500
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Dedacted,45068,Children & Young People,Youth Service,500
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45056,One Commissioning Organisation,Community Care - Bury East INT,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45056,One Commissioning Organisation,Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45056,One Commissioning Organisation,Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45056,One Commissioning Organisation,Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45056,One Commissioning Organisation,Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45056,One Commissioning Organisation,Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Routes Healthcare (North) Ltd,45056,One Commissioning Organisation,Community Care - Reviewing Team,500.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Complete Care NW Ltd,45077,One Commissioning Organisation,Community Care - North INT,500.15
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Premier Care Limited,45056,One Commissioning Organisation,Community Care - Bury East INT,500.3
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),PRE Electrical Solutions Ltd,45051,Department of Operations,Libraries,501.54
Bury Metropolitan Borough Council,Stationery,Newsquest Media Group Ltd,45058,Department of Operations,Traffic Management Works account,501.67
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Complete Care NW Ltd,45077,One Commissioning Organisation,Community Care - North INT,502.25
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Complete Care NW Ltd,45077,One Commissioning Organisation,Community Care - North INT,503.3
Bury Metropolitan Borough Council,Facilities and Management Services,Chubb Fire & Security Ltd,45055,Housing Revenue Account,Special Services,503.43
Bury Metropolitan Borough Council,ICT,ParentPay Ltd T/A Cypad,45077,Department of Operations,Catering Primary,503.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Engage Care Services,45077,One Commissioning Organisation,Community Care - North INT,504.05
Bury Metropolitan Borough Council,Transport,Defensive Driver Training Limited,45058,Department of Operations,Transport Fleet Management,505
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45070,One Commissioning Organisation,Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45070,One Commissioning Organisation,Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45070,One Commissioning Organisation,Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45070,One Commissioning Organisation,Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45070,One Commissioning Organisation,Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45070,One Commissioning Organisation,Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45070,One Commissioning Organisation,Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Homecare Services Bury,45077,One Commissioning Organisation,Community Care - North INT,506.17
