Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Building Construction Materials and Services,ABM (Lancashire) Limited,45040,Department of Operations,"3, Knowsley Place",
Bury Metropolitan Borough Council,Building Construction Materials and Services,ABM (Lancashire) Limited,45028,Department of Operations,Architects,1303
Bury Metropolitan Borough Council,Building Construction Materials and Services,Altitude Services Limited,45019,Department of Operations,Rechargeable works AN 813 + 815,862.46
Bury Metropolitan Borough Council,Building Construction Materials and Services,Altitude Services Limited,45019,Department of Operations,Rechargeable works AN 813 + 815,875.54
Bury Metropolitan Borough Council,Building Construction Materials and Services,Arley Cabinet Co Ltd,45041,Department of Operations,Architects,1234
Bury Metropolitan Borough Council,Building Construction Materials and Services,Buckhurst Plant Hire Ltd,45027,Department of Operations,Transport Fleet Management,1421.4
Bury Metropolitan Borough Council,Building Construction Materials and Services,DJ Electrical,45036,Department of Operations,Ramsbottom,690
Bury Metropolitan Borough Council,Building Construction Materials and Services,Gary Schofield,45019,Housing Revenue Account,General Management,648
Bury Metropolitan Borough Council,Building Construction Materials and Services,GM Instruments Ltd,45028,One Commissioning Organisation,Assessment & Care Management Tier 2,5310.5
Bury Metropolitan Borough Council,Building Construction Materials and Services,N&P Painting Contractors Ltd,45042,Department of Operations,Grounds Maintenance,1500
Bury Metropolitan Borough Council,Building Construction Materials and Services,N&P Painting Contractors Ltd,45042,Department of Operations,Grounds Maintenance,3000
Bury Metropolitan Borough Council,Building Construction Materials and Services,N&P Painting Contractors Ltd,45042,Department of Operations,Grounds Maintenance,900
Bury Metropolitan Borough Council,Building Construction Materials and Services,N&P Painting Contractors Ltd,45042,Department of Operations,Grounds Maintenance,600
Bury Metropolitan Borough Council,Building Construction Materials and Services,N&P Painting Contractors Ltd,45035,Department of Operations,Parks Section 106,1150
Bury Metropolitan Borough Council,Building Construction Materials and Services,PPL PRS Ltd,45041,Department of Operations,Bury Market,4406.94
Bury Metropolitan Borough Council,Building Construction Materials and Services,RMD Building Maintenance,45033,"Business, Growth & Infrastructure",Lettings - Industrial Units,4750
Bury Metropolitan Borough Council,Building Construction Materials and Services,RMD Building Maintenance,45033,"Business, Growth & Infrastructure",Lettings - Industrial Units,5300
Bury Metropolitan Borough Council,Building Construction Materials and Services,RMD Building Maintenance,45040,"Business, Growth & Infrastructure",Capital Receipts Generation,696
Bury Metropolitan Borough Council,Building Construction Materials and Services,RMD Building Maintenance,45035,"Business, Growth & Infrastructure",Lettings - Managed Workspace,1100
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45043,Department of Operations,HNS Maintenance,1411.22
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45029,Department of Operations,HNS Maintenance,1413.56
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45029,Department of Operations,HNS Maintenance,1642.15
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45029,Department of Operations,HNS Maintenance,1639.82
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45029,Department of Operations,HNS Maintenance,1292.26
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45043,Department of Operations,HNS Maintenance,1800.77
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45043,Department of Operations,HNS Maintenance,1691.13
Bury Metropolitan Borough Council,Building Construction Materials and Services,Tarmac Trading Ltd,45043,Department of Operations,HNS Maintenance,816.41
Bury Metropolitan Borough Council,Building Construction Materials and Services,Vidius Productions Limited,45037,Corporate Core Services,Member Expenses,2300
Bury Metropolitan Borough Council,Building Construction Materials and Services,Vidius Productions Limited,45040,Corporate Core Services,Municipal Elections,10400
Bury Metropolitan Borough Council,Building Construction Materials and Services,Vivid Resourcing,45022,Corporate Core Services,Administration,618.75
Bury Metropolitan Borough Council,Building Construction Materials and Services,Vivid Resourcing,45034,Corporate Core Finance,Accountancy,1508.47
Bury Metropolitan Borough Council,Building Construction Materials and Services,Vivid Resourcing,45033,Corporate Core Finance,Accountancy,2182.46
Bury Metropolitan Borough Council,Building Construction Materials and Services,Vivid Resourcing,45019,Corporate Core Services,Administration,1332
Bury Metropolitan Borough Council,Building Construction Materials and Services,Vivid Resourcing,45030,Corporate Core Services,Administration,2484
Bury Metropolitan Borough Council,Building Construction Materials and Services,Waterman Aspen Ltd,45036,Department of Operations,Traffic Management Holding Account,2752
Bury Metropolitan Borough Council,Building Construction Materials and Services,Waterman Aspen Ltd,45036,Department of Operations,Traffic Management Holding Account,1184
Bury Metropolitan Borough Council,Building Construction Materials and Services,Waterman Aspen Ltd,45034,Department of Operations,Traffic Management Holding Account,4144
Bury Metropolitan Borough Council,Building Construction Materials and Services,Waterman Aspen Ltd,45022,Department of Operations,Traffic Management Holding Account,2408
Bury Metropolitan Borough Council,Building Construction Materials and Services,Waterman Aspen Ltd,45043,Department of Operations,Traffic Management Holding Account,5624
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,825.1
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,726.06
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,765.26
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,1002.69
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,953.12
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,808.58
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,924.2
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,717.2
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,801.53
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,879.46
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,549.32
Bury Metropolitan Borough Council,Catering,Apetito Ltd T/A Wiltshire Farm Foods,45040,One Commissioning Organisation,CHOICES FOR LIVING WELL,760.04
Bury Metropolitan Borough Council,Catering,Brakes Bros Foodservice Ltd,45022,Department of Operations,Catering High,2263.59
Bury Metropolitan Borough Council,Catering,Brakes Bros Foodservice Ltd,45019,Department of Operations,Catering Primary,9901.9
Bury Metropolitan Borough Council,Catering,Brakes Bros Foodservice Ltd,45022,Department of Operations,Catering Primary,12932.65
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45043,Department of Operations,Catering High,975.56
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45028,Department of Operations,Catering Primary,1479.61
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45043,Department of Operations,Catering Primary,2530.46
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45028,Department of Operations,Catering High,1800.77
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45043,Department of Operations,Catering High,521.48
Bury Metropolitan Borough Council,Catering,Morris Quality Bakers Ltd,45043,Department of Operations,Catering High,778.06
Bury Metropolitan Borough Council,Catering,School Grid Ltd,45040,Department of Operations,Catering Primary,859.59
Bury Metropolitan Borough Council,Catering,School Grid Ltd,45040,Department of Operations,Catering Primary,859.59
Bury Metropolitan Borough Council,Catering,School Grid Ltd,45040,Department of Operations,Catering Primary,859.59
Bury Metropolitan Borough Council,Catering,School Grid Ltd,45040,Department of Operations,Catering Overheads,1699
Bury Metropolitan Borough Council,Catering,School Grid Ltd,45040,Department of Operations,Catering Overheads,1699
Bury Metropolitan Borough Council,Catering,School Grid Ltd,45040,Department of Operations,Catering Overheads,1699
