Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,CFS Care Ltd,45198,Children & Young People,Independent Foster Agency,3912.64
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3913.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3913.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3913.48
Bury Metropolitan Borough Council,Utilities,NPower Ltd,45198,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,3919.6
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Heightside House Nursing Home,45182,Health and Adult Care (formerly OCO),Community Care - Rapid Response,3922.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Rainbow Fostering Services Ltd,45170,Children & Young People,Independent Foster Agency,3928.32
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ambito Care and Education,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3935.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3940
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Rainbow Fostering Services Ltd,45170,Children & Young People,Independent Foster Agency,3941.43
Bury Metropolitan Borough Council,Vehicles Management,FAUN Zoeller (UK) Ltd,45176,Department of Operations,Transport Fleet Management,3960
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3962.56
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Healey Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3970.19
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,3980.25
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Together Trust Ltd,45176,Children & Young People,Independent Foster Agency,3996.83
Bury Metropolitan Borough Council,Utilities,NPower Ltd,45182,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,4031.74
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Pendleton Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - North INT,4056.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Premier Care Limited,45189,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,4060.57
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Homecare Services Bury,45189,Health and Adult Care (formerly OCO),Community Care - North INT,4064.86
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Pendleton Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,4135.12
