Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Precepts & Levies,Precept Payment ,02-May-23,34057.23,£0.00,Environment Agency,238221,Revenue,MAY23-001
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,74562.12,£0.00,St Annes Community Services,221004,Revenue,STC170910
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,23071.71,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171024
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,16232.86,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171091
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,12020.7,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171156
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,10503.35,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171183
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,9471.55,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171212
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,8818.08,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171225
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,8808.46,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171226
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,8536.5,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171234
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,7757.29,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171255
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,7137.71,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171280
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,6985.99,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171288
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,6300.72,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171313
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,6067.33,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171321
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Furniture & Equipment - General,Youth Offending Service,02-May-23,5755,£0.00,Albany Office Equipment (Wholesale) Ltd,219220,Revenue,STC171343
South Tyneside Council,00CL,Business & Resources Group,Routine Contract Ground Maintenance,Grounds Maintenance Routine Works,02-May-23,5535.2,£0.00,Glendale Managed Services Ltd,226830,Revenue,STC171360
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02-May-23,3798,£0.00,Standby Healthcare,213700,Revenue,STC171529
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02-May-23,3528,£0.00,Standby Healthcare,213700,Revenue,STC171580
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02-May-23,3514.2,£0.00,Compass Fostering North Limited (formerly Fostering Outcomes),213700,Revenue,STC171585
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02-May-23,2646,£0.00,Standby Healthcare,213700,Revenue,STC171781
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-May-23,2593.8,£0.00,Jack Coupe & Sons Limited t/a Coupeline,227630,Revenue,STC171791
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-May-23,2504.9,£0.00,Northumbrian Roads Limited,227630,Revenue,STC171803
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-May-23,2333.6,£0.00,Jack Coupe & Sons Limited t/a Coupeline,227630,Revenue,STC171854
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-May-23,2261.22,£0.00,Northumbrian Roads Limited,227630,Revenue,STC171879
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,2195.17,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171904
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,2110.66,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171928
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,2110.66,£0.00,Lifeways Community Care Limited,221004,Revenue,STC171929
South Tyneside Council,00CL,Balance Sheet,Debtors - Pay Advances,Balance Sheet Corporate Finance,02-May-23,1465.29,£0.00,Redacted - personal info,999999,Balance Sheet,STC172278
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-May-23,853.3,£0.00,Northumbrian Roads Limited,227630,Revenue,STC172852
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,813.05,£0.00,Lifeways Community Care Limited,221004,Revenue,STC172888
South Tyneside Council,00CL,Business and Resources Capital,Capital Equipment Purchases,Replacement Vehicles and Plant Hire,02-May-23,736.4,£0.00,Auto Electrical Solutions Ltd,854500,Capital,STC173011
South Tyneside Council,00CL,Business and Resources Capital,Capital Equipment Purchases,Replacement Vehicles and Plant Hire,02-May-23,736.4,£0.00,Auto Electrical Solutions Ltd,854500,Capital,STC173012
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,691.2,£0.00,St Annes Community Services,221004,Revenue,STC173120
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02-May-23,665.5,£0.00,Redacted - personal info,710020,Revenue,STC173172
South Tyneside Council,00CL,Business and Resources Capital,Capital Equipment Purchases,Replacement Vehicles and Plant Hire,02-May-23,661.1,£0.00,Auto Electrical Solutions Ltd,854500,Capital,STC173182
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,633.16,£0.00,Lifeways Community Care Limited,221004,Revenue,STC173301
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-May-23,570.24,£0.00,St Annes Community Services,221004,Revenue,STC173439
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Grant Payments - General,Adult Skills,02-May-23,534.5,£0.00,Key Subject Tuition Ltd,216191,Revenue,STC173515
South Tyneside Council,00CL,Business & Resources Group,External Trainers Services,Fitness Class Programmes,02-May-23,510,£0.00,Redacted - personal info,224082,Revenue,STC173547
South Tyneside Council,00CL,Economic Regeneration Group,Gas Charges,Energy Recharges,03-May-23,427256.42,£0.00,Corona Energy Retail 2 Limited,238500,Revenue,STC170854
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,03-May-23,212885.55,£0.00,Cera Homecare Ltd (previously CRG Homecare Limited),221001,Revenue,STC170862
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Independent Sector Payments Public Health,Substance Misuse Core Contract - DISC,03-May-23,171916.67,£0.00,Humankind Charity formerly DISC Ltd (Developing Initiatives for Support in the Community),225175,Revenue,STC170864
South Tyneside Council,00CL,Business and Resources Capital,Capital Equipment Purchases,Replacement Vehicles and Plant Hire,03-May-23,171000,£0.00,Faun Zoeller (UK) Ltd,854500,Capital,STC170865
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,03-May-23,155608.39,£0.00,Human Support Group Ltd,221001,Revenue,STC170872
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Out of Borough School Fees,Out of Area Placements,03-May-23,149574.88,£0.00,Percy Hedley Foundation,213700,Revenue,STC170874
South Tyneside Council,00CL,Economic Regeneration Group,Electricity Charges,Energy Recharges,03-May-23,88986.77,£0.00,EDF Energy Customers plc,238500,Revenue,STC170897
South Tyneside Council,00CL,Economic Regeneration Group,Electricity Charges,Energy Recharges,03-May-23,70112.87,£0.00,EDF Energy Customers plc,238500,Revenue,STC170912
South Tyneside Council,00CL,Childrens Adults and Health,Software,Childrens Services Family Hubs,03-May-23,57960,£0.00,Liquidlogic Ltd,212095,Revenue,STC170918
South Tyneside Council,00CL,Economic Regeneration Group,Electricity Charges,Energy Recharges,03-May-23,50875.31,£0.00,EDF Energy Customers plc,238500,Revenue,STC170928
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,03-May-23,50070.1,£0.00,Cera Homecare Ltd (previously CRG Homecare Limited),221001,Revenue,STC170933
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - General,Voluntary Sector Funding,03-May-23,45614,£0.00,Arts 4 Wellbeing,220020,Revenue,STC170942
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Support Services,Top Ups Independent Providers Post16,03-May-23,43898.33,£0.00,Ruskin Mill Trust - Clervaux Garden School,217760,Revenue,STC170947
