Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/06/23,1541.01,£0.00,Fostering People Ltd,213300,Revenue,STC175242
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/06/23,1541.01,£0.00,Fostering People Ltd,213300,Revenue,STC175243
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,The Place,01/06/23,1600.00,£0.00,Melanie McQuade Counselling,214200,Revenue,STC175273
South Tyneside Council,00CL,Economic Regeneration Group,Contributions to Community Associations,Asset Management,01/06/23,1666.66,£0.00,Clegwell Community Association,232300,Revenue,STC175316
South Tyneside Council,00CL,Business & Resources Group,Printing & Stationery Consumables,Secure Waste Disposal,01/06/23,1778.15,£0.00,Data Solutions 2016 Ltd t/a Restore Datashred,230930,Revenue,STC175379
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/06/23,1800.00,£0.00,North East Supported Tenancies Ltd,213300,Revenue,STC175391
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,Sec 17 -  Central Pot,01/06/23,1962.80,£0.00,The Angelou Centre,213602,Revenue,STC175482
South Tyneside Council,00CL,Business & Resources Group,Alarms Monitoring & Maintenance,General Car Parking Administration,01/06/23,2007.04,£0.00,Tyne Tees Security Ltd PLEASE USE STEADFAST GROUP INSTEAD,227350,Revenue,STC175512
South Tyneside Council,00CL,Business & Resources Capital,Capital In House Salaries,ICT – Desktop Refresh,01/06/23,2173.20,£0.00,University of Sunderland,857517,Capital,STC175577
South Tyneside Council,00CL,Business & Resources Capital,Capital In House Salaries,ICT – Desktop Refresh,01/06/23,2233.67,£0.00,University of Sunderland,857517,Capital,STC175593
South Tyneside Council,00CL,Business & Resources Capital,Capital In House Salaries,ICT – Desktop Refresh,01/06/23,2233.67,£0.00,University of Sunderland,857517,Capital,STC175594
South Tyneside Council,00CL,Balance Sheet,Creditors Court Orders,Balance Sheet Corporate Finance,01/06/23,2258.77,£0.00,Department for Work and Pension,999999,Balance Sheet,STC175609
South Tyneside Council,00CL,Economic Regeneration Group,Electricity Charges,Energy Recharges,01/06/23,2636.29,£0.00,EDF Energy Customers plc,238500,Revenue,STC175728
South Tyneside Council,00CL,Business & Resources Group,Coroners Services,Coroners Service,01/06/23,2687.50,£0.00,GJC Medicolegal Consulting Ltd,237020,Revenue,STC175739
