Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,CAF Grants East Shields & Whitburn,East Shields & Whitburn,01-Dec-2023,500.00,500.00,Prince Edward Court Residents Association (New),222890,Revenue,STC192136
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,01-Dec-2023,505.00,505.00,Peart Access Ramps Ltd,819002,Capital,STC192155
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01-Dec-2023,520.00,520.00,Wilkinson Travel,219830,Revenue,STC192180
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,536.40,536.40,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC192211
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,536.40,536.40,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC192212
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Engineer Works D.L.O. - Cont. Highways,01-Dec-2023,545.00,545.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227630,Revenue,STC192220
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Enhancement Costs,Albert Road Bridge,01-Dec-2023,575.00,575.00,Andrew Bryson Photography,850014,Capital,STC192261
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Catering Provisions,Thurston Activity Centre,01-Dec-2023,634.37,634.37,JMP FOODSERVICE,219100,Revenue,STC192380
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,Jarrow Focus,01-Dec-2023,634.51,634.51,Pulse Fitness Ltd,222876,Revenue,STC192381
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,664.28,664.28,Wernick Hire Limited,227000,Revenue,STC192483
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,664.28,664.28,Wernick Hire Limited,227000,Revenue,STC192484
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,664.28,664.28,Wernick Hire Limited,227000,Revenue,STC192485
South Tyneside Council,00CL,Business and Resources Capital,Capital Enhancement Costs,South Shields Museum & Arts Gallery,01-Dec-2023,675.00,675.00,Todd Milburn Partnership Limited,827051,Capital,STC192503
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,682.00,682.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC192530
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,702.00,702.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC192567
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,730.71,730.71,Wernick Hire Limited,227000,Revenue,STC192592
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Dec-2023,730.72,730.72,Wernick Hire Limited,227000,Revenue,STC192593
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Hebburn Central,01-Dec-2023,731.31,731.31,Pulse Fitness Ltd,222875,Revenue,STC192594
South Tyneside Council,00CL,Economic Regeneration Group,External Printing Contractors,Printing,01-Dec-2023,737.45,737.45,Opal IT Limited t/a inTEC BUSINESS Newcastle,236030,Revenue,STC192601
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,Community Equipment Service,01-Dec-2023,740.00,740.00,Windmill Special Needs Co Ltd,221420,Revenue,STC192608
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Haven Point,01-Dec-2023,766.11,766.11,Pulse Fitness Ltd,222950,Revenue,STC192628
