Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Housing Revenue Account,Management Fee ,02/01/2024,"£2,780,897.16",£0.00,South Tyneside Homes,709090,Revenue,JAN2024-001
South Tyneside Council,00CL,Business & Resources Group,Housing and Planning For Growth,Homelessness Fee ,02/01/2024,"£59,193.75",£0.00,South Tyneside Homes,236540,Revenue,JAN2024-002
South Tyneside Council,00CL,Business & Resources Group,Precepts & Levies,Precept Payment ,02/01/2024,"£34,057.23",£0.00,Environment Agency,238221,Revenue,JAN2024-003
South Tyneside Council,00CL,Balance Sheet,NNDR Refunds,Balance Sheet Corporate Finance,02/01/2024,"£6,424.82",£0.00,NR - ANTHONY JAMES PROPERTY LTD137512,999999,Balance Sheet,STC197506
South Tyneside Council,00CL,Balance Sheet,STH GF Invoice Holding Account,Balance Sheet Corporate Finance,02/01/2024,"£60,968.36",£0.00,South Tyneside Homes Ltd,999999,Balance Sheet,STC198081
South Tyneside Council,00CL,Balance Sheet,STH HRA Invoice Holding Account,Balance Sheet Corporate Finance,02/01/2024,"£116,477.29",£0.00,South Tyneside Homes Ltd,999999,Balance Sheet,STC198126
South Tyneside Council,00CL,Balance Sheet,Hebburn Bank Balances,Balance Sheet Corporate Finance,02/01/2024,"£571,457.00",£0.00,Hebburn Comprehensive School,999999,Balance Sheet,STC198162
South Tyneside Council,00CL,Balance Sheet,Mortimer Bank Balance,Balance Sheet Corporate Finance,02/01/2024,"£744,797.00",£0.00,Mortimer Community College,999999,Balance Sheet,STC198165
South Tyneside Council,00CL,Balance Sheet,STH HRA Invoice Holding Account,Balance Sheet Corporate Finance,02/01/2024,"£2,302,004.72",£0.00,South Tyneside Homes Ltd,999999,Balance Sheet,STC198170
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,500,£0.00,Redacted - personal info,221004,Revenue,STC194578
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Foster Carers Other Fees & Expenses,In House Fostering,02-Jan-24,500,£0.00,Redacted - personal info,213800,Revenue,STC194579
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Allowances,ILAC General,02-Jan-24,500,£0.00,Redacted - personal info,213300,Revenue,STC194580
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Special Guardianship Allowances (former foster carers),Special Guardianship Allowances,02-Jan-24,502,£0.00,Redacted - personal info,213901,Revenue,STC194625
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,502.96,£0.00,Redacted - personal info,221001,Revenue,STC194630
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,504.36,£0.00,Redacted - personal info,221001,Revenue,STC194635
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,505.65,£0.00,Redacted - personal info,221001,Revenue,STC194639
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,512,£0.00,Redacted - personal info,221004,Revenue,STC194656
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,514.2,£0.00,Redacted - personal info,221004,Revenue,STC194663
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,02-Jan-24,519.55,£0.00,Wolseley UK Limited,221420,Revenue,STC194673
South Tyneside Council,00CL,Economic Regeneration Group,Schools Maintenance Non-Buyback,R&M Non-Buyback,02-Jan-24,522,£0.00,CDS Security and Fire Ltd (formerly CDS Security Ltd),232870,Revenue,STC194678
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,02-Jan-24,524.28,£0.00,Redacted - personal info,221005,Revenue,STC194682
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,525.04,£0.00,Redacted - personal info,221004,Revenue,STC194693
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-Jan-24,531.16,£0.00,Mencap,221004,Revenue,STC194706
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,535.92,£0.00,Redacted - personal info,221001,Revenue,STC194718
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,539.32,£0.00,Redacted - personal info,221004,Revenue,STC194727
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,540,£0.00,Redacted - personal info,221004,Revenue,STC194730
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,546.78,£0.00,Redacted - personal info,221001,Revenue,STC194745
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,548.36,£0.00,Redacted - personal info,221004,Revenue,STC194749
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Cleaning Expenses,Harton Jnr Kitchen,02-Jan-24,549.93,£0.00,Greenham Trading Limited,217410,Revenue,STC194753
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Support with Memory and Cognition,02-Jan-24,566,£0.00,Redacted - personal info,221003,Revenue,STC194774
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,566,£0.00,Redacted - personal info,221001,Revenue,STC194775
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,566,£0.00,Redacted - personal info,221001,Revenue,STC194776
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,575.88,£0.00,Redacted - personal info,221004,Revenue,STC194801
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,576,£0.00,Redacted - personal info,221004,Revenue,STC194803
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Cleaning Expenses,East Boldon Jnr Kitchen,02-Jan-24,576.64,£0.00,Greenham Trading Limited,217295,Revenue,STC194807
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Support with Memory and Cognition,02-Jan-24,589.76,£0.00,Redacted - personal info,221003,Revenue,STC194834
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Physical Support,02-Jan-24,590.52,£0.00,Redacted - personal info,221001,Revenue,STC194837
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,02-Jan-24,591,£0.00,Lifeways Community Care Limited,221004,Revenue,STC194840
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,592.71,£0.00,Redacted - personal info,221001,Revenue,STC194844
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,02-Jan-24,594.3,£0.00,Redacted - personal info,221001,Revenue,STC194846
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,02-Jan-24,597.88,£0.00,Redacted - personal info,221004,Revenue,STC194859
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,02-Jan-24,600,£0.00,Redacted - personal info,213300,Revenue,STC194863
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Special Guardianship Allowances (former foster carers),Special Guardianship Allowances,02-Jan-24,600,£0.00,Redacted - personal info,213901,Revenue,STC194864
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,02-Jan-24,600,£0.00,Redacted - personal info,213300,Revenue,STC194865
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,02-Jan-24,600,£0.00,Redacted - personal info,213300,Revenue,STC194866
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,02-Jan-24,600,£0.00,Redacted - personal info,213300,Revenue,STC194867
