Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,507.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198185
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,519.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198211
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,521.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198213
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,524.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198216
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,01-Feb-2024,525.00,£0.00,CD Passenger Services,218930,Revenue,STC198218
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,525.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198219
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,530.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198232
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Furniture & Equipment - General,Locality 2 - Day Care - (Bede),01-Feb-2024,550.82,£0.00,TTS Group Ltd (RM Educational Resourced Ltd t/a),215466,Revenue,STC198275
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Furniture & Equipment - General,LEA Music Services,01-Feb-2024,553.88,£0.00,Gear4Music Ltd,210990,Revenue,STC198279
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,559.50,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198284
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01-Feb-2024,575.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC198308
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,01-Feb-2024,583.00,£0.00,Nottingham Rehab Supplies (NRS Healthcare),221420,Revenue,STC198317
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Nursing Care,Mental Health Support,01-Feb-2024,598.37,£0.00,Barchester - Billingham Grange,221005,Revenue,STC198342
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Parks General,01-Feb-2024,660.00,£0.00,Play Fitness Ltd,223640,Revenue,STC198440
South Tyneside Council,00CL,Economic Regeneration Group,Grant Payments - General,NOTCA Adult Education,01-Feb-2024,669.00,£0.00,U Training Ltd,215956,Revenue,STC198510
South Tyneside Council,00CL,Business & Resources Group,Default Procurement Subjective,Human Resources,01-Feb-2024,712.50,£0.00,DDH Psychological Solutions Limited,230600,Revenue,STC198564
South Tyneside Council,00CL,Business and Resources,Postage Expenses,Digitalised Mail,01-Feb-2024,721.94,£0.00,Critiqom Limited,230385,Revenue,STC198590
