Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,Pupil Support,02-Oct-2023,2200.00,£0.00,CD Passenger Services,211810,Revenue,STC187719
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,2210.00,£0.00,CD Passenger Services,218930,Revenue,STC187721
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,2210.00,£0.00,CD Passenger Services,218930,Revenue,STC187722
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-Oct-2023,2354.07,£0.00,BCE Northern Limited,227630,Revenue,STC187770
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Adult Day Care Services,Learning Disability Support,02-Oct-2023,2443.52,£0.00,North East Autism Society,221004,Revenue,STC187792
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-Oct-2023,2524.55,£0.00,BCE Northern Limited,227630,Revenue,STC187812
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Travel & Expenses,ILAC General,02-Oct-2023,2560.00,£0.00,CD Passenger Services,213300,Revenue,STC187823
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,2600.00,£0.00,CD Passenger Services,218930,Revenue,STC187831
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,2700.00,£0.00,CD Passenger Services,218930,Revenue,STC187853
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Adult Day Care Services,Learning Disability Support,02-Oct-2023,3050.56,£0.00,North East Autism Society,221004,Revenue,STC187935
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02-Oct-2023,3090.86,£0.00,Cambian Group plc,213700,Revenue,STC187945
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,3200.00,£0.00,CD Passenger Services,218930,Revenue,STC187968
South Tyneside Council,00CL,Childrens Adults & Health Capital,Capital Advisors & Consultants Fees,Childrens Home Hebburn New Town – DfE,02-Oct-2023,3747.02,£0.00,Bloom Procurement Services,819702,Capital,STC188126
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Home to College Transport,02-Oct-2023,4000.00,£0.00,CD Passenger Services,218950,Revenue,STC188176
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,02-Oct-2023,4205.00,£0.00,Peart Access Ramps Ltd,819000,Capital,STC188215
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02-Oct-2023,4242.87,£0.00,BCE Northern Limited,227630,Revenue,STC188220
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Adult Day Care Services,Learning Disability Support,02/10/2023,5868.72,£0.00,North East Autism Society,221004,Revenue,STC188372
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02/10/2023,9500.00,£0.00,CD Passenger Services,218930,Revenue,STC188552
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02/10/2023,9948.98,£0.00,BCE Northern Limited,227630,Revenue,STC188570
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Secondary Non-Delegated Transport,02/10/2023,10830.00,£0.00,CD Passenger Services,218900,Revenue,STC188599
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02/10/2023,11000.00,£0.00,CD Passenger Services,218930,Revenue,STC188603
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02/10/2023,12103.00,£0.00,CD Passenger Services,218930,Revenue,STC188626
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02/10/2023,12531.88,£0.00,BCE Northern Limited,227630,Revenue,STC188636
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,02/10/2023,12532.87,£0.00,BCE Northern Limited,227630,Revenue,STC188637
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02/10/2023,16860.00,£0.00,CD Passenger Services,218930,Revenue,STC188708
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,Head of Adult Services,02/10/2023,17500.00,£0.00,Baltimore Consulting Ltd,220200,Revenue,STC188712
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02/10/2023,20858.66,£0.00,Cambian Group plc,213700,Revenue,STC188766
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02/10/2023,22364.29,£0.00,Cambian Group plc,213700,Revenue,STC188782
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - General,Voluntary Sector Funding,02/10/2023,22803.33,£0.00,"Change, Grow, Live",220020,Revenue,STC188785
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02/10/2023,23692.86,£0.00,Cambian Group plc,213700,Revenue,STC188794
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,02/10/2023,26350.00,£0.00,Cambian Group plc,213700,Revenue,STC188813
South Tyneside Council,00CL,Economic Regeneration Group,Telephone Expenses,Energy Recharges,02/10/2023,60491.48,£0.00,BT - British Telecommunications PLC,238500,Revenue,STC188920
South Tyneside Council,00CL,"Childrens, Adults & Families Group",PFI Unitary Charge - Fixed,Jarrow School PFI,02/10/2023,330347.80,£0.00,Inspiredspaces Stag (PROJECTC01) Limited,219710,Revenue,STC189022
South Tyneside Council,00CL,"Childrens, Adults & Families Group",PFI Unitary Charge - Fixed,South Shields Community School PFI,02/10/2023,393176.76,£0.00,Inspiredspaces STAG (ProjectCO2) Limited,219701,Revenue,STC189024
South Tyneside Council,00CL,"Children, Adults & Families",Learning & Early Help,Head of Learning & Early Help SMT,03/10/2023,"£8,796.97",£0.00,Parents Plus,210200,Revenue,OCT2023-001
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,513.00,£0.00,Redacted - personal info,220800,Revenue,STC185754
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,03-Oct-2023,519.19,£0.00,Redacted - personal info,710020,Revenue,STC185767
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,Riverside CAF,03-Oct-2023,540.00,£0.00,Asset Base South Tyneside CIC (Fit Belli Deli),219474,Revenue,STC185813
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,551.00,£0.00,Redacted - personal info,220800,Revenue,STC185840
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Grant Payments - General,Adult Skills,03-Oct-2023,579.00,£0.00,Key Subject Tuition Ltd,216191,Revenue,STC185885
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,582.30,£0.00,Redacted - personal info,220800,Capital,STC185895
