Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Childrens Adults & Health Capital,Capital Advisors & Consultants Fees,HEBBURN LAKES – SEN UNIT ALTERATIONS,01-Mar-2024,500.00,0,Hall and Partners (Special Projects) Limited,814034,Capital,STC200497
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Statutory Fees & Charges,Thurston Activity Centre,01-Mar-2024,500.00,0,Inspire Consulting & Coaching ltd T/A Inspire2Adventure,219100,Revenue,STC200498
South Tyneside Council,00CL,Economic Regeneration Group,Non-Staff Advertising,General Tourism Marketing,01-Mar-2024,500.00,0,NCTA/ BCP Council,236057,Revenue,STC200499
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Mar-2024,506.00,0,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC200551
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01-Mar-2024,508.00,0,Astral Control Services Ltd,232860,Revenue,STC200554
South Tyneside Council,00CL,Business & Resources Group,Library & Other Books Maps etc.,Libraries Admin,01-Mar-2024,512.50,0,Askews and Holts Library Services Ltd,223170,Revenue,STC200581
South Tyneside Council,00CL,Economic Regeneration,Capital Advisors & Consultants Fees,Viking Energy Network Jarrow Phase 1,01-Mar-2024,520.00,0,Thornton-Firkin LLP,854570,Capital,STC200595
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Non Factory Units,01-Mar-2024,525.50,0,Shaun Matthias Limited,232805,Revenue,STC200615
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Catering Provisions,Jarrow School Kitchen,01-Mar-2024,528.58,0,Chicken Joes,217530,Revenue,STC200621
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01-Mar-2024,530.34,0,CDS Security and Fire Ltd (formerly CDS Security Ltd),232860,Revenue,STC200623
South Tyneside Council,00CL,Business & Resources Group,Staff Training,Training,01-Mar-2024,540.00,0,The Solutions Focus,230641,Revenue,STC200639
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Mar-2024,560.79,0,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC200684
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Mar-2024,560.79,0,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC200685
South Tyneside Council,00CL,Business & Resources Group,Library & Other Books Maps etc.,Libraries Admin,01-Mar-2024,569.87,0,Askews and Holts Library Services Ltd,223170,Revenue,STC200702
South Tyneside Council,00CL,Business & Resources Group,Printing & Stationery Consumables,Green Waste,01-Mar-2024,593.61,0,Critiqom t/a Adare SEC,228210,Revenue,STC200750
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Furniture & Equipment - General,Jarrow School Kitchen,01-Mar-2024,595.00,0,P & N Associates Ltd.,217530,Revenue,STC200755
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Property Reactive / General Repairs,Locality 1 - Day Care (Primrose),01-Mar-2024,597.07,0,Shaun Matthias Limited,215476,Revenue,STC200768
South Tyneside Council,00CL,Balance Sheet,Business Incubation Tenants Deposits,Balance Sheet Corporate Finance,01-Mar-2024,610.00,0,Dunelm Security Ltd,999999,Balance Sheet,STC200813
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,Simonside Youth Centre,01-Mar-2024,620.00,0,Redacted - personal info,219410,Revenue,STC200829
South Tyneside Council,00CL,Business & Resources Group,Vehicle Running Costs,Fleet Management - Transport Operations,01-Mar-2024,636.64,0,Direct Tyre Management Limited,227000,Revenue,STC200904
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Grant Payments - General,Adult Skills,01-Mar-2024,648.00,0,First Face to Face Ltd,216191,Revenue,STC200924
South Tyneside Council,00CL,Business & Resources Group,External Trainers Services,Fitness Class Programmes,01-Mar-2024,650.00,0,Redacted - personal info,224082,Revenue,STC200934
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Furniture & Equipment - General,Locality 1 - Day Care (Primrose),01-Mar-2024,651.99,0,Collaborate & Innovate Ltd t/a Cosy,215476,Revenue,STC200943
South Tyneside Council,00CL,Economic Regeneration Group,Disclosure & Barring Service Fee,Taxi and Hackney Cab Licensing,01-Mar-2024,672.00,0,North East Regional Employers Organisation,236850,Revenue,STC200982
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Adult Day Care Services,Learning Disability Support,01-Mar-2024,681.93,0,Sunderland Care & Support Ltd,221004,Revenue,STC201031
