Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,Countryside Management,01/09/2023,500.00,£0.00,Mark Connelly Conservation Ltd,236410,Revenue,STC183063
South Tyneside Council,00CL,Business & Resources Group,Entertainers Services,Summer Festival,01/09/2023,500.00,£0.00,The mOObs,222840,Revenue,STC183064
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,Foxdens - short breaks for children looked after,01/09/2023,504.00,£0.00,NE Display Limited,224221,Revenue,STC183109
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01/09/2023,512.02,£0.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC183125
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01/09/2023,512.02,£0.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC183126
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Equipment & Materials,Engineer Works D.L.O. - Cont. Highways,01/09/2023,521.30,£0.00,James Burrell Ltd,227630,Revenue,STC183139
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Enhancement Costs,Car Park Improvements Lines and Signs,01/09/2023,527.28,£0.00,Metric Group Limited,830009,Capital,STC183147
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,532.00,£0.00,Ward Hadaway Solicitors,231100,Revenue,STC183155
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,571.50,£0.00,Redacted - Personal info,219830,Revenue,STC183215
South Tyneside Council,00CL,Strategy and Performance,Non-Staff Advertising,Corporate Marketing,01/09/2023,575.00,£0.00,THE CRACK LTD,236070,Revenue,STC183220
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,Countryside Management,01/09/2023,580.00,£0.00,Mark Connelly Conservation Ltd,236410,Revenue,STC183229
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Advisors & Consultants Fees,Control Room and CCTV Relocation,01/09/2023,583.00,£0.00,Hall and Partners (Special Projects) Limited,854528,Capital,STC183233
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01/09/2023,586.19,£0.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC183235
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,01/09/2023,589.70,£0.00,Nottingham Rehab Supplies (NRS Healthcare),221420,Revenue,STC183238
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/09/2023,595.00,£0.00,AM & B Wilson Limited,232860,Revenue,STC183254
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,600.00,£0.00,Dere Street Barristers,231100,Revenue,STC183263
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,600.00,£0.00,Streetgames UK,219830,Revenue,STC183264
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Legal Advisors,Sec 17 -  Central Pot,01/09/2023,665.00,£0.00,Trinity Barristers (Newcastle),213602,Revenue,STC183437
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,666.50,£0.00,Ward Hadaway Solicitors,231100,Revenue,STC183442
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/09/2023,675.00,£0.00,Aimrange (NE) Ltd,232860,Revenue,STC183462
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/09/2023,675.00,£0.00,Aimrange (NE) Ltd,232860,Revenue,STC183463
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/09/2023,675.00,£0.00,Aimrange (NE) Ltd,232860,Revenue,STC183464
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/09/2023,675.00,£0.00,Aimrange (NE) Ltd,232860,Revenue,STC183465
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/09/2023,675.00,£0.00,Aimrange (NE) Ltd,232860,Revenue,STC183466
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Demolition Costs,Future High Streets Fund,01/09/2023,700.00,£0.00,Mableson Hall Ltd,828532,Capital,STC183515
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Construction Costs,Major Transport Schemes,01/09/2023,700.00,£0.00,North East Traffic Data Collection Ltd,828352,Capital,STC183516
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Construction Costs,Major Transport Schemes,01/09/2023,700.00,£0.00,North East Traffic Data Collection Ltd,828352,Capital,STC183517
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,725.00,£0.00,Dere Street Barristers,231100,Revenue,STC183549
