Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Equipment Purchases,Major Transport Schemes,01-Nov-2023,500.00,£0.00,Redacted - personal info,828352,Capital,STC189033
South Tyneside Council,00CL,Business & Resources Group,Staff Training,Training,01-Nov-2023,500.00,£0.00,Redacted - personal info,230641,Revenue,STC189034
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Equipment Purchases,Major Transport Schemes,01-Nov-2023,500.00,£0.00,Redacted - personal info,828352,Capital,STC189035
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,01-Nov-2023,523.00,£0.00,Peart Access Ramps Ltd,819002,Capital,STC189123
South Tyneside Council,00CL,Economic Regeneration Group,Health and Safety,Business Incubation : South Shields Business,01-Nov-2023,527.50,£0.00,Safety Chair International Ltd,235965,Revenue,STC189135
South Tyneside Council,00CL,Environment,Travel & Subsistence Expenses,LGA Coastal SIG,01-Nov-2023,595.65,£0.00,TravelPerk UK IRL Limited (formerly Click Travel),236145,Revenue,STC189293
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Furniture & Equipment - General,Locality 1 - Day Care - (Stanleys at Jarrow),01-Nov-2023,642.78,£0.00,Findel Education Ltd,215477,Revenue,STC189425
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,642.86,£0.00,Wernick Hire Limited,227000,Revenue,STC189426
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,642.86,£0.00,Wernick Hire Limited,227000,Revenue,STC189427
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,642.86,£0.00,Wernick Hire Limited,227000,Revenue,STC189428
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,01-Nov-2023,689.00,£0.00,Peart Access Ramps Ltd,819002,Capital,STC189588
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,707.14,£0.00,Wernick Hire Limited,227000,Revenue,STC189625
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,707.14,£0.00,Wernick Hire Limited,227000,Revenue,STC189626
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,707.14,£0.00,Wernick Hire Limited,227000,Revenue,STC189627
South Tyneside Council,00CL,Business & Resources Group,Default Procurement Subjective,Special Events,01-Nov-2023,754.60,£0.00,St John's Ambulance,223950,Revenue,STC189719
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,780.02,£0.00,Wernick Hire Limited,227000,Revenue,STC189758
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Agency Staff - Non-Teachers,In House Fostering,01-Nov-2023,800.00,£0.00,Redacted - personal info,213800,Revenue,STC189794
South Tyneside Council,00CL,Business & Resources Group,Library & Other Books Maps etc.,Libraries Admin,01-Nov-2023,814.76,£0.00,Askews and Holts Library Services Ltd,223170,Revenue,STC189822
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189933
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189934
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189935
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189936
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189937
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189938
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189939
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189940
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,900.00,£0.00,Wernick Hire Limited,227000,Revenue,STC189941
South Tyneside Council,00CL,Business & Resources Group,Library & Other Books Maps etc.,Libraries Admin,01-Nov-2023,954.81,£0.00,Askews and Holts Library Services Ltd,223170,Revenue,STC190015
South Tyneside Council,00CL,Business & Resources Group,Staff Training,Training,01-Nov-2023,1000.00,£0.00,Show Racism the Red Card,230641,Revenue,STC190077
South Tyneside Council,00CL,Economic Regeneration Group,Furniture & Equipment - General,Design Team,01-Nov-2023,1010.00,£0.00,Gemini Data Loggers [UK] Ltd,235300,Revenue,STC190099
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01-Nov-2023,1015.72,£0.00,Wernick Hire Limited,227000,Revenue,STC190102
South Tyneside Council,00CL,Business & Resources Group,Library & Other Books Maps etc.,Libraries Admin,01-Nov-2023,1043.84,£0.00,Askews and Holts Library Services Ltd,223170,Revenue,STC190125
South Tyneside Council,00CL,Business & Resources Group,Library & Other Books Maps etc.,Libraries Admin,01-Nov-2023,1063.25,£0.00,Askews and Holts Library Services Ltd,223170,Revenue,STC190146
