Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Housing Revenue Account,Management Fee - 2 Quarters,03-Apr-2023,5561794.00,0,South Tyneside Homes,709090,Revenue,APR23-001
South Tyneside Council,00CL,Business & Resources Group,Housing and Planning For Growth,Homelessness Fee - 2 Quarters,03-Apr-2023,118387.50,0,South Tyneside Homes,236540,Revenue,APR23-002
South Tyneside Council,00CL,Business & Resources Group,Postage Expenses,Register of Electors,03-Apr-2023,504.56,0,Royal Mail,231600,Revenue,STC167900
South Tyneside Council,00CL,Balance Sheet,Debtors - Pay Advances,Balance Sheet Corporate Finance,03-Apr-2023,564.84,0,Redacted - personal info,999999,Balance Sheet,STC168040
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Legal Advisors,Sec 17 -  Central Pot,03-Apr-2023,608.07,0,North East Psychology Services Ltd,213602,Revenue,STC168176
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Property Reactive / General Repairs,Monkton Jnr Kitchen,03-Apr-2023,626.54,0,Upnorth Engineering Services Limited,217350,Revenue,STC168236
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,03-Apr-2023,649.00,0,Peart Access Ramps Ltd,819002,Capital,STC168274
South Tyneside Council,00CL,"Childrens, Adults & Families Group",External Trainers Services,Thurston Activity Centre,03-Apr-2023,650.00,0,Redacted - personal info,219100,Revenue,STC168276
South Tyneside Council,00CL,Business & Resources Group,Linked Open Spaces,Local Nature Reserves,03-Apr-2023,657.65,0,Glendale Managed Services Ltd,236420,Revenue,STC168292
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,Sec 17 -  Central Pot,03-Apr-2023,750.00,0,Franks Flooring,213602,Revenue,STC168523
South Tyneside Council,00CL,Business & Resources Group,Cleaning Expenses,Hebburn Central,03-Apr-2023,756.47,0,Spectrum Industrial Ltd,222875,Revenue,STC168544
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,03-Apr-2023,802.00,0,Seating Matters,221420,Revenue,STC168631
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,03-Apr-2023,805.00,0,Lotus Travel NE Ltd,218930,Revenue,STC168634
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,03-Apr-2023,815.74,0,Thompsons of Prudhoe Limited,227630,Revenue,STC168645
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,03-Apr-2023,817.17,0,Thompsons of Prudhoe Limited,227630,Revenue,STC168648
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Home to College Transport,03-Apr-2023,825.00,0,Lotus Travel NE Ltd,218950,Revenue,STC168663
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,03-Apr-2023,827.00,0,Seating Matters,221420,Revenue,STC168668
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,03-Apr-2023,863.16,0,Thompsons of Prudhoe Limited,227630,Revenue,STC168716
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,03-Apr-2023,913.00,0,Peart Access Ramps Ltd,819002,Capital,STC168767
South Tyneside Council,00CL,Business & Resources Group,Furniture & Equipment - General,Civic Duties,03-Apr-2023,931.00,0,Hi-Lights Theatre Services Limited,232200,Revenue,STC168785
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,03-Apr-2023,931.25,0,Willowcrete Manufacturing Company Limited,232860,Revenue,STC168786
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Enhancement Costs,High Risk Asbestos in Civic Buildings,03-Apr-2023,937.50,0,Lucion Environmental LLP,820006,Capital,STC168792
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,03-Apr-2023,956.00,0,Peart Access Ramps Ltd,819002,Capital,STC168809
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,03-Apr-2023,959.00,0,Peart Access Ramps Ltd,819002,Capital,STC168812
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Home to College Transport,03-Apr-2023,962.00,0,Lotus Travel NE Ltd,218950,Revenue,STC168817
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,03-Apr-2023,974.36,0,Thompsons of Prudhoe Limited,227630,Revenue,STC168826
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Construction Costs, Jarrow Footbridge(Monkton Terrace),03-Apr-2023,987.00,0,Total Resources (UK) Limited t/a TM Lincs,852038,Capital,STC168856
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Construction Costs, Jarrow Footbridge(Monkton Terrace),03-Apr-2023,987.00,0,Total Resources (UK) Limited t/a TM Lincs,852038,Capital,STC168857
