,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),14.91,R4308,Stationery,14/11/2023,130407544,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),5.40,R4308,Stationery,14/11/2023,130407544,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),19.90,R4308,Stationery,14/11/2023,130407544,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),3.20,R4308,Stationery,14/11/2023,130407544,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),47.88,R4308,Stationery,16/11/2023,130407723,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),3.98,R4308,Stationery,01/11/2023,130406502,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),75.96,R4308,Stationery,01/11/2023,130406502,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),20.32,R4308,Stationery,01/11/2023,130406502,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),155.88,R4308,Stationery,01/11/2023,130405649,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),41.93,R4308,Stationery,01/11/2023,130405649,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),14.95,R4308,Stationery,01/11/2023,130405649,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),189.90,R4308,Stationery,17/11/2023,130408466,City Events,"ALV - Darts & Comedy			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),59.90,R4308,Stationery,02/11/2023,130406655,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),39.98,R4308,Stationery,03/11/2023,130406504,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),4.17,R4308,Stationery,03/11/2023,130406504,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),89.99,R4308,Stationery,20/11/2023,130408626,Libraries,Global Budgets
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),119.99,R4000,Equipment - Purchase,20/11/2023,130408193,Community Financial Support,Financial Assessments
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),69.30,R4308,Stationery,20/11/2023,130408628,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),5.98,R4308,Stationery,03/11/2023,130406658,Legal Services,Legal Services
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),29.95,R4308,Stationery,03/11/2023,130406658,Project and Works Team – Maintenance Programme,Centralised R&M
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),30.80,R4308,Stationery,21/11/2023,130407546,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),8.50,R4308,Stationery,21/11/2023,130407547,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.80,R4308,Stationery,21/11/2023,130407547,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.00,R4308,Stationery,21/11/2023,130407547,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),16.70,R4308,Stationery,21/11/2023,130407547,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),15.92,R4308,Stationery,21/11/2023,130407547,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),47.88,R4308,Stationery,21/11/2023,130407547,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),235.50,R4308,Stationery,21/11/2023,130406846,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),668.56,R4308,Stationery,24/11/2023,130409083,Licensing,Licensing  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),33.98,R4308,Stationery,24/11/2023,130409257,Digital and IT,Digital Print Solutions
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),5.99,R4308,Stationery,06/11/2023,130406295,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),194.46,R4308,Stationery,06/11/2023,130405651,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.05,R4308,Stationery,07/11/2023,130407242,Strengthening Families,EI Area 7 - Low Hill
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),49.37,R4308,Stationery,07/11/2023,130406847,Strengthening Families,EI Area 7 - Low Hill
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),566.94,R4000,Equipment - Purchase,07/11/2023,130405089,Highways Maintenance,Patching
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),101.05,R4308,Stationery,08/11/2023,130406656,Specialist Support,Upper Pendeford Farm Short Breaks Centre
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),-0.04,R4308,Stationery,08/11/2023,130406656,Specialist Support,Upper Pendeford Farm Short Breaks Centre
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),0.35,R4308,Stationery,08/11/2023,130407241,Specialist Support,Upper Pendeford Farm Short Breaks Centre
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),56.71,R4308,Stationery,08/11/2023,130404287,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),51.59,R4308,Stationery,08/11/2023,130401155,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),37.88,R4308,Stationery,08/11/2023,130405804,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),14.00,R4308,Stationery,08/11/2023,130405804,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),38.44,R4308,Stationery,08/11/2023,130405805,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.80,R4308,Stationery,08/11/2023,130405805,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),35.94,R4308,Stationery,08/11/2023,130406653,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),0.70,R4308,Stationery,08/11/2023,130407240,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.73,R4308,Stationery,09/11/2023,130402584,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),45.98,R4308,Stationery,09/11/2023,130406503,Community Financial Support,Macmillan Welfare Rights Service
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),19.99,R4308,Stationery,09/11/2023,130407548,Head of Children's Improvement,SENDIASS
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),8.34,R4308,Stationery,09/11/2023,130407548,Head of Children's Improvement,SENDIASS
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),1.99,R4308,Stationery,09/11/2023,130407548,Head of Children's Improvement,SENDIASS
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),0.68,R4308,Stationery,09/11/2023,130407548,Head of Children's Improvement,SENDIASS
