query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),69.98,R4308,Stationery,09/05/2023,130380436,Governance Services,Local Government Elections
INSERTED DETAIL,700693,Adept Security Systems Limited,368.00,R2001,R&M - Departmental planned (external),19/05/2023,191146408,Schools,The King's Church of England School
INSERTED DETAIL,700693,Adept Security Systems Limited,"1,378.82",R2001,R&M - Departmental planned (external),17/05/2023,130389423,School Business and Support Services,Education Sites Asset Management
INSERTED DETAIL,700693,Adept Security Systems Limited,"3,346.06",R2001,R&M - Departmental planned (external),17/05/2023,130389424,School Business and Support Services,Education Sites Asset Management
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"2,868.98",R4101,Provisions (Not for resale),10/05/2023,130387351,Leisure Services,WV Active Catering
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,705.27,R4101,Provisions (Not for resale),22/05/2023,130387353,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,529.37,R4101,Provisions (Not for resale),22/05/2023,130387353,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"63,431.28",R4101,Provisions (Not for resale),10/05/2023,130387356,Catering,Education Catering  General Overheads
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,655.16",R4101,Provisions (Not for resale),10/05/2023,130387253,Catering,Meals on Wheels
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,657.67,R4101,Provisions (Not for resale),10/05/2023,130387352,Arts and Culture,Art Gallery Tea Room
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,584.21",R4101,Provisions (Not for resale),18/05/2023,130387355,Catering,Civic Centre Catering
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,881.46",R4101,Provisions (Not for resale),11/05/2023,130387254,Catering,"West Park Tea Room	"
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,437.87,R4101,Provisions (Not for resale),18/05/2023,130387354,Leisure Services,"WV Active Catering - Central	"
INSERTED DETAIL,701210,Air Methods Limited,119.17,R4003,Equipment - R & M,25/05/2023,191149202,Fleet Services,Fleet Management
INSERTED DETAIL,701210,Air Methods Limited,181.86,R4003,Equipment - R & M,25/05/2023,191149202,Fleet Services,Fleet Management
INSERTED DETAIL,701210,Air Methods Limited,387.99,R4003,Equipment - R & M,25/05/2023,191149202,Fleet Services,Fleet Management
INSERTED DETAIL,701393,Aldersley Church Early Learning Committee,"2,449.44",R5035,TPP - Private Nursery Education Funding,23/05/2023,191147069,Early Years,Early Years Entitlement Funding for Disadvantaged 2 Year Olds
INSERTED DETAIL,701393,Aldersley Church Early Learning Committee,"10,900.22",R5035,TPP - Private Nursery Education Funding,23/05/2023,191147120,Early Years,Early Years Universal Entitlement for 3 and 4 Year Olds
INSERTED DETAIL,701417,All Saints Action Network Limited,"28,654.13",R5035,TPP - Private Nursery Education Funding,23/05/2023,191147121,Early Years,Early Years Universal Entitlement for 3 and 4 Year Olds
INSERTED DETAIL,701417,All Saints Action Network Limited,"8,573.04",R5035,TPP - Private Nursery Education Funding,23/05/2023,191147070,Early Years,Early Years Entitlement Funding for Disadvantaged 2 Year Olds
INSERTED DETAIL,701417,All Saints Action Network Limited,"1,000.00",R4700,Grant Payments,25/05/2023,191149243,Ward Funds,Ward Fund - Ettingshall
INSERTED DETAIL,701439,Allstar Business Solutions Limited,89.30,R3000,Petrol,23/05/2023,191147843,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,807.43,R3000,Petrol,23/05/2023,191147843,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,69.77,R3000,Petrol,23/05/2023,191147843,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,71.53,R3000,Petrol,23/05/2023,191147843,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,"1,289.41",R3000,Petrol,23/05/2023,191147843,Fleet Services,Fleet Management
