,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,700044,Access To Business,"3,577.96",R4400,Services - Professional Fees,29/02/2024,130419208,Adult Education,Skills for Work
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"2,850.00",R2076,Grounds Maintenance - Non Contract,20/02/2024,130415812,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"1,650.00",R2076,Grounds Maintenance - Non Contract,01/02/2024,130415529,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,561.44,R2076,Grounds Maintenance - Non Contract,01/02/2024,130415530,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,918.72,R2076,Grounds Maintenance - Non Contract,01/02/2024,130415532,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"5,175.00",R2076,Grounds Maintenance - Non Contract,01/02/2024,130415527,Project and Works Team – Maintenance Programme,Centralised R&M
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,"1,361.16",R2076,Grounds Maintenance - Non Contract,02/02/2024,130415526,Environmental Services,Arbor Scheme
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),44.15,R4308,Stationery,02/02/2024,130416180,Parking Services,Parking Enforcement
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.29,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),19.99,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.99,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),8.99,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),14.99,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),28.99,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),5.49,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),4.99,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),24.99,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),5.26,R4308,Stationery,05/02/2024,130416575,Older People Provider Services,"ILS Stores			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),39.98,R4308,Stationery,01/02/2024,130416178,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),199.01,R4308,Stationery,01/02/2024,130416181,Libraries,Global Budgets
