,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
INSERTED DETAIL,701547,Apetito Limited,"1,770.74",R4102,Provisions (Resale),25/03/2024,130421039,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"2,785.39",R4102,Provisions (Resale),25/03/2024,130421444,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"3,028.22",R4102,Provisions (Resale),25/03/2024,130419104,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"2,149.10",R4102,Provisions (Resale),25/03/2024,130422060,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"2,505.98",R4102,Provisions (Resale),20/03/2024,130419295,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"2,721.05",R4102,Provisions (Resale),20/03/2024,130418353,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"2,605.87",R4102,Provisions (Resale),20/03/2024,130418492,Catering,Meals on Wheels
INSERTED DETAIL,701568,Aquaid (Birmingham Central),848.00,R4001,Equipment - Hire,19/03/2024,130421877,Leisure Services,Aldersley Leisure Village
INSERTED DETAIL,701568,Aquaid (Birmingham Central),100.00,R4001,Equipment - Hire,19/03/2024,130421877,Leisure Services,Aldersley Leisure Village
INSERTED DETAIL,701568,Aquaid (Birmingham Central),16.80,R4001,Equipment - Hire,19/03/2024,130421877,Leisure Services,Aldersley Leisure Village
INSERTED DETAIL,701603,Arnold Clark Finance Limited,592.20,R3200,Hire of Vehicles,22/03/2024,191265260,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,22/03/2024,191265262,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,120.28",R3200,Hire of Vehicles,22/03/2024,191265255,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,112.22,R3200,Hire of Vehicles,22/03/2024,191265257,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,108.22,R3200,Hire of Vehicles,22/03/2024,191265256,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,145.56,R3200,Hire of Vehicles,22/03/2024,191265258,Fleet Services,Fleet Management
