Transparency Report December 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45271,SOT1008275, MACCLESFIELD TUTORIAL COLLEGE,2983
Stoke City Council,4HDG,"Housing, Development & Growth",BA100,Repairs alterations mtce of bu,45264,SOT1004984,.South Staffordshire College,590
Stoke City Council,4STAR,Strategy & Resources,dg105,Expenses,45273,SOT1016689,18 ST JOHN STREET CHAMBERS,1100
Stoke City Council,4HDG,"Housing, Development & Growth",DE100,Services,45261,SOT1013389,2 Hills Consultancy,955.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45266,SOT1011091,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45267,SOT1015589,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45279,SOT1021982,20 Talbot Street,14206.28
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45280,SOT1013664,2buy2.com Limited,542.2
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45273,SOT1010020,3D Technical Design Ltd,2647.64
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45267,SOT1015613,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45279,SOT1022005,3L Care Limited,5625.94
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45266,SOT1015222,A&M Construction Stoke Ltd,12500
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45280,SOT1020836,ABACUS FOSTERING LTD,3264
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45273,SOT1019534,Abacus Psychology Limited,1120
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45267,SOT1015571,Abbey Court Care Home,2670.29
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45279,SOT1021964,Abbey Court Care Home,3156
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45267,SOT1015571,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45279,SOT1021964,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45267,SOT1015571,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45279,SOT1021964,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45267,SOT1015571,Abbey Court Care Home,-1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45279,SOT1021964,Abbey Court Care Home,-1976
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45261,SOT1013667,ABC Coaches (2002) LTD T/A ABC Supreme,8410
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45261,SOT1013669,ABC Coaches (2002) LTD T/A ABC Supreme,6350.34
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,CC109,Contract hire&operating leases,45261,SOT1013667,ABC Coaches (2002) LTD T/A ABC Supreme,700
Stoke City Council,4SCHL,Schools,AA700,Agency staff,45280,SOT1020918,ABC Teachers Limited,584.97
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45268,SOT1015899,ABC Tutoring,720
Stoke City Council,4CAF,Children and Family Services,AB300,Training,45261,SOT1013191,ABILITY SMART LTD,566.66
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45278,SOT1020800,Above n Beyond Ltd.,2307.3
Stoke City Council,4STARC,Strategy & Resources Capital,QXPSP,Intangible Assets,45280,SOT1015934,Absoft Limited,16587.7
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45280,SOT1022497,Abubakar Denja Mohammed (Denjamedical Consulting),4620
Stoke City Council,4CITD,City Director,DG100,Expenses,45271,SOT1016287,Acacia Training Limited,24937.47
Stoke City Council,4CITD,City Director,DG100,Expenses,45273,SOT1016731,Acacia Training Limited,6446.79
Stoke City Council,4CITD,City Director,DG100,Expenses,45273,SOT1016732,Acacia Training Limited,5918.01
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45280,SOT1016187,ACCESS UK ,4875.74
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45264,SOT1014324,Accomplish Group Ltd,5675.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45267,SOT1015498,Accord Housing Association Ltd,2246.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45279,SOT1021891,Accord Housing Association Ltd,2246.92
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45273,SOT1019349,Ace Private Hire,1691
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45273,SOT1019473,Acheron Care Ltd,61628.57
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45273,SOT1019474,Acheron Care Ltd,26978.57
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45273,SOT1019475,Acheron Care Ltd,23773.2
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45273,SOT1019476,Acheron Care Ltd,26978.57
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45280,SOT0974420,Acorn Care & Education Ltd,2382.22
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45280,SOT0974421,Acorn Care & Education Ltd,2382.22
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45280,SOT0978422,Acorn Care & Education Ltd,2382.22
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45280,SOT0974420,Acorn Care & Education Ltd,13610.76
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45280,SOT0974421,Acorn Care & Education Ltd,6805.38
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45280,SOT0978400,Acorn Care & Education Ltd,-28642.19
