Transparency Report October 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990964,Acheron Care Ltd,23773.2
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990965,Acheron Care Ltd,26978.57
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990966,Acheron Care Ltd,26978.57
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990933,Acorn Fostering Services Ltd,5888
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990956,Acorn Residential Care Limited,32413.29
Stoke City Council,4CAF,Children and Family Services,de113,Services,45217,SOT0996366,Active Care Group,3150
Stoke City Council,4CAF,Children and Family Services,de113,Services,45217,SOT0996379,Active Care Group,2275
Stoke City Council,4CAF,Children and Family Services,de113,Services,45217,SOT0996478,Active Care Group,2100
Stoke City Council,4CAF,Children and Family Services,de113,Services,45217,SOT0996480,Active Care Group,1750
Stoke City Council,4CAF,Children and Family Services,de113,Services,45217,SOT0996483,Active Care Group,875
Stoke City Council,4CAF,Children and Family Services,de113,Services,45217,SOT0996484,Active Care Group,1925
Stoke City Council,4CAF,Children and Family Services,de113,Services,45205,SOT0990810,Active Resilience,147730.26
Stoke City Council,4PUBH,Public Health,EA175,Independent units within CC,45226,SOT0999414,Adderley Green Medical Service/Adderley Green Surg,1135
Stoke City Council,4PUBH,Public Health,EA175,Independent units within CC,45226,SOT0999429,Adderley Green Medical Services/Willowbank Surgery,2390
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45219,SOT0996745,Adecco,1318.8
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45219,SOT0996749,Adecco,1978.2
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45219,SOT0996751,Adecco,2072.4
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45219,SOT0996752,Adecco,1601.4
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45219,SOT0996753,Adecco,1130.4
Stoke City Council,4SCHL,Schools,DB100,Catering,45226,000011129688697,ADEXA.CO.UK,604.2
Stoke City Council,4HDG,"Housing, Development & Growth",EG100,Other establishments,45210,SOT0992218,Adullam Homes Housing Association,642.06
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45203,SOT0990206,Advanced Child Care Assessment,1781.5
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45203,SOT0990281,Advanced Child Care Assessment,2533.5
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999945,Advanced Child Care Assessment,3402.5
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999947,Advanced Child Care Assessment,2106.3
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999952,Advanced Child Care Assessment,2722.2
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999957,Advanced Child Care Assessment,2609
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999959,Advanced Child Care Assessment,700
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999960,Advanced Child Care Assessment,4018.45
Stoke City Council,4STAR,Strategy & Resources,dg105,Expenses,45203,SOT0989142,Advanced Child Care Assessment,600.35
Stoke City Council,4STAR,Strategy & Resources,dg105,Expenses,45205,SOT0990722,Advanced Child Care Assessment,2567
